clade,eligible_tips,root_to_tip_cv,coarse_near_far,intermediate_near_far,fine_near_far,coarse_slope,intermediate_slope,fine_slope,coarse_area,intermediate_area,fine_area
Asparagus,29,1.2379307735136236e-16,0.31681910569105687,0.31681910569105687,0.31681910569105687,-0.37292866299903144,-0.37292866299903144,-0.37292866299903144,0.22350448209610727,0.22350448209610727,0.22350448209610727
Capparis,24,5.3706161474347742e-12,-0.30372148859543813,-0.30372148859543813,-0.30372148859543813,0.29675306288876818,0.29675306288876818,0.29675306288876818,-0.05553457568391721,-0.05553457568391721,-0.05553457568391721
Chrysophyllum,22,3.7616064242792599e-16,0.49232736572890035,0.5399719495091162,0.5399719495091162,-0.45017233398670981,-0.56153420903392925,-0.56153420903392925,0.08509536171055318,0.074668791376592131,0.074668791376592131
Cissus,69,1.6873764930846854e-16,-0.49654179547796568,0.086799350723700541,-0.032644115997234401,0.95795358184885815,-0.33377173625895479,0.032037617698622928,0.123403903447494,-0.018868408411748784,0.0021524489929538103
Clidemia,78,3.8972404486113022e-16,-0.17463013911960129,-0.15484188507444294,-0.15484188507444294,-0.035428845400330713,-0.10265594263122926,-0.10265594263122926,0.032664054783540071,0.037686336236008575,0.037686336236008575
Cordia,74,2.2038276983316661e-16,1.1104906848642047,1.1104906848642047,1.1104906848642047,-0.70859786431622118,-0.70859786431622118,-0.70859786431622118,-0.31070628468667372,-0.31070628468667372,-0.31070628468667372
Cornus,37,2.3270029099197879e-16,1.1094979647218453,1.1094979647218453,1.1094979647218453,-1.5566867783410616,-1.5566867783410616,-1.5566867783410616,0.29985273175580418,0.29985273175580418,0.29985273175580418
Diospyros,115,2.9814575189447324e-11,0.16637702665693885,0.035576268766342456,-0.05845700549815902,-0.26669067317902823,-0.010782935507989149,0.061271656144286604,-0.032422404566733176,0.008313626426041389,-0.023939778399681744
Elaeocarpus,63,2.0316309821749748e-16,0.17802604802604802,0.20949390745309102,0.20949390745309102,0.22862875822556966,0.35978291666681117,0.35978291666681117,-0.004791284547548836,-0.013815167539717062,-0.013815167539717062
Garcinia,54,1.9692747304578854e-16,0.066775987170724041,0.10453794671586084,-0.06771871745275998,-0.15968417977024421,-0.33070088531290998,-0.090397199323294611,0.030748840446778988,0.072195942654463205,0.022164300864659012
Gaultheria,72,4.1486924536690726e-16,1.1062063541994338,1.1062063541994338,0.97968666863730403,-1.3433545015572916,-1.3433545015572916,-1.2275271630026867,0.039371841808164582,0.039371841808164582,0.041424483695442785
Ilex,120,1.5543820305423567e-16,0.21816997720612175,-0.044208664898319913,-0.044208664898319913,-1.4874838827811534,-0.78645626780807454,-0.78645626780807454,0.063801615265470749,0.043422335407817467,0.043422335407817467
Lonicera,81,3.5891104396613562e-16,0.025252525252525249,0.025252525252525249,0.036344755970924264,-0.020064245411495752,-0.020064245411495752,-0.18934026459192668,0.016529702838741649,0.016529702838741649,0.036163241626332346
Maytenus,31,2.0696778650032871e-16,0.7394608167041099,0.17720314872672052,0.17720314872672052,-1.0315637526012411,-0.16299616607093531,-0.16299616607093531,-0.03607414799986991,0.019176521512144343,0.019176521512144343
Ocotea,41,3.3715336175935388e-16,-0.047619047619047554,-0.047619047619047554,-0.047619047619047554,0.086962464754878482,0.086962464754878482,0.086962464754878482,-0.0053904505124870638,-0.0053904505124870638,-0.0053904505124870638
Passiflora,179,2.2346286043246924e-16,0.28042640842492644,0.24207198766515503,0.17503793131462042,-0.13216075076003775,-0.23376836407392113,-0.19153057291354114,0.0041294154564258901,0.057400419289985315,0.061861051670748478
Pouteria,90,3.5964930696385987e-16,-0.25600347208900809,-0.12647151305139953,-0.12647151305139953,0.54794371623267801,0.19910907334987826,0.19910907334987826,-0.0029750963666357669,0.0034225815860243021,0.0034225815860243021
Protium,47,4.6402403442839115e-16,0.48739512271622393,0.12483293691244762,0.12483293691244762,-0.75439296984461146,-0.30895753515815044,-0.30895753515815044,0.038197556288940518,0.0080900474773848673,0.0080900474773848673
Prunus,93,2.0818026076058102e-16,0.024803334524362231,0.024803334524362231,0.024803334524362231,0.47701433963541301,0.47701433963541301,0.47701433963541301,-0.0085957071195057813,-0.0085957071195057813,-0.0085957071195057813
Rhus,35,1.3438843043678411e-16,-0.16514065031014169,0.2936010808155245,0.2936010808155245,0.022973515826554113,-0.30408274138055569,-0.30408274138055569,-0.047111812996170996,-0.0058485878432886877,-0.0058485878432886877
Ribes,80,1.4585314096006354e-11,-0.68160597572362236,-0.40779062690200857,0.051628276409849079,1.1657063078092715,0.49246273346689934,-0.10844289829836508,0.038059142672908608,0.051780009473390634,0.0092226395653198252
Rosa,87,1.2792218499094382e-16,0.27862767095232677,0.27862767095232677,0.6173547675853559,-0.47594408076727379,-0.47594408076727379,-0.61691493838520683,0.027056840378858561,0.027056840378858561,0.025659891293427547
Rubus,85,1.6461321225929632e-16,0.12759170653907484,0.12759170653907484,0.12759170653907484,-0.25924698204014346,-0.25924698204014346,-0.25924698204014346,0.024137988623527964,0.024137988623527964,0.024137988623527964
Scaevola,33,5.8293831214067195e-17,0.54449621877625831,0.84660999377980484,0.84660999377980484,-0.6822000917169635,-0.98642950859902023,-0.98642950859902023,0.030143949669880828,0.070865253622103372,0.070865253622103372
