target_id_1,target_id_2,matches,compared_non_gap,nongap_identity,query_coverage,subject_coverage,gap_columns,query_length,subject_length,alignment_score
gene-LOC114258680,gene-LOC114259095,118,333,0.35435435435435436,1.0,1.0,18,347,337,-43.0
gene-LOC114258680,gene-LOC114276938,87,294,0.29591836734693877,1.0,1.0,253,347,494,-247.5
gene-LOC114258680,gene-LOC114287753,291,345,0.8434782608695652,1.0,1.0,2,347,345,521.5
gene-LOC114258680,gene-LOC114297899,119,337,0.35311572700296734,1.0,1.0,22,347,349,-40.5
gene-LOC114259095,gene-LOC114276938,91,311,0.29260450160771706,1.0,1.0,209,337,494,-247.0
gene-LOC114259095,gene-LOC114287753,121,322,0.37577639751552794,1.0,1.0,38,337,345,-38.5
gene-LOC114259095,gene-LOC114297899,280,337,0.8308605341246291,1.0,1.0,12,337,349,486.0
gene-LOC114276938,gene-LOC114287753,92,323,0.2848297213622291,1.0,1.0,193,494,345,-248.0
gene-LOC114276938,gene-LOC114297899,84,335,0.2507462686567164,1.0,1.0,173,494,349,-241.0
gene-LOC114287753,gene-LOC114297899,124,313,0.3961661341853035,1.0,1.0,68,345,349,-41.0
