clade,terminal_class,eligible_tips,AUC_coarse,AUC_intermediate,AUC_fine,p_coarse_signal,p_intermediate_signal,p_fine_signal,p_winner_gt_runner,hold_reasons
Annona,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,30,,,,,,,,COARSE_STATES_LT_2
Asparagus,PROFILE_NO_PHYLOGENETIC_SIGNAL,29,0.5741171468587435,0.5741171468587435,0.5741171468587435,0.0838,0.0838,0.0838,1.0,
Bactris,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,28,,,,,,,,FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Calophyllum,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,8,,,,,,,,COMMON_TIPS_LT_20;FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Canthium,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,7,,,,,,,,COMMON_TIPS_LT_20;FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Capparis,PROFILE_NO_PHYLOGENETIC_SIGNAL,24,0.4465021677460793,0.4465021677460793,0.4465021677460793,0.8117,0.8117,0.8117,1.0,
Casearia,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,5,,,,,,,,COMMON_TIPS_LT_20;FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Celtis,HOLD_INSUFFICIENT_COMMON_FRAME_OR_STATE_VARIATION,8,,,,,,,,COMMON_TIPS_LT_20;FINE_STATES_LT_2;INTERMEDIATE_STATES_LT_2;COARSE_STATES_LT_2
Chrysophyllum,PROFILE_NO_PHYLOGENETIC_SIGNAL,22,0.5273972602739726,0.5580645161290323,0.5580645161290323,0.2876,0.096,0.096,1.0,
Cissus,PROFILE_NO_PHYLOGENETIC_SIGNAL,69,0.4219053771379353,0.5365123547754455,0.488997268825595,0.942,0.1544,0.637,0.0229,
Clidemia,PROFILE_NO_PHYLOGENETIC_SIGNAL,78,0.5309128479049428,0.5369000056560795,0.5369000056560795,0.1415,0.1258,0.1258,1.0,
Cordia,PROFILE_NO_PHYLOGENETIC_SIGNAL,74,0.4844713643762753,0.4844713643762753,0.4844713643762753,0.5702,0.5702,0.5702,1.0,
