source_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
1,Table S9 Mean value of reproductive traits for analyses of phylomorphospace.,,,,,,,,,,,,
2,Species,SpurR,SepalC,SpurC,Lamina,SepalL,SepalW,SpurL,SpurML,SpurMW,StamenL,PistilL,
3,E.  daiguii JS44,0,2,4,0,4.11,2.18,2.1,1.66,1.82,3.08,3.82,
4,E.  myrianthum JS36,0,0,1,0,4.13,1.56,2.43,1.78,1.44,4.27,4.54,
5,E.  truncatum JS32,0,0,1,0,4.37,2.43,3.11,1.96,1.97,2.36,2.58,
6,E.  mikinorii JS30,0,3,3,1,11.43,6.8,17.11,5.24,3.39,3.76,5.48,
7,E.  hunanense JS28,0,2,1,1,5.23,2.75,16.02,7.08,5.94,4.03,5.8,
8,E.  elachyphyllum JS31,0,2,4,0,4.11,1.78,1.4,1.47,1.49,2.61,3.96,
9,E.  borealiguizhouense JS38,0,2,4,0,4.15,1.65,2.6,1.74,1.47,4.23,4.85,
10,E.  coactum JS40,0,0,1,0,3.36,1.63,2.32,1.69,1.51,3.61,3.93,
11,E.  dolichostemon JS46,1,3,3,0,10.36,4.96,6.63,1.84,2.33,7.89,9.82,
12,E.  wushanense JS19,0,1,1,1,11.62,5.56,19.4,6.48,4.02,4.12,6.16,
13,E.  fargesii JS45,1,3,3,0,15.68,2.86,7.51,2.89,2.96,9,11.2,
14,E.  tianmenshanense JS24,0,1,1,0,5.13,2.25,6.59,4.89,4.2,3.35,5.13,
15,E.  baojingense JS16,0,1,1,0,9.69,4.28,26.44,6.74,4.39,4.32,7.19,
16,E.  franchetii JS08,0,1,1,0,9.91,5.13,22.41,6.17,4.75,4.34,5.78,
17,E.  zhushanense JS10,0,3,3,0,17.19,6.21,27.42,5.9,5.14,4.47,6.75,
18,E.  sutchuenense JS25,0,2,2,0,26.66,5.18,29.38,4.7,3.01,4.81,6.07,
19,E.  ilicifolium JS12,0,1,1,0,8.04,3.24,27.43,5.22,3.99,4.76,6.4,
20,E.  leptorrhizum JS55,0,2,2,0,24.82,5.98,30.16,5.83,3.24,3.4,5.57,
21,E.  shennongjiaense S26,0,2,2,1,15.56,5.85,15.34,5.93,4.6,4.98,6.42,
22,E.  simplicifolium JS50,0,3,3,0,16.24,8.72,26.99,5.53,4.03,3.91,6.71,
23,E.  ecalcaratum JS02,0,2,1,1,2.8,1.25,1.98,7.02,5.11,2.69,5.03,
24,E.  davidii JS04,0,2,1,1,5.23,1.43,16.97,8.68,8.47,4.36,6.08,
25,E.  fangii JS05,0,2,1,1,6.41,2.24,16.18,5.3,4.08,3.19,4.91,
26,E.  flavum JS06,0,1,1,1,8.89,4.31,21.69,9.04,8.08,4.14,6.78,
27,E.  campanulatum JS03,0,2,1,1,2.43,1.1,0,6.96,4.88,2.67,4.43,
28,E.  xichangense JS67,0,2,1,1,7.11,2.9,18.62,6.13,5.71,4.42,5.25,
29,E.  elongatum JS70,1,2,1,0,5.08,2.36,16.26,5.01,4.59,3.48,4.16,
30,E.  pauciflorum JS11,0,0,0,1,11.7,4.5,18.08,6.58,5.56,3.88,5.94,
31,E.  qingchengshanense JS47,1,3,3,0,15.57,5.33,7.91,3.11,2.37,8.84,9.5,
32,E.  ogisui JS07,0,0,0,1,17.65,9.07,18.18,7.68,4.09,4.4,4.9,
33,E.  membranaceum JS52,0,2,1,0,8.02,2.67,26.24,5.84,6.14,3.93,5.71,
34,E.  acuminatum JS48,0,3,3,0,13.2,5.61,26.79,4.32,2.54,3.48,5.88,
35,E.  pubescens JS69,0,0,1,0,10.71,2.3,2.48,1.44,1.28,3.74,4.58,
36,E.  brevicornu JS64,1,0,1,0,6.47,2.73,2,1.43,1.06,2.5,3.47,
37,E.  elatum (outgroup),0,1,1,0,4.2,1.77,2.3,1.51,0.98,5,6,
