source_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
1,Table S7 Mean value of vegetative traits for analyses of phylomorphospace.,,,,,,,,,,,
2,Species,LeafT ,MLL ,MLW ,MLLL,RatioML ,LLL ,LLW,SawtoothD ,LonglobeL ,ShortlobeL ,PetioleL 
3,E.  daiguii JS44,1,59.5,33.5,6.6,1.8,52.7,32.4,5.3,16.3,5.9,77.4
4,E.  myrianthum JS36,1,118.1,49.5,3.6,2.4,104,42,4.9,20.1,3.5,151.8
5,E.  truncatum JS32,2,84.7,52.8,0,1.6,70.7,46.6,2.3,5.3,-2.4,123.2
6,E.  mikinorii JS30,1,100,43.5,4.5,2.3,99.8,42.8,4.4,22.4,4.6,98.3
7,E.  hunanense JS28,1,104.3,47.6,5.2,2.2,98.2,42.7,4.5,23.2,5.3,105.4
8,E.  elachyphyllum JS31,1,42,34.5,9.6,1.2,42,34.5,5.8,9.6,9.6,22.3
9,E.  borealiguizhouense JS38,2,153.5,42.4,3.8,3.8,166,39.3,2.9,40.8,0,133.5
10,E.  coactum JS40,1,120.6,59.5,10,2.1,114.7,57.5,4.9,32.4,7.3,147.1
11,E.  dolichostemon JS46,1,90.7,51.6,10,1.8,78.8,44.8,4.4,20.8,6.9,100.4
12,E.  wushanense JS19,1,132.1,39.4,5.9,3.4,130.8,37,2.3,28.4,3.4,123.6
13,E.  fargesii JS45,1,106.7,37.5,7,2.9,99.7,32,5,23.5,5.4,103.4
14,E.  tianmenshanense JS24,1,66.4,34,6.2,2,58.6,31.8,4.6,14.4,5.3,76.2
15,E.  baojingense JS16,1,113,49,7.7,2.3,100.7,44.8,4.3,27.5,7.9,86.5
16,E.  franchetii JS08,1,97.9,43.6,7.1,2.3,89.3,38.2,4.7,21.7,6.9,101.3
17,E.  zhushanense JS10,2,113.4,44.3,10,2.6,104.9,42,3.7,26.7,8.3,100.9
18,E.  sutchuenense JS25,1,62.4,33.4,5.6,1.9,57.3,32.7,6,12.2,6.4,75.1
19,E.  ilicifolium JS12,1,96.4,28.9,4,3.3,91.9,28.4,3.6,17.9,3.4,75.4
20,E.  leptorrhizum JS55,1,58,31.4,6.7,1.9,51.6,28.9,4.5,12.5,6.7,63.1
21,E.  shennongjiaense S26,1,100.2,41.7,6.2,2.4,71.8,39.9,5.2,23.7,9.6,128
22,E.  simplicifolium JS50,1,126.5,49.9,6.8,2.6,115.3,49.3,5.5,28.7,6.7,117
23,E.  ecalcaratum JS02,0,33.8,25,5.3,1.3,25.2,21,5,7.7,4.8,53.5
24,E.  davidii JS04,0,37.8,28.6,5,1.3,27.9,22,4.5,7.3,4.1,59
25,E.  fangii JS05,0,52.9,31.6,4.4,1.8,37.2,21.1,4.6,7.7,2.7,71.2
26,E.  flavum JS06,0,42.4,26.5,3.5,1.6,31.6,21.7,4.5,6.8,3.2,63
27,E.  campanulatum JS03,0,42.5,28.2,4,1.5,33.9,23.6,5.1,6.7,3.5,58.6
28,E.  xichangense JS67,0,56.9,34.5,8.1,1.7,48,32.8,4.4,16,8.6,112.4
29,E.  elongatum JS70,0,39,31.1,3.9,1.3,33,28.2,3.9,7.8,3.7,123.6
30,E.  pauciflorum JS11,0,22.7,20.1,5.4,1.1,19.6,18.8,5.6,7.2,4.7,42.2
31,E.  qingchengshanense JS47,1,127.3,55.1,8.1,2.3,109.9,48.9,4,22.5,5.7,140.2
32,E.  ogisui JS07,0,55.7,25.3,2.4,2.2,39.8,19,6.7,6.7,2.2,58.4
33,E.  membranaceum JS52,0,60.2,39.8,7.5,1.5,52.8,36,4.7,12.9,7.5,99.6
34,E.  acuminatum JS48,1,107.8,42.5,4.9,2.6,98.8,43.5,5.6,23.5,6.2,95.7
35,E.  pubescens JS69,1,117.5,45.5,5.9,2.6,100.2,39,3.3,19.3,4.8,104.2
36,E.  brevicornu JS64,0,38.7,32.6,4.4,1.2,30.2,26.5,6.6,9,4.2,111.5
37,E.  elatum (outgroup),0,45,33.4,4,1.3,35.9,29,3.3,7.3,4.4,109
