source_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
1,Table S4 Qualitative (QL) and quantitative (QN) data of reproductive characters in the morphometric analyses,,,,,,,,,,,,,,,
2,Series,Species,Locality,Voucher,Herbarium ,SpurR,SepalC,SpurC,Lamina,SepalL,SepalW,SpurL,SpurML,SpurMW,StamenL,PistilL
3,Dolichocerae,E. acuminatum,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,0,3,3,0,13.17,6.6,27.6,4.49,2.43,3.88,6.33
4,Dolichocerae,E. acuminatum,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,0,3,3,0,12.7,6.88,28.5,4.62,2.66,3.88,6.33
5,Dolichocerae,E. acuminatum,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,0,3,3,0,13.55,6.08,29.8,4.38,2.5,3.88,6.33
6,Dolichocerae,E. acuminatum,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,0,3,3,0,13.67,5.97,29.8,4.36,2.63,3.88,6.33
7,Dolichocerae,E. acuminatum,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,0,3,3,0,13.13,5.33,28.6,4.67,2.34,3.33,5.71
8,Dolichocerae,E. acuminatum,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,0,3,3,0,13.14,6.33,28.7,4.12,2.15,3.33,5.71
9,Dolichocerae,E. acuminatum,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,0,3,3,0,12.86,6.5,28,3.91,2.43,3.33,5.71
10,Dolichocerae,E. acuminatum,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,0,3,3,0,13.35,5.52,28.8,4.35,2.65,3.33,5.71
11,Dolichocerae,E. acuminatum,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,0,3,3,0,12.83,4.63,24.3,4.11,2.51,3.33,5.71
12,Dolichocerae,E. acuminatum,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,0,3,3,0,12.89,5.53,24.24,4.02,2.68,3.33,5.71
13,Dolichocerae,E. acuminatum,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,0,3,3,0,13.13,5.58,24.95,4.53,2.78,3.33,5.71
14,Dolichocerae,E. acuminatum,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,0,3,3,0,13.27,4.4,24.1,3.88,2.79,3.33,5.71
15,Dolichocerae,E. acuminatum,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,0,3,3,0,13.91,4.61,24.42,4.5,2.66,3.33,5.71
16,Dolichocerae,E. acuminatum,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,0,3,3,0,12.99,5.49,24.71,4.35,2.22,3.33,5.71
17,Dolichocerae,E. acuminatum,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,0,3,3,0,13.41,4.77,25.35,4.58,2.73,3.33,5.71
18,Dolichocerae,E. baojingense,"Wufeng, Hunan",C. Zhang Zhang167,BNU,0,1,1,0,9.19,3.81,26.04,6.14,2.19,4.66,5.83
19,Dolichocerae,E. baojingense,"Wufeng, Hunan",C. Zhang Zhang167,BNU,0,1,1,0,9.64,4.38,25.52,6.01,2.44,4.66,5.83
20,Dolichocerae,E. baojingense,"Wufeng, Hunan",C. Zhang Zhang167,BNU,0,1,1,0,8.42,3.88,24.28,5.86,4.12,4.66,5.83
21,Dolichocerae,E. baojingense,"Wufeng, Hunan",C. Zhang Zhang167,BNU,0,1,1,0,9.3,3.64,22.27,5.76,3.07,4.66,5.83
22,Dolichocerae,E. baojingense,"Wufeng, Hunan",C. Zhang Zhang167,BNU,0,1,1,0,8.8,3.54,22,5.9,3.53,4.66,5.83
23,Dolichocerae,E. baojingense,"Suining, Hunan",C. Zhang Zhang204,BNU,0,1,1,0,9.75,3.95,26.87,7.22,4.39,4.31,6.43
24,Dolichocerae,E. baojingense,"Suining, Hunan",C. Zhang Zhang204,BNU,0,1,1,0,8.72,4.04,23.53,7.48,4.27,4.31,6.43
25,Dolichocerae,E. baojingense,"Suining, Hunan",C. Zhang Zhang204,BNU,0,1,1,0,9,4.46,27.04,6.84,3.33,4.31,6.43
26,Dolichocerae,E. baojingense,"Yongshun, Hunan",C. Zhang Zhang207,BNU,0,1,1,0,9.5,3.92,26.87,7.57,4.75,4.62,6.95
27,Dolichocerae,E. baojingense,"Yongshun, Hunan",C. Zhang Zhang207,BNU,0,1,1,0,9.22,4.07,28.09,7.17,4.89,4.62,6.95
28,Dolichocerae,E. baojingense,"Yongshun, Hunan",C. Zhang Zhang207,BNU,0,1,1,0,9.36,4.21,26.96,7.21,4.47,4.62,6.95
29,Dolichocerae,E. baojingense,"Yongshun, Hunan",C. Zhang Zhang208,BNU,0,1,1,0,9.26,3.99,25.4,6.1,2.35,4.66,5.83
30,Dolichocerae,E. baojingense,"Yongshun, Hunan",C. Zhang Zhang208,BNU,0,1,1,0,9.59,4.32,26.32,6.9,2.19,4.66,5.83
31,Dolichocerae,E. baojingense,"Fenghuang, Hunan",C. Zhang Zhang306,BNU,0,1,1,0,10.11,4.15,26.4,6.4,4.25,4.32,7.19
32,Dolichocerae,E. baojingense,"Fenghuang, Hunan",C. Zhang Zhang306,BNU,0,1,1,0,9.37,4.35,26.3,6.62,4.33,4.32,7.19
33,Dolichocerae,E. baojingense,"Fenghuang, Hunan",C. Zhang Zhang306,BNU,0,1,1,0,9.6,4.35,26.61,7.21,4.59,4.32,7.19
34,Dolichocerae,E. baojingense,"Longshan, Hunan",C. Zhang Zhang307,BNU,0,1,1,0,8.97,3.77,25.12,7.45,3.83,3.91,6.99
35,Dolichocerae,E. baojingense,"Longshan, Hunan",C. Zhang Zhang307,BNU,0,1,1,0,8.66,4.07,26.07,7.23,3.91,3.91,6.99
36,Dolichocerae,E. baojingense,"Longshan, Hunan",C. Zhang Zhang307,BNU,0,1,1,0,8.54,3.75,25.56,6.94,3.61,3.91,6.99
37,Dolichocerae,E. baojingense,"Longshan, Hunan",C. Zhang Zhang307,BNU,0,1,1,0,8.78,4.07,26.62,6.52,3.64,3.91,6.99
