measurement_id,taxon_source,taxon_normalized,taxonomic_status,locality_source,voucher_source,herbarium_source,display_organ,source_variable,source_state_code,visible_hue,source_doi,source_sheet,source_cell,source_xlsx_sha256
Z2023_S4_R3,E. acuminatum,Epimedium acuminatum,SOURCE_NAME_NOT_ACCEPTED_TAXON_AUDIT,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,INNER_SEPAL,SepalC,3,UNRESOLVED_CODEBOOK,10.3389/fpls.2023.1234148,Table S4,G3,057a0aaa603cfa4d9683a2eac75e747cb14bd1294e541feb82483fe6bc160e45
Z2023_S4_R3,E. acuminatum,Epimedium acuminatum,SOURCE_NAME_NOT_ACCEPTED_TAXON_AUDIT,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,PETAL_SPUR,SpurC,3,UNRESOLVED_CODEBOOK,10.3389/fpls.2023.1234148,Table S4,H3,057a0aaa603cfa4d9683a2eac75e747cb14bd1294e541feb82483fe6bc160e45
Z2023_S4_R4,E. acuminatum,Epimedium acuminatum,SOURCE_NAME_NOT_ACCEPTED_TAXON_AUDIT,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,INNER_SEPAL,SepalC,3,UNRESOLVED_CODEBOOK,10.3389/fpls.2023.1234148,Table S4,G4,057a0aaa603cfa4d9683a2eac75e747cb14bd1294e541feb82483fe6bc160e45
Z2023_S4_R4,E. acuminatum,Epimedium acuminatum,SOURCE_NAME_NOT_ACCEPTED_TAXON_AUDIT,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,PETAL_SPUR,SpurC,3,UNRESOLVED_CODEBOOK,10.3389/fpls.2023.1234148,Table S4,H4,057a0aaa603cfa4d9683a2eac75e747cb14bd1294e541feb82483fe6bc160e45
Z2023_S4_R5,E. acuminatum,Epimedium acuminatum,SOURCE_NAME_NOT_ACCEPTED_TAXON_AUDIT,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,INNER_SEPAL,SepalC,3,UNRESOLVED_CODEBOOK,10.3389/fpls.2023.1234148,Table S4,G5,057a0aaa603cfa4d9683a2eac75e747cb14bd1294e541feb82483fe6bc160e45
Z2023_S4_R5,E. acuminatum,Epimedium acuminatum,SOURCE_NAME_NOT_ACCEPTED_TAXON_AUDIT,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,PETAL_SPUR,SpurC,3,UNRESOLVED_CODEBOOK,10.3389/fpls.2023.1234148,Table S4,H5,057a0aaa603cfa4d9683a2eac75e747cb14bd1294e541feb82483fe6bc160e45
Z2023_S4_R6,E. acuminatum,Epimedium acuminatum,SOURCE_NAME_NOT_ACCEPTED_TAXON_AUDIT,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,INNER_SEPAL,SepalC,3,UNRESOLVED_CODEBOOK,10.3389/fpls.2023.1234148,Table S4,G6,057a0aaa603cfa4d9683a2eac75e747cb14bd1294e541feb82483fe6bc160e45
Z2023_S4_R6,E. acuminatum,Epimedium acuminatum,SOURCE_NAME_NOT_ACCEPTED_TAXON_AUDIT,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,PETAL_SPUR,SpurC,3,UNRESOLVED_CODEBOOK,10.3389/fpls.2023.1234148,Table S4,H6,057a0aaa603cfa4d9683a2eac75e747cb14bd1294e541feb82483fe6bc160e45
Z2023_S4_R7,E. acuminatum,Epimedium acuminatum,SOURCE_NAME_NOT_ACCEPTED_TAXON_AUDIT,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,INNER_SEPAL,SepalC,3,UNRESOLVED_CODEBOOK,10.3389/fpls.2023.1234148,Table S4,G7,057a0aaa603cfa4d9683a2eac75e747cb14bd1294e541feb82483fe6bc160e45
Z2023_S4_R7,E. acuminatum,Epimedium acuminatum,SOURCE_NAME_NOT_ACCEPTED_TAXON_AUDIT,"Emeishan, Sichuan",C. Zhang Zhang233,BNU,PETAL_SPUR,SpurC,3,UNRESOLVED_CODEBOOK,10.3389/fpls.2023.1234148,Table S4,H7,057a0aaa603cfa4d9683a2eac75e747cb14bd1294e541feb82483fe6bc160e45
