taxon_normalized,source_rows,source_strata,sepal_codes,spur_codes,joint_codes,within_source_taxon_code_variation,population_monomorphism,source_row_start,source_row_end
Epimedium acuminatum,15,1,3,3,3:3,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,3,17
Epimedium baojingense,20,6,1,1,1:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,18,37
Epimedium borealiguizhouense,11,1,2,4,2:4,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,38,48
Epimedium brevicornu,6,1,0,1,0:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,49,54
Epimedium campanulatum,8,1,2,1,2:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,55,62
Epimedium chlorandrum,7,1,1,1,1:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,63,69
Epimedium coactum,29,1,0,1,0:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,70,98
Epimedium daiguii,11,1,2,4,2:4,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,99,109
Epimedium davidii,27,1,2,1,2:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,110,136
Epimedium dolichostemon,7,1,3,3,3:3,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,137,143
Epimedium ecalcaratum,4,1,2,1,2:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,144,147
Epimedium elachyphyllum,10,1,2,4,2:4,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,148,157
Epimedium elongatum,8,1,2,1,2:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,158,165
Epimedium fangii,20,1,2,1,2:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,166,185
Epimedium fargesii,16,1,3,3,3:3,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,186,201
Epimedium flavum,12,1,1,1,1:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,202,213
Epimedium franchetii,23,1,1,1,1:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,214,236
Epimedium hunanense,50,2,2,1,2:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,237,286
Epimedium ilicifolium,24,1,1,1,1:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,287,310
Epimedium jinchengshanense,33,1,1,1,1:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,311,343
Epimedium leptorrhizum,16,4,2,2,2:2,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,344,359
Epimedium lishihchenii,32,1,1,1,1:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,360,391
Epimedium membranaceum,12,1,2,1,2:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,392,403
Epimedium mikinorii,28,1,3,3,3:3,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,404,431
Epimedium myrianthum,32,2,0,1,0:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,432,463
Epimedium ogisui,11,1,0,0,0:0,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,464,474
Epimedium pauciflorum,20,1,0,0,0:0,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,475,494
Epimedium platypetalum,6,1,2,1,2:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,495,500
Epimedium pseudowushanense,20,1,3,3,3:3,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,501,520
Epimedium pubescens,12,1,0,1,0:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,521,532
Epimedium qingchengshanense,4,1,3,3,3:3,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,533,536
Epimedium shennongjiaense,4,1,2,2,2:2,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,537,540
Epimedium simplicifolium,32,2,3,3,3:3,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,541,572
Epimedium sp1,5,1,2,4,2:4,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,573,577
Epimedium stellulatum,20,1,0,1,0:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,578,597
Epimedium sutchuenense,36,1,2,2,2:2,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,598,633
Epimedium tianmenshanense,7,1,1,1,1:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,634,640
Epimedium truncatum,7,1,0,1,0:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,641,647
Epimedium wushanense,28,1,1,1,1:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,648,675
Epimedium xichangense,12,1,2,1,2:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,676,687
Epimedium yinjiangense,10,1,1,1,1:1,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,688,697
Epimedium zhushanense,4,1,3,3,3:3,False,NOT_IDENTIFIABLE_FROM_THIS_TABLE,698,701
