edge_id,system_id,dependence_cluster,taxon,evidence_scale,source_state_visible,target_state_visible,A_change,F_change,C_change,P_change,direction_status,independence_unit,source,notes
MICRO_CJ_BUDSPORT_01,CJ_BUDSPORT,CJAPONICA,Camellia japonica,bud_sport,white,red_or_crimson,up,unknown,unknown,unknown,directed,Cjaponica_budsport,PRJNA757193,"White-to-red/crimson bud-sport series; anthocyanin deployment increases with redder state."
MICRO_CJ_SECTOR_01,CJ_JOY_KENDRICK,CJAPONICA,Camellia japonica,within_genotype_sector,pink,red,up,unknown,unknown,unknown,directed,Cjaponica_JoyKendrick,PRJNA913600,"Red and pink petal sectors occur within one cultivar; anthocyanin-related transcription differs within the same genetic background."
MICRO_CJ_GRADIENT_01,CJ_CULTIVAR_GRADIENT,CJAPONICA,Camellia japonica,within_species_cultivar_series,white,crimson,up,unknown,unknown,unknown,directed,Cjaponica_cultivar_gradient,CRA003840,"White-to-crimson cultivar series; anthocyanin abundance tracks colour intensity."
MICRO_CJ_LUO2016_01,CJ_LUO2016_RED_WHITE,CJAPONICA,Camellia japonica,cross_species_red_white_comparison,white,red,up,down,unknown,unknown,directed,Cjaponica_Luo2016,10.3389/fpls.2015.01257,"Luo et al. compared red and white flowers across seven plant groups. In C. japonica, CjDFR expression was 9.3-fold higher in red while CjFLS was 2.8-fold higher in white; canonical white-to-red coding is therefore A up / F down. No C/P direction is inferred."
MICRO_CR_SECTOR_01,CR_RED_WHITE_SECTOR,CRETICULATA,Camellia reticulata,within_genotype_sector,white,red,up,unknown,unknown,down,directed,Creticulata_red_white_sector,GSE236364,"Red sectors have more cyanidin; white sectors show lower CHS and higher ANR. P axis is coded as lower diversion in the red target."
MICRO_CR_FADING_01,CR_TONGZIMIAN,CRETICULATA,Camellia reticulata,developmental,pink,white,down,unknown,unknown,up,directed,Creticulata_Tongzimian,10.3389/fpls.2026.1831409,"Developmental pink-to-white fading with lower CrANS, reduced cyanidin and redirection toward procyanidins."
MICRO_CR_CULTIVAR_01,CR_CULTIVAR_SERIES,CRETICULATA,Camellia reticulata,within_species_cultivar_series,white,red,up,unknown,unknown,unknown,directed,Creticulata_cultivar_series,PRJCA012977,"Red > pink > white anthocyanin accumulation and anthocyanin-biosynthesis programme; pairwise contrasts are collapsed into one system row."
MICRO_CS_WHITE_PINK_01,CS_WHITE_PINK,CSIN_WHITE_PINK,Camellia sinensis,within_species_developmental_series,white,pink,up,down,unknown,unknown,directed,Csinensis_white_pink,PRJNA597123+PRJNA597289,"Pink flowers accumulate anthocyanin with stronger downstream anthocyanin deployment; FLS is higher in white flowers."
MICRO_CN_DEV_2017_01,CN_YELLOW_DEVELOPMENT_2017,CNITIDISSIMA,Camellia nitidissima,developmental,pale_or_early,yellow,unknown,up,up,unknown,directed,Cnitidissima_development_2017,SRP112181,"Developmental yellow-pigment accumulation involves flavonol glycosides and carotenoids."
MICRO_CN_DEV_2024_01,CN_YELLOW_DEVELOPMENT_2024,CNITIDISSIMA,Camellia nitidissima,developmental,early_or_less_golden,golden_yellow,down,up,unknown,down,directed,Cnitidissima_development_2024,PRJNA909942,"Golden-stage flavonol deployment increases while anthocyanin/proanthocyanidin branches decline; carotenoid direction left unknown here."
MICRO_CP_DEV_2024_01,CP_YELLOW_DEVELOPMENT_2024,CPERPETUA,Camellia perpetua,developmental,pale_or_early,yellow,unknown,up,unknown,unknown,directed,Cperpetua_development_2024,PRJNA981682,"Five-stage profiling identifies flavonoid-pathway regulation and an FLS hub during yellowing; other axes left unknown unless uniformly re-quantified."
MICRO_CSEM_RED_WHITE_2025,CSEM_RED_WHITE,CSEMISERRATA,Camellia semiserrata,within_species_form_contrast,white,red,up,unknown,unknown,unknown,directed,Csemiserrata_red_white,10.1007/s10722-025-02606-6,"Red C. semiserrata versus white form albiflora; six anthocyanins detected in red and none in white; eleven anthocyanin-biosynthesis structural genes strongly downregulated in white. Canonical white-to-red A is up. F/C/P transcript-state directions remain unknown pending full gene-level audit. Public raw RNA-seq accession not located in the 2026-08-27 database/open-web search, so this row is literature evidence only and does not enter the candidate-free standardized arm."
