evidence_id,link_class,study_id,taxon,visible_state,design,contrast,outcome,numerator,denominator,reported_p,source,existing_registry_ref,admission_status,claim_ceiling,notes
ENV_PETELOTII_2017,environment_to_pollinator_reliability,Sun2017,Camellia petelotii,Y,weather-stratified field visitation,cloudy_or_rainy_vs_fair_weather,honeybee_visitation,,,,10.3732/ajb.1600428,study:Sun2017,admit_primary,"environment changes pollinator reliability; not a flower-colour manipulation","Honeybee visitation was significantly reduced in cloudy/rainy weather while bird service remained important."
ENV_HAINANICA_2025,environment_to_pollinator_reliability,Yuan2025,Camellia hainanica,unknown,translocation quasi-experiment,cooler_transplanted_vs_native,visitation_and_pollen_deposition,,,,10.3390/agriculture15161717,study:Yuan2025,admit_mediation,"flowering-window environment/phenology mediation; site factors co-vary","Cooler site delayed anthesis and strongly reduced visitation and pollen deposition."
ENV_PERPETUA_2025,environment_to_pollinator_reliability,Jiang2025,Camellia perpetua,Y,seasonal field comparison,winter_vs_summer,nectar_bird_weighting_and_reproduction,,,,10.1016/j.flora.2025.152727,study:Jiang2025,admit_primary,"seasonal reproductive-niche modulation; not a colour manipulation","Winter and summer differ in reward, bird weighting and reproductive outcome."
ENV_OLEIFERA_2010,environment_to_pollinator_reliability,ZengLi2010,Camellia oleifera,W,multiyear flowering-weather observation,natural_vs_artificial_pollination_temperature_threshold,fruit_set_conditions,,,,10.11833/j.issn.2095-0756.2010.03.001,study:ZengLi2010,admit_mediation,"weather-pollination mediation; observational threshold","Natural pollination required warmer conditions than artificial pollination under the reported field conditions."
ENV_OLEIFERA_2025,environment_to_pollinator_reliability,Liu2025,Camellia oleifera,W,three-year pollinator experiment,interannual_weather_vs_honeybee_benefit,fruit_set,,,,10.3390/insects16101028,study:Liu2025,admit_primary,"weather-dependent pollinator benefit; not a colour manipulation","Honeybee pollination benefit varied among years/weather."
SENSORY_MORI_2023,sensory_state_to_pollinator_choice,Mori2023,"Camellia rusticana;Camellia japonica",A,paired same-human-red two-choice assay,C_rusticana_vs_C_japonica,bumblebee_visits_per_10min,25.8,1.1,<0.01,10.1016/j.phytochem.2022.113559,effect:ECO_SENSORY_RED_BEE_CHOICE,admit_primary,"sensory phenotype predicts bee choice; paired species contrast is not lifetime fitness or a historical transition test","Human-visible hue is held coarsely constant while UV reflectance/fluorescence and bee response differ strongly."
SENSORY_CHEN_2020,sensory_state_to_pollinator_choice,Chen2020,Camellia japonica,A,experience-controlled choice using two cultivated varieties,UV_reflecting_red_vs_UV_absorbing_red,flower_naive_Bombus_terrestris_first_choices,42,15,0.013,10.1093/jpe/rtaa023,new_peer_reviewed_source,admit_primary,"controlled Camellia sensory-choice evidence; cultivated varieties and visits are not reproductive fitness or macroevolutionary origins","Sixteen flower-naive bees produced 57 first choices; UV+ red petals received 42 and UV- red petals 15. Targets appeared similarly red to humans and differed in UV reflectance."
SERVICE_JAPONICA_2004,pollinator_service_to_reproductive_success,Kunitake2004,Camellia japonica,A,bird exclusion,open_vs_bird_excluded,fruit_set,0.362,0.057,,10.1111/j.1442-1984.2004.00115.x,effect:ECO_BIRD_JAPONICA_FRUIT,admit_primary,"pollinator access changes reproductive success; not a colour manipulation","One of the three independent cross-species bird-service systems."
SERVICE_PETELOTII_2017,pollinator_service_to_reproductive_success,Sun2017,Camellia petelotii,Y,bird exclusion,open_vs_bird_excluded,fruit_set,1.0,0.3294,,10.3732/ajb.1600428,effect:ECO_BIRD_PETELOTII_FRUIT,admit_primary,"pollinator access changes reproductive success; not a colour manipulation","Same taxon as ENV_PETELOTII_2017, providing an environment-to-service-to-fitness bridge."
SERVICE_OLEIFERA_2024,pollinator_service_to_reproductive_success,Zhang2024,Camellia oleifera,W,bird exclusion,open_vs_bird_excluded,fruit_set,1.0,0.4372,,10.1111/jipb.13731,effect:ECO_BIRD_OLEIFERA_FRUIT,admit_primary,"pollinator access changes reproductive success; not a colour manipulation","Completes A/Y/W cross-species bird-service magnitude set."
SERVICE_OLEIFERA_2025,pollinator_service_to_reproductive_success,Liu2025,Camellia oleifera,W,honeybee cage introduction,A_cerana_present_vs_no_bee,fruit_set,0.4234,0.1653,,10.3390/insects16101028,effect:ECO_BEE_OLEIFERA_LIU2025_CAGE,admit_primary,"within-species replication of pollinator-service effect; not genus-independent","Independent experiment showing that the reproductive-service filter is not specific to birds."
