topology,trait_scenario,state,n_state,mpd_p,mntd_p,state_test_status,source_result,source_workflow_or_run,notes
WFO55_FastTree_ASTRAL,strict_wild,A,1,,,not_testable_singleton,docs/WFO55_WILD_COLOUR_CONSERVATISM_RESULT.md,wfo55-colour-conservatism,"A singleton under strict wild-state coding; no state-specific clustering claim."
WFO55_FastTree_ASTRAL,strict_wild,W,19,0.0580,0.190,not_significant,docs/WFO55_WILD_COLOUR_CONSERVATISM_RESULT.md,wfo55-colour-conservatism,"W not individually clustered."
WFO55_FastTree_ASTRAL,strict_wild,Y,4,0.00118,0.00582,significant_both_metrics,docs/WFO55_WILD_COLOUR_CONSERVATISM_RESULT.md,wfo55-colour-conservatism,"Y clustered under strict wild-state coding."
WFO55_FastTree_ASTRAL,dominant,A,4,0.000210,0.00399,significant_both_metrics,docs/WFO55_WILD_COLOUR_CONSERVATISM_RESULT.md,wfo55-colour-conservatism,"A clustering exists only under dominant-colour sensitivity."
WFO55_FastTree_ASTRAL,dominant,W,22,0.119,0.152,not_significant,docs/WFO55_WILD_COLOUR_CONSERVATISM_RESULT.md,wfo55-colour-conservatism,"W not individually clustered."
WFO55_FastTree_ASTRAL,dominant,Y,4,0.000730,0.00434,significant_both_metrics,docs/WFO55_WILD_COLOUR_CONSERVATISM_RESULT.md,wfo55-colour-conservatism,"Y clustered under dominant-colour sensitivity."
WFO53_UFBoot_ASTRAL,strict_wild,A,1,,,not_testable_singleton,docs/WFO53_UFBOOT_WILD_COLOUR_CONSERVATISM_RESULT.md,run_32552618223_topology_plus_wfo53_colour_conservatism,"A singleton under strict wild-state coding."
WFO53_UFBoot_ASTRAL,strict_wild,W,19,,,not_significant_exact_p_not_frozen_in_doc,docs/WFO53_UFBOOT_WILD_COLOUR_CONSERVATISM_RESULT.md,run_32552618223_topology_plus_wfo53_colour_conservatism,"Source result explicitly reports W non-significant; exact state-level P values are not transcribed into this bridge registry."
WFO53_UFBoot_ASTRAL,strict_wild,Y,3,0.00771,0.00721,significant_both_metrics,docs/WFO53_UFBOOT_WILD_COLOUR_CONSERVATISM_RESULT.md,run_32552618223_topology_plus_wfo53_colour_conservatism,"Y clustered under strict wild-state coding on the stronger UFBoot topology."
WFO53_UFBoot_ASTRAL,dominant,A,4,0.00110,0.0119,significant_both_metrics,docs/WFO53_UFBOOT_WILD_COLOUR_CONSERVATISM_RESULT.md,run_32552618223_topology_plus_wfo53_colour_conservatism,"A clustering remains a dominant-colour sensitivity only."
WFO53_UFBoot_ASTRAL,dominant,W,22,,,not_significant_exact_p_not_frozen_in_doc,docs/WFO53_UFBOOT_WILD_COLOUR_CONSERVATISM_RESULT.md,run_32552618223_topology_plus_wfo53_colour_conservatism,"Source result explicitly reports W non-significant; exact state-level P values are not transcribed into this bridge registry."
WFO53_UFBoot_ASTRAL,dominant,Y,3,0.00501,0.00530,significant_both_metrics,docs/WFO53_UFBOOT_WILD_COLOUR_CONSERVATISM_RESULT.md,run_32552618223_topology_plus_wfo53_colour_conservatism,"Y clustered under dominant-colour coding on the stronger UFBoot topology."
