input_id,figure_id,panel_id,metric,group,value,unit,result_id,source_ref
F1_CLIMATE_P,Fig1,A,one_sided_climate_divergence_p,climate,0.92889,p_value,E01_UNIVERSAL_COLD_CHAIN_NOT_SUPPORTED,docs/WITHIN_SECTION_COLOUR_CLIMATE_COUPLING_RESULT.md
F1_POLLINATOR_P,Fig1,A,hue_pollinator_permutation_p,pollination,0.77127,p_value,E02_VISIBLE_HUE_POLLINATOR_ALIASING,PR#39
F2_FLS_CDS_ID,Fig2,A,full_cds_identity,FLS_same_lineage,98.824,percent,M01_FLS_SAME_LINEAGE,docs/ORTHOLOGY_RESOLUTION_PRE_MACRO_GATE.md
F2_FLS_PROT_ID,Fig2,A,protein_identity,FLS_same_lineage,98.23,percent,M01_FLS_SAME_LINEAGE,docs/ORTHOLOGY_RESOLUTION_PRE_MACRO_GATE.md
F2_FLS_TREE_SUPPORT,Fig2,A,sister_pair_support,FLS_same_lineage,0.977,proportion,M01_FLS_SAME_LINEAGE,docs/ORTHOLOGY_RESOLUTION_PRE_MACRO_GATE.md
F2_DFR_A_ID,Fig2,B,CjDFR_vs_CsDFRa_protein_identity,DFR_CsDFRa_like,99.005,percent,M02_DFR_PARALOG_SUBSTITUTION,docs/ORTHOLOGY_RESOLUTION_PRE_MACRO_GATE.md
F2_DFR_B2_ID,Fig2,B,CjDFR_vs_CsDFRb2_protein_identity,DFR_CsDFRb2_source,53.883,percent,M02_DFR_PARALOG_SUBSTITUTION,docs/ORTHOLOGY_RESOLUTION_PRE_MACRO_GATE.md
F3_LEGACY_TIPS,Fig3,A,legacy_camellia_tips,taxonomy,93,count,T01_WFO_ACCEPTED_TAXONOMY,PR#46
F3_ACCEPTED_SPECIES,Fig3,A,wfo_accepted_camellia_species,taxonomy,55,count,T01_WFO_ACCEPTED_TAXONOMY,PR#46
F3_PROVISIONAL_HARD,Fig3,B,provisional_hard_colour_states,trait_audit,35,count,T02_WILD_COLOUR_AUDIT,PR#51
F3_STRICT_SEED,Fig3,B,strict_wild_colour_seed,trait_audit,24,count,T02_WILD_COLOUR_AUDIT,PR#51
F3_DOMINANT_SEED,Fig3,B,dominant_colour_sensitivity_seed,trait_audit,30,count,T02_WILD_COLOUR_AUDIT,PR#51
F3_DEMOTED,Fig3,B,provisional_hard_demoted_in_strict,trait_audit,11,count,T02_WILD_COLOUR_AUDIT,PR#51
F4_TOTAL_SPLITS,Fig4,A,nontrivial_splits_per_tree,topology,50,count,P01_NUCLEAR_TOPOLOGY_CONCORDANCE,PR#56
F4_SHARED_SPLITS,Fig4,A,shared_nontrivial_splits,topology,46,count,P01_NUCLEAR_TOPOLOGY_CONCORDANCE,PR#56
F4_RF,Fig4,A,robinson_foulds_difference,topology,8,count,P01_NUCLEAR_TOPOLOGY_CONCORDANCE,PR#56
F4_NRF,Fig4,A,normalized_RF,topology,0.08,proportion,P01_NUCLEAR_TOPOLOGY_CONCORDANCE,PR#56
F4_JACCARD,Fig4,A,split_jaccard,topology,0.8519,proportion,P01_NUCLEAR_TOPOLOGY_CONCORDANCE,PR#56
F5_FAST_STRICT_NEAR,Fig5,A,nearest_same_state_p,FastTree_strict,0.00212,p_value,P02_LOCAL_COLOUR_CONSERV_FASTTREE,PR#55
F5_FAST_DOM_NEAR,Fig5,A,nearest_same_state_p,FastTree_dominant,0.0000099999,p_value,P02_LOCAL_COLOUR_CONSERV_FASTTREE,PR#55
F5_UF_STRICT_NEAR,Fig5,B,nearest_same_state_p,UFBoot_strict,0.00116,p_value,P03_LOCAL_COLOUR_CONSERV_UFBOOT,PR#58
F5_UF_DOM_NEAR,Fig5,B,nearest_same_state_p,UFBoot_dominant,0.00008,p_value,P03_LOCAL_COLOUR_CONSERV_UFBOOT,PR#58
F5_FAST_STRICT_MPD,Fig5,C,global_same_state_MPD_p,FastTree_strict,0.00803,p_value,P04_GLOBAL_MPD_TOPOLOGY_SENSITIVE,PR#55
F5_FAST_DOM_MPD,Fig5,C,global_same_state_MPD_p,FastTree_dominant,0.00770,p_value,P04_GLOBAL_MPD_TOPOLOGY_SENSITIVE,PR#55
F5_UF_STRICT_MPD,Fig5,C,global_same_state_MPD_p,UFBoot_strict,0.1724,p_value,P04_GLOBAL_MPD_TOPOLOGY_SENSITIVE,PR#58
F5_UF_DOM_MPD,Fig5,C,global_same_state_MPD_p,UFBoot_dominant,0.1327,p_value,P04_GLOBAL_MPD_TOPOLOGY_SENSITIVE,PR#58
F6_STRICT_EVENTS,Fig6,A,strong_robust_transitions,strict,0,count,B01_NO_ROBUST_ACCEPTED_BRANCH_EVENTS,PR#53
F6_DOM_EVENTS,Fig6,A,strong_robust_transitions,dominant,1,count,B01_NO_ROBUST_ACCEPTED_BRANCH_EVENTS,PR#53
F6_SHARED_EVENTS,Fig6,A,cross_scenario_robust_transitions,strict_x_dominant,0,count,B01_NO_ROBUST_ACCEPTED_BRANCH_EVENTS,PR#53
