plant_id,season,full_bloom_stage,A,F,C,P,bee_hex_contrast,uv_reflectance_300_400,fluorescence_index,anthocyanin_total,flavonol_total,carotenoid_total,flavan3ol_total,nectar_volume,sucrose_ratio,temperature_c,bird_visitation,bird_effectiveness,bee_visitation,bee_effectiveness,fruit_set,seed_set
P01,summer,full_bloom,,,,,,,,,,,,,,,,,,,,
P01,winter,full_bloom,,,,,,,,,,,,,,,,,,,,
P02,summer,full_bloom,,,,,,,,,,,,,,,,,,,,
P02,winter,full_bloom,,,,,,,,,,,,,,,,,,,,
P03,summer,full_bloom,,,,,,,,,,,,,,,,,,,,
P03,winter,full_bloom,,,,,,,,,,,,,,,,,,,,
P04,summer,full_bloom,,,,,,,,,,,,,,,,,,,,
P04,winter,full_bloom,,,,,,,,,,,,,,,,,,,,
P05,summer,full_bloom,,,,,,,,,,,,,,,,,,,,
P05,winter,full_bloom,,,,,,,,,,,,,,,,,,,,
P06,summer,full_bloom,,,,,,,,,,,,,,,,,,,,
P06,winter,full_bloom,,,,,,,,,,,,,,,,,,,,
P07,summer,full_bloom,,,,,,,,,,,,,,,,,,,,
P07,winter,full_bloom,,,,,,,,,,,,,,,,,,,,
P08,summer,full_bloom,,,,,,,,,,,,,,,,,,,,
P08,winter,full_bloom,,,,,,,,,,,,,,,,,,,,
P09,summer,full_bloom,,,,,,,,,,,,,,,,,,,,
P09,winter,full_bloom,,,,,,,,,,,,,,,,,,,,
P10,summer,full_bloom,,,,,,,,,,,,,,,,,,,,
P10,winter,full_bloom,,,,,,,,,,,,,,,,,,,,
P11,summer,full_bloom,,,,,,,,,,,,,,,,,,,,
P11,winter,full_bloom,,,,,,,,,,,,,,,,,,,,
P12,summer,full_bloom,,,,,,,,,,,,,,,,,,,,
P12,winter,full_bloom,,,,,,,,,,,,,,,,,,,,
P13,summer,full_bloom,,,,,,,,,,,,,,,,,,,,
P13,winter,full_bloom,,,,,,,,,,,,,,,,,,,,
P14,summer,full_bloom,,,,,,,,,,,,,,,,,,,,
P14,winter,full_bloom,,,,,,,,,,,,,,,,,,,,
P15,summer,full_bloom,,,,,,,,,,,,,,,,,,,,
P15,winter,full_bloom,,,,,,,,,,,,,,,,,,,,
