effect_id,axis,study,taxon,visible_state,contrast,outcome,effect_metric,numerator_value,denominator_value,effect_value,se_value,variance_status,events_num,n_num,events_den,n_den,independence_unit,source,notes
ECO_BIRD_JAPONICA_FRUIT,pollinator_service,Kunitake_et_al_2004,Camellia japonica,A,open_vs_bird_excluded,fruit_set,lnRR,0.362,0.057,1.8486,,needs_exact_counts_or_binomial_reconstruction,,,,,Cjaponica_Kunitake2004,10.1111/j.1442-1984.2004.00115.x,"Open vs cages excluding larger animals; 36.2% vs 5.7%."
ECO_BIRD_PETELOTII_FRUIT,pollinator_service,Sun_et_al_2017,Camellia petelotii,Y,open_vs_bird_excluded,fruit_set,lnRR,1.000,0.3294,1.1105,,magnitude_only_until_raw_denominators_extracted,,,,,Cpetelotii_Sun2017,10.3732/ajb.1600428,"Caged fruit set decreased 67.06% relative to open; ratio represented as open=1."
ECO_BIRD_PETELOTII_SEED,pollinator_service,Sun_et_al_2017,Camellia petelotii,Y,open_vs_bird_excluded,seed_set,lnRR,1.000,0.3588,1.0250,,magnitude_only_until_raw_denominators_extracted,,,,,Cpetelotii_Sun2017,10.3732/ajb.1600428,"Secondary correlated outcome; caged seed set decreased 64.12%."
ECO_BIRD_OLEIFERA_FRUIT,pollinator_service,Zhang_et_al_2024,Camellia oleifera,W,open_vs_bird_excluded,fruit_set,lnRR,1.000,0.4372,0.8274,0.0895,provisional_SE_from_log_ratio_over_sqrt_Wald_chi2,,,,,Coleifera_Zhang2024,10.1111/jipb.13731,"Caged fruit set decreased 56.28%; provisional Wald-derived SE is not admitted for formal pooling."
ECO_BIRD_OLEIFERA_SEED,pollinator_service,Zhang_et_al_2024,Camellia oleifera,W,open_vs_bird_excluded,seed_set,lnRR,1.000,0.7239,0.3232,0.0452,provisional_SE_from_log_ratio_over_sqrt_Wald_chi2,,,,,Coleifera_Zhang2024,10.1111/jipb.13731,"Secondary correlated outcome; seed set decreased 27.61%."
ECO_PL_PUBIPETALA_FRUIT,pollen_limitation,Chai_et_al_2019,Camellia pubipetala,Y,supplemental_vs_open,fruit_set,lnRR,0.2333333333,0.0666666667,1.2528,,raw_binomial_counts,7,30,4,60,Cpubipetala_Chai2019,10.1111/1442-1984.12247,"Supplement: 7 mature fruits/30 flowers; open: 4/60."
ECO_PL_PUBIPETALA_SEED,pollen_limitation,Chai_et_al_2019,Camellia pubipetala,Y,supplemental_vs_open,seed_set,lnRR,0.647,0.389,0.5090,,means_SD_available_but_effective_n_needs_definition,,,,,Cpubipetala_Chai2019,10.1111/1442-1984.12247,"Correlated secondary outcome."
ECO_PL_PETELOTII,pollen_limitation,Sun_et_al_2017,Camellia petelotii,Y,supplemental_vs_open,fruit_seed_set,reported_null,,,,,contrast_reported_null_extract_exact_values,,,,,Cpetelotii_Sun2017,10.3732/ajb.1600428,"Open vs pollen supplement: fruit chi2=0.01 P=.91; seed chi2=.07 P=.79."
ECO_RELIABILITY_OLEIFERA_PL_VD,pollinator_reliability,Xie_et_al_2013,Camellia oleifera,W,Andrena_visit_density_vs_pollen_limitation,pollen_limitation,reported_slope,,,-0.007,,reported_F20.05_df6_P0.004_no_SE,,,,,Coleifera_Xie2013,https://www.fspublishers.org/paper/172,"Across eight forests, PL = 0.48 - 0.007*VD; F=20.05, df=6, P=0.004."
ECO_CLIMMED_HAINANICA_VISITS,climate_pollinator_mediation,Yuan_et_al_2025,Camellia hainanica,unknown,cool_transplanted_vs_native,pollinator_visitation,lnRR,0.08,1.0,-2.5257,,reported_percent_change_no_variance,,,,,Chainanica_Yuan2025,10.3390/agriculture15161717,"Cooler site delayed anthesis 45 d and peak visitation declined 92%."
