study_id,year,taxon,ecological_axis,design,quantitative_status,primary_outcome,admission_status,source,role,claim_ceiling
Wickramaratne1985,1985,Camellia sinensis,insect_pollination_context,seed_garden_field_observation,descriptive,visitor_efficiency,admit_context,https://journals.sta.uwi.edu/ojs/index.php/ta/article/view/2241,"seasonal insect pollinator context in tea","cultivated seed-garden evidence; no standardized effect size"
Kunitake2004,2004,Camellia japonica,pollinator_service,bird_exclusion_plus_visit_gradient,effect_size_partial,fruit_set,admit_primary,10.1111/j.1442-1984.2004.00115.x,"bird contribution to fruit set; visit-response saturation","one temperate population system; not a genus-wide bird syndrome"
ZengLi2010,2010,Camellia oleifera,climate_pollinator_mediation,seven_year_flowering_weather_observation,threshold_quantitative,fruit_set,admit_mediation,10.11833/j.issn.2095-0756.2010.03.001,"natural pollination threshold approximately 8 C versus artificial pollination fruit set from 5 C under sunny frost-free conditions","historical observational threshold; weather factors co-vary"
Abe2013,2013,Camellia japonica,disturbance_pollination_context,field_genetics_across_volcanic_disturbance,context_quantitative,pollen_flow_and_paternal_diversity,admit_context,10.1371/journal.pone.0062696,"disturbance changes bird movement and pollen-flow context","not a flower-colour manipulation"
Xie2013,2013,Camellia oleifera,pollinator_reliability,regional_gradient_plus_pollen_supplement,gradient_quantitative,pollen_limitation,admit_primary,https://www.fspublishers.org/paper/172,"pollinator scarcity predicts pollen limitation across eight forests; phenology/habitat mechanism proposed","agroecosystem regional comparison; climate and habitat co-vary"
Chen2014,2014,Camellia oleifera,breeding_system,pollination_treatments,quantitative_sensitivity,fruit_seed_set,admit_context,10.1371/journal.pone.0099639,"cross-pollination versus open fruit-set contrast; self-incompatibility context","not a clean pollen-supplementation field contrast because emasculation/bagging and paternal compatibility differ"
Berruti2015,2015,Camellia japonica,abiotic_pigment_manipulation,cold_dark_duration_experiment,magnitude_only,petal_anthocyanin,admit_with_confound,10.3389/fpls.2015.00983,"flowering environment alters petal anthocyanin deployment","cold and darkness are confounded"
Sun2017,2017,Camellia petelotii,pollinator_service_weather,bird_exclusion_plus_weather_observation,effect_size_partial,fruit_seed_set,admit_primary,10.3732/ajb.1600428,"bird service plus weather-sensitive bee visitation","one golden-flowered wild system"
Chai2019,2019,Camellia pubipetala,pollen_limitation,supplemental_pollination_plus_visitation,effect_size_with_counts,fruit_set,admit_primary,10.1111/1442-1984.12247,"severe pollen limitation and low pollinator visitation","endangered yellow species; small populations"
Li2021JAE,2021,Camellia oleifera,pollinator_reliability,two_year_wild_bee_abundance_spatial_gradient,model_coefficients,fruit_set,admit_primary,10.1111/jen.12849,"wild-bee abundance positively predicts fruit set in both years; nest distance negatively predicts fruit set","agricultural field system; same species/year measures correlated"
Li2021BAE,2021,Camellia oleifera,insect_pollinator_efficiency,single_visit_and_behaviour,effect_size_extract_needed,pollen_transfer,admit_context,10.1016/j.baae.2021.08.005,"wild bees versus managed Apis efficiency","agricultural field system; not direct fruit-set exclusion"
Mori2023,2023,"Camellia rusticana;Camellia japonica",sensory_pollinator_aliasing,paired_same_hue_choice_plus_spectra,effect_size_partial,bumblebee_choice,admit_primary,10.1016/j.phytochem.2022.113559,"same visible red state has >20-fold bee-choice contrast and different UV/fluorescence","paired species contrast; pollinator choice not lifetime fitness"
Zhang2024,2024,Camellia oleifera,pollinator_service_conflict,bird_exclusion_plus_pollen_toxicity,effect_size_partial,fruit_seed_set,admit_primary,10.1111/jipb.13731,"bird contribution plus anti-bee pollen toxicity","brief study; simple ratio SE is not directly reported"
Jiang2025,2025,Camellia perpetua,season_weather_pollination,seasonal_field_comparison,effect_size_partial,nectar_and_reproduction,admit_primary,10.1016/j.flora.2025.152727,"winter versus summer changes nectar, bird weighting and reproduction","season correlational; exact reproductive sampling variance still to extract"
Yuan2025,2025,Camellia hainanica,climate_phenology_pollination,translocation_quasi_experiment,effect_size_partial,pollinator_visits_pollen_deposition_fruit_set,admit_mediation,10.3390/agriculture15161717,"cooler transplanted site delays anthesis 45 d; visits -92%; pollen deposition -57%; natural fruit set 0; hand cross 11%","range-expansion quasi-experiment; multiple site factors co-vary and flower colour is not manipulated"
Liu2025,2025,Camellia oleifera,pollinator_service_weather,three_year_honeybee_introduction_cage_and_open_field,effect_size_partial,fruit_set_seed_yield,admit_primary,10.3390/insects16101028,"independent honey-bee service experiment; 2020-2021 cage RR 2.56; benefit varies among years/weather","same species as other C. oleifera studies; within-species replication rather than new genus-level taxon"
Li2026,2026,Camellia oleifera,pollinator_efficiency,pollen_load_and_deposition_comparison,mechanistic_quantitative,pollen_carrying_and_deposition,admit_context,10.3390/insects17020153,"wild pollinator species differ in pollen carrying/deposition traits","mechanistic effectiveness, not fruit-set lifetime fitness"
