clade,tips,fine_states,coarse_states,conditional_auc,null_mean_auc,centered_auc_effect,p_one_sided,null_q025,null_q975
Chrysophyllum,22,3,2,0.5655075187969925,0.5089346622632188,0.05657285653377364,0.0801,0.4580827067669173,0.6241729323308268
Cissus,69,4,2,0.5170953702576068,0.5079638967723377,0.009131473485269104,0.3406,0.4621843051540577,0.5680929153339785
Clidemia,78,3,2,0.6053628448463934,0.5573075935744544,0.04805525127193899,0.0605,0.5285694452708197,0.6545090339342734
Diospyros,115,5,2,0.5105715058726167,0.46882686868517187,0.04174463718744481,0.0449,0.42719767302664996,0.5188098367541251
Elaeocarpus,63,3,2,0.41477331673410106,0.3877655207682818,0.02700779596581926,0.2141,0.346294999481274,0.5195799616142753
Garcinia,54,4,2,0.48516571005369374,0.4767419163690114,0.008423793684682324,0.3579,0.4148400296241437,0.5730777633771523
Gaultheria,72,3,2,0.6093796711509716,0.5978365170490998,0.011543154101871789,0.3675,0.535927824044416,0.7286248131539611
Ilex,120,3,2,0.4694778597204886,0.4644111288050633,0.00506673091542531,0.3316,0.4446105538675246,0.5048649685794183
Lonicera,81,4,2,0.5585963577131565,0.5133241023773931,0.0452722553357634,0.0078,0.49677633804195925,0.5473801036075729
Maytenus,31,3,2,0.4173280423280423,0.41783718873273074,-0.0005091464046884098,0.3461,0.38895187704711515,0.4876275510204081
Passiflora,179,5,2,0.5963372220303829,0.49401837886468936,0.10231884316569351,0.0001,0.4871954483485417,0.5066375794357745
Pouteria,90,3,2,0.5036408292687153,0.5178594032366812,-0.014218573967965886,0.858,0.4968244720328288,0.5529321562546025
Protium,47,3,2,0.5174359598912028,0.48937110385147775,0.028064856039725083,0.0506,0.47316946102112345,0.5287020122058484
Rhus,35,3,2,0.5923669467787115,0.5936823631009226,-0.0013154163222111048,0.389,0.551795051353875,0.6911636321195143
Ribes,80,5,2,0.5650464921515564,0.5576469183732105,0.007399573778345991,0.2952,0.5312662141243996,0.5939136617386493
Rosa,87,4,2,0.634860206883451,0.502294088441431,0.13256611844202004,0.0003,0.4659888700847912,0.5768892793617352
Scaevola,33,3,2,0.8053080387084411,0.7762791273857673,0.029028911322673823,0.1385,0.739628245664463,0.8390342052313883
Solanum,440,4,2,0.7204922776087965,0.4818555085190616,0.2386367690897349,0.0001,0.42655781450968194,0.5431415238624467
Symplocos,94,4,2,0.39797493233162334,0.34869338613189527,0.04928154619972808,0.0145,0.32046925566343043,0.3909283883245964
Terminalia,40,3,2,0.6455165994415141,0.6427183906724524,0.002798208769061672,0.3719,0.6144508222153273,0.6935308718585169
Vaccinium,85,4,2,0.5873764383350065,0.570103568971462,0.017272869363544552,0.107,0.5508620356784308,0.6029361754354997
