screen_order,source_doi,publication_year,radiation,matched_taxa,tissue,continuous_quantity_available,unique_quantity_values,exact_zero_fraction,molecular_matrix_available,early_core_genes,branch_composition_genes,late_output_genes,pathway_regulation_genes,branch_length_tree_available,public_numeric_data_available,decisive_target_outcome_inspected,admission_status,exclusion_reason
1,10.1093/aob/mcw043,2016,ANTIRRHINEAE,NA,flower,NOT_OPENED,NA,NA,false,NA,NA,NA,NA,true,true,false,UNQUALIFIED,PREEXISTING_ATLAS_DEPENDENCE_COLLAPSE_NO_MATCHED_FOUR_CLASS_MOLECULAR_FRAME
2,10.3389/fpls.2021.661522,2021,HYDRANGEA_CORNIDIA,NA,flower,NOT_OPENED,NA,NA,false,NA,NA,NA,NA,true,true,false,UNQUALIFIED,PREEXISTING_ATLAS_MOLECULAR_LAYER_WEAK_CULTIVAR_BIASED
3,10.3390/plants11121579,2022,LINOIDEAE,NA,flower,NOT_OPENED,NA,NA,false,NA,NA,NA,NA,true,true,false,UNQUALIFIED,PREEXISTING_ATLAS_MOLECULAR_RESOURCES_UNEVEN_NOT_MATCHED_WILD_RADIATION
4,10.1186/s12870-025-07147-9,2025,POLYGONATUM_VERTICILLATA,NA,flower,NOT_OPENED,NA,NA,false,NA,NA,NA,NA,true,true,false,UNQUALIFIED,PREEXISTING_ATLAS_DIRECT_PIGMENT_NETWORK_MECHANISM_NOT_ESTABLISHED
5,10.1371/journal.pone.0163194,2016,ANGRAECINAE,NA,flower,NOT_OPENED,NA,NA,false,NA,NA,NA,NA,true,true,false,UNQUALIFIED,PREEXISTING_ATLAS_MOLECULAR_PIGMENT_LAYER_WEAK
6,10.3389/fpls.2022.945806,2022,SILENE_PHYSOLYCHNIS,NA,flower,NOT_OPENED,NA,NA,false,NA,NA,NA,NA,true,true,false,UNQUALIFIED,PREEXISTING_ATLAS_MATCHED_MOLECULAR_EVIDENCE_SPARSE
7,10.1093/aob/mcad122,2023,EUONYMUS,NA,flower,NOT_OPENED,NA,NA,false,NA,NA,NA,NA,true,true,false,UNQUALIFIED,PREEXISTING_ATLAS_FLORAL_PIGMENT_MOLECULAR_LAYER_WEAK
8,10.1093/aob/mcv048,2015,NICOTIANA,NA,flower,NOT_OPENED,NA,NA,true,NA,NA,NA,NA,true,true,false,UNQUALIFIED,PREEXISTING_ATLAS_NETWORK_CONFOUNDED_RETICULATION_AND_NO_FROZEN_MATCHED_QUANTITY_FRAME
9,10.1002/ajb2.70005,2025,LINANTHUS,NA,flower,NOT_OPENED,NA,NA,false,NA,NA,NA,NA,true,true,false,UNQUALIFIED,PREEXISTING_ATLAS_MOLECULAR_BASIS_NOT_ESTABLISHED
10,10.1046/j.1420-9101.2002.00399.x,2002,ACER,NA,flower,NOT_OPENED,NA,NA,false,NA,NA,NA,NA,true,false,false,UNQUALIFIED,PREEXISTING_ATLAS_COMPARATIVE_PIGMENT_CONTEXT_NOT_MATCHED_MODERN_MOLECULAR_MATRIX
11,10.1046/j.1420-9101.2002.00399.x,2002,DALECHAMPIA,NA,bract,NOT_OPENED,NA,NA,false,NA,NA,NA,NA,true,false,false,UNQUALIFIED,PREEXISTING_ATLAS_COMPARATIVE_PIGMENT_CONTEXT_NOT_MATCHED_MODERN_MOLECULAR_MATRIX
12,10.1111/plb.12649,2018,RHODODENDRON_30_SPECIES,30,petal,true,NOT_INSPECTED,NOT_INSPECTED,false,0,0,0,0,false,true,false,UNQUALIFIED,CONTINUOUS_QUANTITY_PRESENT_BUT_NO_SAME_TAXON_MOLECULAR_MATRIX
13,10.1093/treephys/tpab160,2022,RHODODENDRON_4_SPECIES,4,flower,true,NOT_INSPECTED,NOT_INSPECTED,true,NA,NA,NA,NA,true,true,false,UNQUALIFIED,MATCHED_TAXON_COUNT_BELOW_FROZEN_20
14,10.1186/s12862-021-01955-x,2021,RUELLIA_10_SPECIES,10,flower,NOT_OPENED,NA,NA,true,NA,NA,NA,NA,true,true,false,UNQUALIFIED,MATCHED_TAXON_COUNT_BELOW_FROZEN_20
15,10.7717/peerj.8778,2020,ACHIMENES_10_SPECIES,10,whole_flower,false,NA,NA,true,NA,NA,NA,NA,true,true,false,UNQUALIFIED,MATCHED_TAXON_COUNT_BELOW_FROZEN_20_AND_NO_DIRECT_TOTAL_PIGMENT_QUANTITY
16,10.3389/fpls.2022.976283,2022,CHILOGLOTTIS_5_SPECIES,5,floral_structure,NOT_OPENED,NA,NA,true,NA,NA,NA,NA,true,true,false,UNQUALIFIED,MATCHED_TAXON_COUNT_BELOW_FROZEN_20
17,10.1093/aob/mcac103,2022,DENDROBIUM_HYBRID,1,flower,true,NOT_INSPECTED,NOT_INSPECTED,true,NA,NA,NA,NA,false,true,false,UNQUALIFIED,NOT_AN_INDEPENDENT_RADIATION_AND_MATCHED_TAXON_COUNT_BELOW_FROZEN_20
18,10.3389/fpls.2026.1907085,2026,PAEONIA_LACTIFLORA_3_CULTIVARS,3,petal,true,NOT_INSPECTED,NOT_INSPECTED,true,NA,NA,NA,NA,false,true,false,UNQUALIFIED,CULTIVAR_WITHIN_SPECIES_FRAME_AND_MATCHED_TAXON_COUNT_BELOW_FROZEN_20
