tier,system,phenotype_dimension,evidence_unit,observation_regime,event_independence,strongest_supported_recurrence_level,specificity_class,primary_or_stress,evidence_status,key_evidence,source_reference,independence_note
M1,IOCHROMINAE,HUE_OR_HYDROXYLATION,WITHIN_RADIATION_AXIS,COMMON_PATHWAY_EXPRESSION,RETROSPECTIVE_SAME_RADIATION,BRANCHING_ENZYME_SUBSPACE,BRANCH_SPECIFIC_OR_FINER,PRIMARY_PAIRED,SUPPORT_FINE_LOCALIZATION,"hue maps to branching-enzyme subspace",10.1093/molbev/msy117,"paired with Iochrominae intensity axis; do not count as independent of its M3 loss row"
M1,IOCHROMINAE,PIGMENT_AMOUNT_OR_DEPLETION,WITHIN_RADIATION_AXIS,COMMON_PATHWAY_EXPRESSION,RETROSPECTIVE_SAME_RADIATION,LATE_PATHWAY_COEXPRESSION_MODULE,MODULE_OR_CORE,PRIMARY_PAIRED,SUPPORT_COARSE_LOCALIZATION,"intensity maps to late-pathway coexpression module",10.1093/molbev/msy117,"paired with Iochrominae hue axis"
M1,CAPE_ERICA,HUE_OR_HYDROXYLATION,DERIVED_TAXON_SET,COMMON_RT_QPCR_PLUS_UPLC,RETROSPECTIVE_PUTATIVE_COMPARISON_SETS,EXACT_BRANCHING_ENZYME_F3_PRIME_H,BRANCH_SPECIFIC_OR_FINER,PRIMARY_PAIRED,SUPPORT_FINE_LOCALIZATION,"yellow hue branch: F3'H focal node in 2/2 taxa via regulatory and coding implementations",10.3389/fpls.2019.01565,"paired with Cape Erica depletion axis; putative comparison sets are not an event-rate denominator"
M1,CAPE_ERICA,PIGMENT_AMOUNT_OR_DEPLETION,DERIVED_TAXON_SET,COMMON_RT_QPCR_PLUS_UPLC,RETROSPECTIVE_PUTATIVE_COMPARISON_SETS,HETEROGENEOUS_LATE_AND_REGULATORY_NODES,DIVERSE_OR_PRIMARY_FAIL,PRIMARY_PAIRED,HETEROGENEOUS,"white depletion: 4 focal node classes among 6 taxa; F3'H 0/6",10.3389/fpls.2019.01565,"paired with Cape Erica hue axis"
M1,PETUNIEAE,HUE_OR_HYDROXYLATION,WITHIN_RADIATION_AXIS,PATHWAY_TRANSCRIPT_PC1_PLUS_PIGMENT_PROFILE,PROSPECTIVE_PRE_FROZEN_GATE,BRANCHING_HUE_SUBSPACE,BRANCH_SPECIFIC_OR_FINER,PRIMARY_PAIRED,SUPPORT_FINE_LOCALIZATION,"53 anthocyanin-positive taxa; BRANCHING_HUE best, AICc margin 11.60282936 and beats null",10.1098/rspb.2023.0275,"only prospective phenotype-axis component"
M1,PETUNIEAE,PIGMENT_AMOUNT_OR_DEPLETION,WITHIN_RADIATION_AXIS,PATHWAY_TRANSCRIPT_PC1_PLUS_PIGMENT_PROFILE,PROSPECTIVE_PRE_FROZEN_GATE,PRIMARY_GATE_FAIL,DIVERSE_OR_PRIMARY_FAIL,PRIMARY_PAIRED,PRIMARY_FAIL,"59 taxa; raw amount BRANCHING_HUE best margin 0.44436806 and does not beat null; log sensitivity selects LATE_OUTPUT but cannot upgrade gate",10.1098/rspb.2023.0275,"paired with prospective hue axis; sensitivity is post-gate"
M2,IPOMOEA,HUE_OR_HYDROXYLATION,ROBUST_MACRO_EVENT,EXPRESSION_PLUS_FUNCTIONAL_GENETICS,ROBUST_TO_PHYLOGENETIC_UNCERTAINTY,EXACT_GENE_REGULATORY_F3_PRIME_H,BRANCH_SPECIFIC_OR_FINER,EXTERNAL_STRESS,SUPPORT_FINE_LOCALIZATION,"floral F3'H regulatory reduction implicated in 3/3 independent blue/purple-to-red origins",10.1111/j.1469-8137.2009.02929.x,"independent radiation external to the M1 paired systems"
M3,AQUILEGIA,PIGMENT_AMOUNT_OR_DEPLETION,MOLECULAR_LINEAGE_SET,COMMON_PATHWAY_EXPRESSION,"six macro losses; seven A-minus molecular lineages",LATE_PATHWAY_EXPRESSION,MODULE_OR_CORE,EXTERNAL_STRESS,SUPPORT_COARSE_LOCALIZATION,"anthocyanin-loss lineages show convergent stronger downstream pathway downregulation; exact causal regulator unresolved for every event",10.1111/j.1365-294X.2006.03114.x,"independent radiation external to the M1 paired systems"
M3,EPIMEDIUM,PIGMENT_AMOUNT_OR_DEPLETION,ENDPOINT_SPECIES,COMMON_12_GENE_CANDIDATE_PANEL,EVENT_IDENTITY_UNRESOLVED,RECURRENT_CORE_ANS,MODULE_OR_CORE,EXTERNAL_STRESS,SUPPORT_COARSE_LOCALIZATION,"ANS low 4/4 A-minus endpoints; DFR 3/4; broad signature max 2/4 and copy-aware implementation max 1/4",10.3389/fpls.2023.1133616,"endpoint stress test only; not an independent-event recurrence estimate"
M4,PETUNIA,REGAIN_FROM_COLORLESS,ROBUST_EVENT,FUNCTIONAL_GENETICS,ROBUST_WITHIN_LONG_TUBE_CLADE,R2R3_MYB_REGULATOR_CLASS,MODULE_OR_CORE,COMPLEMENTARY_STRESS,HIERARCHICAL_REUSE,"R2R3-MYB function restored/recruited in 2/2 regains but complete implementation recurrence is 0/2",10.1093/plcell/koab114,"supports hierarchy of repeatability; not assigned to hue-versus-depletion contrast"
