doi,year,axis,title,screen_decision,independence_or_cluster,reason,current_effect
10.1007/s10722-025-02606-6,2025,molecular,"Integration of transcriptomic and chemical analysis reveals key regulatory mechanisms involved in color variation between red and white flowers of Camellia semiserrata",admit_new_literature_cluster,CSEMISERRATA,"Independent within-species red-vs-white petal transcriptomic+chemical contrast; six anthocyanins in red and none in white; 11 anthocyanin structural genes strongly down in white. Canonical white->red A direction is up. Public raw accession not located in current open search, so candidate-free admission remains gated.",reopen_literature_ascertainment
10.1016/j.hpj.2025.11.008,2026,molecular,"The Camellia impressinervis genome provides novel insights into the flower coloration and flavor metabolism of Jinhua tea",admit_auxiliary_not_directional,CIMPRESSINERVIS,"Genome/flower-colour resource but no matched source-target petal contrast sufficient for A/F/C/P direction in the recurrence estimator.",no_core_recurrence_change
10.48130/opr-0025-0022,2025,molecular,"The physiological mechanism of the flower color formation of Camellia reticulata 'Tongzimian'",admit_auxiliary_same_cluster,CRETICULATA,"Six-stage physiological/pigment study in Tongzimian; same dependence background as existing C. reticulata evidence and not a new transcript-state independence cluster.",no_independent_cluster
10.3390/ijms25053029,2024,molecular,"Selection and Validation of qRT-PCR Internal Reference Genes to Study Flower Color Formation in Camellia impressinervis",exclude_methods_only,,"Reference-gene validation study, not a directed flower-colour mechanism contrast.",none
10.1186/s12870-024-05737-7,2024,molecular,"Proteomic analysis identified proteins differentially expressed in flavonoid and carotenoid biosynthetic pathways of Camellia nitidissima flowers",admit_auxiliary_same_cluster,CNITIDISSIMA,"Protein-level evidence in existing yellow C. nitidissima biological background; strengthens mechanism but not independent cluster count.",no_independent_cluster
10.21203/rs.3.rs-4326929/v1,2024,molecular,"Multi-omics analysis reveals molecular mechanism of flavonol biosynthesis during petal color formation in Camellia nitidissima",exclude_duplicate_preprint,CNITIDISSIMA,"Preprint form of already represented C. nitidissima multi-omics evidence.",none
10.1101/2023.01.03.522545,2023,molecular,"Multi-omics analysis reveals regulatory mechanism of flavonol biosynthesis during petal color formation in Camellia nitidissima",exclude_duplicate_preprint,CNITIDISSIMA,"Earlier preprint of already represented C. nitidissima multi-omics evidence.",none
10.3390/molecules28217248,2023,molecular,"Metabolomics Analysis Reveals the Accumulation Patterns of Flavonoids and Volatile Compounds in Camellia oleifera Petals with Different Color",admit_auxiliary_chemistry,OIL_CAMELLIA,"Independent colour chemistry evidence but metabolomics-only for current purpose; does not provide the prespecified A/F/C/P transcript-state direction matrix.",no_transcript_recurrence_cell
10.52340/gs.2024.06.03.09,2024,molecular,"Red Pigment of Camellia japonica 'Margaret Walker' Flower",admit_auxiliary_chemistry,CJAPONICA,"Pigment chemistry only and within already represented C. japonica background.",no_independent_cluster
10.1094/pdis-03-20-0657-pdn,2020,molecular,"Camellia japonica associated emaravirus 1 and flower color-breaking disease",exclude_pathology,,"Pathogen-associated colour breaking is outside the heritable/developmental flower-colour recurrence scope.",none
10.3390/horticulturae6030053,2020,molecular,"Measuring Camellia Petal Color Using a Portable Color Sensor",admit_measurement_context,,"Useful objective phenotype measurement paper; no molecular direction contrast.",measurement_context_only
10.3389/fpls.2016.00163,2016,molecular,"Transcriptome Analysis Identifies Candidate Genes Related to Triacylglycerol and Pigment Biosynthesis and Photoperiodic Flowering in Camellia reticulata",exclude_no_directed_colour_contrast,CRETICULATA,"Transcriptome resource/candidate inventory without a matched red-vs-less-red petal contrast for canonical A/F/C/P direction.",none
10.2503/hortj.mi-114,2016,molecular,"Aluminum Ions Are Involved in Purple Flower Coloration in Camellia japonica 'Sennen-fujimurasaki'",admit_auxiliary_physiology,CJAPONICA,"Strong pigment/metal physiology evidence but not a transcript-state recurrence replicate and not an independent species cluster.",no_independent_cluster
10.1002/jsfa.5944,2013,molecular,"Influence of exogenously applied abscisic acid on carotenoid content and water uptake in flowers of Camellia sinensis",admit_auxiliary_abiotic,CAMELLIA_SINENSIS,"Manipulative flower physiology useful for ecological context; not a natural colour-transition transcript-state contrast.",ecology_context_only
10.1016/j.foodchem.2013.02.079,2013,molecular,"Flavonol glycosides in flower buds of Camellia sinensis",admit_auxiliary_chemistry,CAMELLIA_SINENSIS,"Chemical profiling without directed colour contrast.",none
10.1111/j.1744-7909.2009.00828.x,2009,molecular,"A New Acylated Anthocyanin from the Red Flowers of Camellia hongkongensis and characterization in Section Camellia",admit_auxiliary_chemistry,CHONGKONGENSIS,"Relevant historical pigment chemistry but no A/F/C/P transcript-state direction.",none
10.1002/hlca.200890142,2008,molecular,"Five New Flavonol Glycosides from the Fresh Flowers of Camellia reticulata",admit_auxiliary_chemistry,CRETICULATA,"Chemical evidence only; no directed transcript-state contrast.",none
10.2503/hrj.7.139,2008,molecular,"Outdoor Measurements of Flower Colors of Camellia reticulata using the Munsell Color System",admit_measurement_context,CRETICULATA,"Phenotype measurement, not mechanism recurrence.",measurement_context_only
10.2503/jjshs.73.189,2004,molecular,"Petal Coloration of Interspecific Hybrids between Camellia chrysantha and C. japonica",admit_auxiliary_hybrid,CAMELLIA_HYBRID,"Historical hybrid/pigment evidence; no comparable A/F/C/P transcript-state direction.",none
10.1016/s0031-9422(00)00359-9,2001,molecular,"Anthocyanins from red flower tea (Benibana-cha), Camellia sinensis",admit_auxiliary_chemistry,CAMELLIA_SINENSIS,"Pigment chemistry only.",none
10.5109/23982,1992,molecular,"Flower Colors and Pigments of Interspecific Hybrids between Camellia japonica and C. chrysantha",admit_auxiliary_hybrid,CAMELLIA_HYBRID,"Historical pigment/inheritance context, not transcript-state recurrence.",none
10.5642/aliso.19861103.10,1986,molecular,"Floral Pigments of the Yellow Camellia, Camellia chrysantha",admit_auxiliary_chemistry,GOLDEN_CAMELLIA,"Historical pigment chemistry, no transcript-state direction.",none
10.5109/23808,1985,molecular,"Yellow Pigment of Camellia chrysantha Flowers",admit_auxiliary_chemistry,GOLDEN_CAMELLIA,"Historical pigment chemistry, no transcript-state direction.",none
10.1266/jjg.33.333,1958,molecular,"Leuco-anthocyanin in Variable Flowers of Camellia japonica",admit_auxiliary_chemistry,CJAPONICA,"Historical chemistry, no transcript-state direction.",none
10.1002/ece3.73714,2026,ecology,"Ensemble Modeling Reveals Threats to Pollination Services From Asynchronous Range Shifts Between Camellia oleifera and Its Specialized Wild Bee Pollinators",admit_context_not_colour_causation,COLEIFERA_POLLINATION,"Current pollination-service/climate filtering evidence; no direct flower-colour selection test.",strengthen_persistence_context
10.22541/au.176544743.38658238/v1,2025,ecology,"Ensemble modelling reveals threats to pollination services from asynchronous range shifts between Camellia oleifera and specialized wild bee pollinators",exclude_duplicate_preprint,COLEIFERA_POLLINATION,"Preprint of the 2026 Ecology and Evolution article.",none
10.1021/acs.jafc.3c05204,2023,ecology,"Distant Hybridization: A Potential Solution to the Pollination Deficit of Camellia oleifera",admit_context_not_colour_causation,COLEIFERA_POLLINATION,"Pollination deficit/breeding context; not colour-mediated selection.",ecology_context_only
10.48130/bpr-2023-0007,2023,ecology,"Petal-assisted artificial pollination method enhanced fruit setting ratios in Camellia sinensis",admit_context_not_colour_causation,CSIN_POLLINATION,"Artificial pollination/agronomic reproductive context, not natural colour selection.",ecology_context_only
10.3390/insects13060539,2022,ecology,"What Are the Best Pollinator Candidates for Camellia oleifera: Do Not Forget Hoverflies and Flies",admit_context_not_colour_causation,COLEIFERA_POLLINATION,"Visitor effectiveness evidence broadens Camellia pollinator context but does not assign selection to visible colour.",strengthen_pollinator_diversity_context
10.21273/hortsci14933-20,2020,ecology,"Pollination Compatibility and Xenia in Camellia oleifera",admit_context_not_colour_causation,COLEIFERA_POLLINATION,"Compatibility/xenia context, not visible-colour selection.",ecology_context_only
10.1038/s41437-019-0262-7,2020,ecology,"Spatial variation in bird pollination and pollen-pool genetic diversity in Camellia japonica",admit_context_not_colour_causation,CJAPONICA_POLLINATION,"Landscape bird-mediated pollen-flow evidence; supports context dependence, not colour-transition causation.",strengthen_persistence_context
10.3390/insects10040098,2019,ecology,"Pollination effectiveness of insects visiting Camellia osmantha, C. vietnamensis, and C. oleifera in South China",admit_context_not_colour_causation,SOUTH_CHINA_CAMELLIA_POLLINATION,"Adds multi-species insect effectiveness context; not a flower-colour manipulation or transition test.",strengthen_pollinator_diversity_context
10.22302/pptk.jur.jptk.v19i2.118,2017,ecology,"Growth test of Camellia sinensis clones from cross pollination",exclude_agronomic_offscope,,"Breeding/growth outcome rather than natural pollination ecology or colour selection.",none
10.1007/978-4-431-53901-8_5,2010,ecology,"Expanded Home Range of Pollinator Birds Facilitates Greater Pollen Flow of Camellia japonica after volcanic damage",admit_context_same_ecosystem,CJAPONICA_VOLCANIC,"Disturbance/pollen-flow context in the same ecological research lineage as later volcanic-island studies.",ecology_context_only
10.1007/s11284-007-0345-4,2008,ecology,"Impact of volcanic activity on a Camellia japonica-Zosterops japonica plant-pollinator module",admit_context_same_ecosystem,CJAPONICA_VOLCANIC,"Earlier disturbance/pollination evidence; no visible-colour manipulation.",ecology_context_only
