BioProject,BioSample,LibraryStrategy,Run,ScientificName,normalized_taxon
PRJNA665925,SAMN28458160,RNA-Seq,SRR19266674,Camellia pilosperma,Camellia pilosperma
PRJNA665925,SAMN28458161,RNA-Seq,SRR19266673,Camellia euphlebia,Camellia euphlebia
PRJNA665925,SAMN28458185,RNA-Seq,SRR19266672,Camellia sinensis var. sinensis,Camellia sinensis
PRJNA665925,SAMN28458186,RNA-Seq,SRR19266671,Camellia sinensis var. sinensis,Camellia sinensis
PRJNA665925,SAMN28458187,RNA-Seq,SRR19266669,Camellia sinensis var. assamica,Camellia sinensis
PRJNA665925,SAMN28458188,RNA-Seq,SRR19266668,Camellia sinensis var. assamica,Camellia sinensis
PRJNA665925,SAMN28458189,RNA-Seq,SRR19266667,Camellia hekouensis,Camellia hekouensis
PRJNA665925,SAMN28458190,RNA-Seq,SRR19266666,Camellia kwangtungensis,Camellia kwangtungensis
PRJNA665925,SAMN28458191,RNA-Seq,SRR19266665,Camellia danzaiensis,Camellia danzaiensis
PRJNA665925,SAMN28458195,RNA-Seq,SRR19266661,Camellia handelii,Camellia handelii
PRJNA665925,SAMN28458196,RNA-Seq,SRR19266660,Camellia fraterna,Camellia fraterna
PRJNA665925,SAMN28458192,RNA-Seq,SRR19266664,Camellia cuspidata,Camellia cuspidata
PRJNA665925,SAMN28458193,RNA-Seq,SRR19266663,Camellia forrestii,Camellia forrestii
PRJNA665925,SAMN28458194,RNA-Seq,SRR19266662,Camellia lipoensis,Camellia lipoensis
PRJNA665925,SAMN28458099,RNA-Seq,SRR19266712,Camellia liberistyloides,Camellia liberistyloides
PRJNA665925,SAMN28458100,RNA-Seq,SRR19266701,Camellia gauchowensis,Camellia gauchowensis
PRJNA665925,SAMN28458101,RNA-Seq,SRR19266690,Camellia lanceoleosa,Camellia lanceoleosa
PRJNA665925,SAMN28458102,RNA-Seq,SRR19266679,Camellia sasanqua,Camellia sasanqua
PRJNA665925,SAMN28458105,RNA-Seq,SRR19266670,Camellia pubifurfuracea,Camellia pubifurfuracea
PRJNA665925,SAMN28458121,RNA-Seq,SRR19266717,Camellia tenii,Camellia tenii
PRJNA665925,SAMN28458119,RNA-Seq,SRR19266719,Camellia obtusifolia,Camellia obtusifolia
PRJNA665925,SAMN28458120,RNA-Seq,SRR19266718,Camellia x maliflora,
PRJNA665925,SAMN28458122,RNA-Seq,SRR19266716,Camellia luteoflora,Camellia luteoflora
PRJNA665925,SAMN28458123,RNA-Seq,SRR19266715,Camellia szechuanensis,Camellia szechuanensis
PRJNA665925,SAMN28458124,RNA-Seq,SRR19266714,Camellia chungkingensis,Camellia chungkingensis
PRJNA665925,SAMN28458125,RNA-Seq,SRR19266713,Camellia henryana var. trichocarpa,Camellia henryana
PRJNA665925,SAMN28458126,RNA-Seq,SRR19266711,Camellia tuberculata,Camellia tuberculata
PRJNA665925,SAMN28458134,RNA-Seq,SRR19266703,Camellia neriifolia,Camellia neriifolia
PRJNA665925,SAMN28458135,RNA-Seq,SRR19266702,Camellia parvimuricata,Camellia parvimuricata
PRJNA665925,SAMN28458127,RNA-Seq,SRR19266710,Camellia lipingensis,Camellia lipingensis
PRJNA665925,SAMN28458128,RNA-Seq,SRR19266709,Camellia rhytidocarpa,Camellia rhytidocarpa
PRJNA665925,SAMN28458129,RNA-Seq,SRR19266708,Camellia leyensis,Camellia leyensis
PRJNA665925,SAMN28458130,RNA-Seq,SRR19266707,Camellia anlungensis,Camellia anlungensis
PRJNA665925,SAMN28458131,RNA-Seq,SRR19266706,Camellia pyxidiacea var. rubituberculata,Camellia pyxidiacea
PRJNA665925,SAMN28458132,RNA-Seq,SRR19266705,Camellia anlungensis var. acutiperulata,Camellia anlungensis
PRJNA665925,SAMN28458133,RNA-Seq,SRR19266704,Camellia acuticalyx,Camellia acuticalyx
PRJNA665925,SAMN28458136,RNA-Seq,SRR19266700,Camellia jinshajiangica,Camellia jinshajiangica
PRJNA665925,SAMN28458139,RNA-Seq,SRR19266697,Camellia brevipetiolata,Camellia brevipetiolata
PRJNA665925,SAMN28458140,RNA-Seq,SRR19266696,Camellia pitardii var. compressa,Camellia pitardii
PRJNA665925,SAMN28458141,RNA-Seq,SRR19266695,Camellia magniflora,Camellia magniflora
PRJNA665925,SAMN28458142,RNA-Seq,SRR19266694,Camellia lungshenensis,Camellia lungshenensis
PRJNA665925,SAMN28458143,RNA-Seq,SRR19266693,Camellia reticulata,Camellia reticulata
PRJNA665925,SAMN28458144,RNA-Seq,SRR19266692,Camellia brevicolumna,Camellia brevicolumna
PRJNA665925,SAMN28458137,RNA-Seq,SRR19266699,Camellia omeiensis,Camellia omeiensis
