n_min_per_species,metric,n_A,n_W,mean_A,mean_W,difference_A_minus_W,two_sided_p,one_sided_p_A_lower
5,bio6_min,14,34,-3.2999999999999665,-1.7529411764705505,-1.547058823529416,0.3094769052309477,0.15529844701552983
5,bio6_q01,14,34,-1.9570714285713942,-0.6310294117646692,-1.326042016806725,0.22909770902290977,0.11584884151158488
5,bio6_q05,14,34,0.35392857142860973,0.8376470588235619,-0.4837184873949522,0.5551744482555174,0.27538724612753873
5,bio6_q10,14,34,1.019285714285747,1.5217647058823847,-0.5024789915966377,0.5390246097539024,0.2711272887271127
5,bio6_q20,14,34,2.137142857142888,2.72058823529415,-0.5834453781512621,0.47565524344756555,0.24110758892411077
5,bio6_lower20_mean,14,34,0.5558102710781619,1.1256263915823075,-0.5698161205041455,0.46565534344656556,0.23267767322326777
5,bio6_median,14,34,4.3035714285714635,4.886764705882386,-0.5831932773109223,0.5097149028509715,0.25839741602583977
10,bio6_min,12,28,-4.008333333333302,-2.417857142857104,-1.5904761904761977,0.34691653083469165,0.1736382636173638
10,bio6_q01,12,28,-2.4535833333333,-1.0678214285713905,-1.3857619047619096,0.25801741982580173,0.12769872301276988
10,bio6_q05,12,28,0.19458333333337105,0.666428571428605,-0.47184523809523393,0.6118238817611824,0.3081369186308137
10,bio6_q10,12,28,0.9108333333333652,1.435714285714319,-0.5248809523809538,0.5731242687573124,0.28912710872891273
10,bio6_q20,12,28,2.1500000000000323,2.645714285714319,-0.4957142857142869,0.5896941030589694,0.2986470135298647
10,bio6_lower20_mean,12,28,0.42761198292451463,0.9704034754927962,-0.5427914925682815,0.5385846141538585,0.2691873081269187
10,bio6_median,12,28,4.587500000000031,4.892857142857176,-0.30535714285714466,0.7623223767762323,0.3902860971390286
20,bio6_min,11,16,-4.7681818181817865,-4.518749999999962,-0.24943181818182492,0.8941310586894131,0.4466455335446646
20,bio6_q01,11,16,-3.0731818181817845,-2.265249999999963,-0.8079318181818214,0.5507344926550735,0.2779772202277977
20,bio6_q05,11,16,-0.18863636363632577,0.33343750000003103,-0.5220738636363568,0.6071939280607194,0.3054369456305437
20,bio6_q10,11,16,0.5690909090909404,1.0912500000000325,-0.5221590909090921,0.5636843631563684,0.2830071699283007
20,bio6_q20,11,16,1.8336363636363961,2.350000000000035,-0.516363636363639,0.5843041569584304,0.2961170388296117
20,bio6_lower20_mean,11,16,0.03163731470552878,0.5914352487790329,-0.5597979340735041,0.5508144918550815,0.2763372366276337
20,bio6_median,11,16,4.190909090909122,4.628125000000036,-0.4372159090909147,0.6521934780652193,0.32783672163278366
30,bio6_min,9,15,-6.0944444444444095,-4.616666666666629,-1.4777777777777805,0.46486535134648654,0.23287767122328776
30,bio6_q01,9,15,-4.061555555555518,-2.226799999999964,-1.8347555555555544,0.2020079799202008,0.0991190088099119
30,bio6_q05,9,15,-0.6777777777777378,0.48166666666669616,-1.159444444444434,0.2962870371296287,0.14881851181488184
30,bio6_q10,9,15,0.17333333333336462,1.222000000000031,-1.0486666666666664,0.2882871171288287,0.14453855461445386
30,bio6_q20,9,15,1.5188888888889236,2.4086666666667016,-0.889777777777778,0.3947160528394716,0.19787802121978781
30,bio6_lower20_mean,9,15,-0.461887726471026,0.6786420431420764,-1.1405297696131025,0.2673473265267347,0.13098869011309888
30,bio6_median,9,15,4.0833333333333615,4.766666666666705,-0.6833333333333433,0.5279147208527915,0.2655973440265597
