release_component,kind,repository_path_or_artifact,workflow_run,required_for_reproduction,role,notes
result_registry,repository_file,data/paper1_authoritative_results_v0_1.csv,,yes,manuscript_contract,"Authoritative/sensitivity/superseded result IDs and claim boundaries."
figure_dependency_manifest,repository_file,data/paper1_main_figure_manifest_v0_1.csv,,yes,manuscript_contract,"Main Fig 1–6 allowed result dependencies."
analysis_disposition,repository_file,data/paper1_analysis_disposition_v0_1.csv,,yes,manuscript_contract,"Main/Supplement/provenance/exclude analysis placement."
main_figure_numeric_inputs,repository_file,data/paper1_figure_numeric_inputs_v0_1.csv,,yes,figures,"Frozen numbers used to build Main Fig 1–6."
main_figure_builder,repository_file,scripts/build_paper1_main_figures.py,,yes,figures,"Deterministic Main figure generator."
main_figures_artifact,workflow_artifact,paper1-main-figures-v0-1,32558022436,yes,figures,"Visual-QA-approved Main Fig 1–6 SVG/PNG artifact."
wfo_snapshot,external_dataset,"World Flora Online Plant List 2026-06 / Zenodo 10.5281/zenodo.20782718",,yes,taxonomy,"Pinned accepted-taxonomy snapshot."
wfo_tip_mapping,workflow_artifact,rooted94-wfo2026-06-taxonomy-normalization,32439843289,yes,taxonomy,"94 legacy tips mapped to WFO accepted groups."
wfo55_fasttree,workflow_artifact,wfo55-accepted-species-rooted-astral4,32440138207,yes,phylogeny,"FastTree-gene-tree accepted-species ASTRAL sensitivity tree."
ufboot339_gene_trees,workflow_artifact,runtime91-ufboot339-current-aster-species-trees,32439653098,yes,phylogeny,"339 IQ-TREE LG+G4 + 1000 UFBoot gene-tree ensemble and species-tree sensitivity."
wfo53_ufboot_topology,workflow_artifact,wfo53-ufboot-topology-sensitivity,32552618223,yes,phylogeny,"Accepted-species UFBoot ASTRAL topology plus FastTree split comparison."
wild_colour_registry,repository_file,data/wfo55_accepted_species_wild_colour_registry_v0_1.csv,,yes,trait,"Species-level source-audited colour evidence."
wild_colour_audit_artifact,workflow_artifact,wfo55-wild-colour-audit,32552102861,yes,trait,"Strict/dominant trait seeds and audit summary."
accepted_colour_history,workflow_artifact,wfo55-wild-colour-history-transitions,32552321691,yes,trait_history,"Strict/dominant Mk histories and cross-scenario event-identifiability result."
fasttree_colour_conservatism,workflow_artifact,wfo55-wild-colour-conservatism,32552524470,yes,macro_pattern,"FastTree accepted-species pattern sensitivity."
ufboot_colour_conservatism,workflow_artifact,wfo53-ufboot-wild-colour-conservatism,32552883081,yes,macro_pattern,"Authoritative UFBoot accepted-species nearest-same-colour result."
micro_source_provenance,repository_file,data/paper1_micro_source_provenance_v0_1.csv,,yes,micro,"Primary citations and public accessions for FLS/DFR/ANS/ANR result IDs."
source_provenance_audit,workflow_artifact,paper1-source-provenance-v0-1,32558787798,yes,provenance,"Wild source grading and micro-source coverage audit."
climate_result,repository_file,docs/WITHIN_SECTION_COLOUR_CLIMATE_COUPLING_RESULT.md,,yes,ecology_screen,"Universal direct visible-colour/climate screen."
pollination_result,repository_file,docs/POLLINATION_FUNCTION_META_V0_2_RESULTS.md,,yes,ecology_screen,"Visible-state aliasing / functional pollination synthesis; current C. oleifera update also tracked in PR #39."
public_data_boundary,repository_file,docs/MACRO_PAPER_PUBLIC_DATA_BOUNDARY.md,,yes,interpretation,"Stop rule separating identifiable pattern from unidentifiable branch causation."
paper1_title_abstract,repository_file,docs/PAPER1_TITLE_ABSTRACT_AJB.md,,yes,submission,"Frozen AJB title, running head and structured abstract."
paper1_journal_strategy,repository_file,docs/PAPER1_JOURNAL_STRATEGY.md,,no,submission,"AJB primary submission strategy."
paper1_main_figure_freeze,repository_file,docs/PAPER1_MAIN_FIGURE_FREEZE.md,,yes,figures,"Visual-QA record for Main figures."
paper1_source_provenance_doc,repository_file,docs/PAPER1_SOURCE_PROVENANCE_AUDIT.md,,yes,provenance,"Human-readable citation/source contract."
paper1_manuscript_source,repository_file,manuscript/PAPER1_AJB_MANUSCRIPT_V0_1.md,,yes,manuscript,"Manuscript v0.1 source on PR #73 until merged; later release should point to latest frozen manuscript source."
