question,layer,n_records,n_yes,n_no,n_unclear,n_not_applicable,n_no_evidence,n_mixed,n_interpretable_yes_no,yes_fraction_among_interpretable
anthocyanin_more_in_more_red,all_studies,12,10,0,1,1,0,0,10,1.000000
anthocyanin_more_in_more_red,public_raw_studies,9,8,0,0,1,0,0,8,1.000000
anthocyanin_more_in_more_red,independence_cluster_consensus,8,6,0,1,1,0,0,6,1.000000
downstream_anthocyanin_branch_more_active_in_more_red,all_studies,12,6,0,5,1,0,0,6,1.000000
downstream_anthocyanin_branch_more_active_in_more_red,public_raw_studies,9,4,0,4,1,0,0,4,1.000000
downstream_anthocyanin_branch_more_active_in_more_red,independence_cluster_consensus,8,4,0,3,1,0,0,4,1.000000
competing_branch_more_active_in_less_red,all_studies,12,6,0,6,0,0,0,6,1.000000
competing_branch_more_active_in_less_red,public_raw_studies,9,4,0,5,0,0,0,4,1.000000
competing_branch_more_active_in_less_red,independence_cluster_consensus,8,5,0,3,0,0,0,5,1.000000
within_genotype_or_developmental_switch,all_studies,12,5,7,0,0,0,0,12,0.416667
within_genotype_or_developmental_switch,public_raw_studies,9,4,5,0,0,0,0,9,0.444444
within_genotype_or_developmental_switch,independence_cluster_consensus,8,1,5,0,0,0,2,6,0.166667
regulatory_or_flux_evidence,all_studies,12,12,0,0,0,0,0,12,1.000000
regulatory_or_flux_evidence,public_raw_studies,9,9,0,0,0,0,0,9,1.000000
regulatory_or_flux_evidence,independence_cluster_consensus,8,8,0,0,0,0,0,8,1.000000
structural_gene_loss_required,all_studies,12,0,4,0,0,8,0,4,0.000000
structural_gene_loss_required,public_raw_studies,9,0,2,0,0,7,0,2,0.000000
structural_gene_loss_required,independence_cluster_consensus,8,0,3,0,0,5,0,3,0.000000
