dimension,system,phenotype_or_transition,evidence_unit,observation_regime,recurrent_target_architecture,target_resolution,evidence_status,prospective_status,source_reference,claim_boundary
HUE_COMPOSITION,IOCHROMINAE,hue among anthocyanin pigment classes,28-species same radiation,common 7-gene pathway expression,BRANCH_CONTROL_F3H_F35H,branching-enzyme subspace,SUPPORT,RETROSPECTIVE,10.1093/molbev/msy117,"Hue mapping within one radiation; not one universal causal mutation."
HUE_COMPOSITION,CAPE_ERICA,yellow hue branch from pink/red,2 derived yellow taxa,common RT-qPCR plus UPLC,BRANCH_CONTROL_F3_PRIME_H,exact branch enzyme class,SUPPORT,RETROSPECTIVE,10.3389/fpls.2019.01565,"2/2 yellow taxa implicate F3-prime-H via different regulatory/coding implementations."
HUE_COMPOSITION,PETUNIEAE,anthocyanin hydroxylation hue,53 anthocyanin-positive taxa,common transcriptome plus pigment PGLS,BRANCH_CONTROL_SUBSPACE,branching-hue subspace,SUPPORT,PROSPECTIVE_COMPONENT,10.1098/rspb.2023.0275,"Pre-frozen hue component passes with AICc margin 11.60282936; overall paired gate remains MIXED."
HUE_COMPOSITION,IPOMOEA,blue-purple to pelargonidin red,3 robust independent macro events,expression plus functional genetics,BRANCH_CONTROL_F3_PRIME_H,exact regulatory gene,SUPPORT,PRE_EXISTING_EXTERNAL_CONTROL,10.1111/j.1469-8137.2009.02929.x,"F3-prime-H regulatory reduction implicated in 3/3 origins; other pathway coordinates are not a complete programme."
HUE_COMPOSITION,PENSTEMON,blue-purple to pelargonidin red,13 red-shift cases examined across repeated transitions,F3-prime-5-H sequencing plus enzyme assays,BRANCH_CONTROL_F3_PRIME_5_H,exact branch enzyme,SUPPORT,PRE_EXISTING_EXTERNAL_CONTROL,10.1093/molbev/msu298,"12/13 cases have independent coding LOF at F3-prime-5-H; remaining case has strongly reduced function."
PIGMENT_QUANTITY_CONTINUOUS,IOCHROMINAE,anthocyanin pigment intensity,28-species same radiation,common 7-gene pathway expression,LATE_PATHWAY_COEXPRESSION,late pathway module,SUPPORT,RETROSPECTIVE,10.1093/molbev/msy117,"Continuous intensity maps to late pathway coexpression."
PIGMENT_QUANTITY_CONTINUOUS,PETUNIEAE,total anthocyanin amount,59 taxa,common transcriptome plus pigment PGLS,NO_PRIMARY_STABLE_TARGET,no stable primary subspace,PRIMARY_GATE_FAIL,PROSPECTIVE_COMPONENT,10.1098/rspb.2023.0275,"Frozen raw amount response fails; log-amount sensitivity favors LATE_OUTPUT but cannot upgrade primary classification."
PIGMENT_LOSS,CAPE_ERICA,white pigment depletion,6 white derived taxa,common RT-qPCR plus UPLC,HETEROGENEOUS_LATE_AND_REGULATORY,multiple late/regulatory nodes,HETEROGENEOUS,RETROSPECTIVE,10.3389/fpls.2019.01565,"White routes span ANS DFR UDP-GST and bHLH."
PIGMENT_LOSS,AQUILEGIA,anthocyanin loss,7 A-minus molecular lineages,common pathway expression,LATE_PATHWAY_EXPRESSION,late pathway module,SUPPORT,PRE_EXISTING_EXTERNAL_CONTROL,10.1111/j.1365-294X.2006.03114.x,"Repeated losses show stronger downstream downregulation; exact regulator unresolved for every event."
PIGMENT_LOSS,EPIMEDIUM,A-minus endpoint,4 endpoint species,common 12-gene candidate panel,RECURRENT_ANS_CORE,core late-pathway node,SUPPORT_CORE_NOT_COMPLETE,RETROSPECTIVE_ENDPOINT,10.3389/fpls.2023.1133616,"ANS low 4/4 in benchmark; broader and copy-aware implementations are heterogeneous; event identity unresolved."
PIGMENT_LOSS,PETUNIA_AXILLARIS,purple to white anthocyanin loss,at least 5 independently arisen AN2 LOF alleles,sequence plus functional genetics,R2R3_MYB_AN2,exact floral regulator,SUPPORT,PRE_EXISTING_EXTERNAL_CONTROL,10.1105/tpc.106.048694,"Independent AN2 loss alleles show that fixed pigment loss can recur at a specific regulator; not a clade-wide event-rate estimate."
PIGMENT_GAIN,CAMELLIA_ANTH_GAIN,anthocyanin gain,3 dependence clusters,candidate-free A/F/C/P remeasurement,TRANSITION_CLASS_DEPENDENT_MODULE,multiaxis module,SUPPORT_PARTIAL,RETROSPECTIVE_INTERNAL_ANCHOR,internal_science_v0.2.2,"Exact whole-signature recurrence 1/3; direct macro-event identity is not assigned."
PIGMENT_GAIN,MIMULUS_LUTEUS_GROUP,parallel gain of red petal-lobe anthocyanin,2 independently derived species,genetic mapping plus expression,R2R3_MYB_PARALOG_CLASS,regulator family,SUPPORT,PRE_EXISTING_EXTERNAL_CONTROL,10.1016/j.cub.2011.03.028,"Parallel gains use distinct but duplicated MYB-related loci; functional class repeats while loci differ."
REGAIN_FROM_COLORLESS,PETUNIA_LONG_TUBE,colour regain from colourless ancestor,2 robust regain events,functional genetics,R2R3_MYB_REGULATOR_CLASS,regulator class,SUPPORT_CLASS_NOT_PROGRAMME,PRE_EXISTING_EXTERNAL_CONTROL,10.1093/plcell/koab114,"R2R3-MYB function restored/recruited 2/2, but complete implementation recurrence 0/2."
