accepted_taxon,on_wfo53_ufboot_tree,current_taxon_specific_mechanistic_evidence,A_axis_current,F_axis_current,C_axis_current,P_axis_current,complete_A_F_C_P_state,public_candidate_free_raw_route,candidate_free_target_id,source_registry,notes
Camellia sinensis,true,yes,directional_red_pink,directional_white_vs_pink,unknown,partial_LAR_not_primary_complete,false,yes,CF_CS_01,data/camellia_flower_color_mechanism_meta_v0_3.csv,"Strong white/pink developmental system but complete taxon-level four-axis state is not yet available."
Camellia reticulata,true,yes,directional_red_pink_white,unknown,unknown,directional_ANR_or_procyanidin,false,yes,CF_CR_01,data/camellia_flower_color_mechanism_meta_v0_3.csv,"Within-genotype red/white and fading systems provide A/P information; F/C remain unresolved under the current common protocol."
Camellia oleifera,true,yes,low_relative_to_red_cross_species,flavonoid_metabolism_retained,unknown,unknown,false,yes,CF_EXT_01,data/camellia_flower_color_mechanism_meta_v0_3.csv,"Occurs in the PRJNA1136134 red/yellow/white external dataset; reserved as an external state-representation check rather than a micro training edge."
Camellia sasanqua,true,yes,anthocyanin_profile_supported,unknown,unknown,unknown,false,no_currently_frozen_raw_route,,data/camellia_flower_color_mechanism_meta_v0_3.csv,"Twenty-cultivar anthocyanin study; accession/source remains to verify and does not define a complete A/F/C/P tip state."
Camellia chrysanthoides,true,yes,MYB60_linked_anthocyanin_suppression,unknown,unknown,unknown,false,no_currently_frozen_raw_route,,data/evidence_matrix_v0_1.csv,"Taxon-level regulatory evidence for anthocyanin suppression; yellow pigment identity itself remains unresolved in the current taxon matrix."
Camellia japonica,false,yes,strong_red_pink_anthocyanin_systems,unknown,unknown,unknown,false,yes,CF_CJ_01;CF_CJ_02,data/camellia_flower_color_mechanism_meta_v0_3.csv,"Mechanistically rich focal taxon but absent from the frozen 53-tip UFBoot accepted-species backbone."
Camellia nitidissima,false,yes,low_or_declining,high,detected,declining_or_diverted,false,yes,CF_CN_01;CF_CN_02,data/camellia_flower_color_mechanism_meta_v0_3.csv;data/evidence_matrix_v0_1.csv,"Mechanistically rich yellow reference but absent from the frozen 53-tip UFBoot accepted-species backbone."
Camellia perpetua,false,yes,unknown_or_to_resolve,high_or_FLS_hub,unknown,unknown,false,yes,CF_CP_01,data/camellia_flower_color_mechanism_meta_v0_3.csv,"Independent yellow developmental system; absent from the frozen 53-tip UFBoot accepted-species backbone."
Camellia huana,false,yes,unknown,unknown,carotenoid_variant_supported,unknown,false,no_currently_frozen_raw_route,,data/camellia_flower_color_mechanism_meta_v0_3.csv,"Non-anthocyanin colour-variant evidence but absent from the frozen 53-tip backbone."
Camellia amplexicaulis,false,yes,high_relative_to_yellow_white,unknown,unknown,unknown,false,yes,CF_EXT_01,data/camellia_flower_color_mechanism_meta_v0_3.csv,"Red member of external multi-species dataset; absent from the 53-tip backbone."
Camellia petelotii,false,yes,low_relative_to_red,flavonoid_enriched_relative_patterns,unknown,unknown,false,yes,CF_EXT_01,data/camellia_flower_color_mechanism_meta_v0_3.csv,"Yellow member of external multi-species dataset; absent from the 53-tip backbone."
