figure_id,panel_id,panel_title,result_ids,plot_design,manuscript_status
Fig1,A,"Hypothesis trajectory: generation to persistence","E01_UNIVERSAL_COLD_CHAIN_NOT_SUPPORTED;E02_VISIBLE_HUE_POLLINATOR_ALIASING;C01_CROSS_SCALE_MISMATCH;C02_PUBLIC_DATA_IDENTIFIABILITY_BOUNDARY","Conceptual flow with each rejected/refined hypothesis tied to an authoritative result ID.",main
Fig1,B,"Public-data stop rule","B01_NO_ROBUST_ACCEPTED_BRANCH_EVENTS;C02_PUBLIC_DATA_IDENTIFIABILITY_BOUNDARY","Boundary diagram separating identifiable macro pattern from unidentifiable branch causation.",main
Fig2,A,"FLS same-lineage recurrence","M01_FLS_SAME_LINEAGE","Sequence/lineage schematic with source anchors and same-lineage recurrence.",main
Fig2,B,"DFR paralog substitution","M02_DFR_PARALOG_SUBSTITUTION","Paired DFR-family schematic contrasting CsDFRa-like and CsDFRb2 implementations.",main
Fig2,C,"Copy-aware family heterogeneity","M03_ANS_COPY_DIRECTION_HETEROGENEITY;M04_ANR_COPY_DIRECTION_HETEROGENEITY","Compact support panel showing copy-specific directional heterogeneity without claiming strict-node recurrence.",main
Fig3,A,"Taxonomy attrition","T01_WFO_ACCEPTED_TAXONOMY","Flow: 93 legacy Camellia tips -> 55 WFO accepted species.",main
Fig3,B,"Wild-colour evidence attrition","T02_WILD_COLOUR_AUDIT","Flow: 35 provisional hard states -> strict 24 / dominant 30; annotate polymorphism and insufficient evidence.",main
Fig4,A,"Accepted-species topology concordance","P01_NUCLEAR_TOPOLOGY_CONCORDANCE","Split-concordance/RF summary for FastTree-ASTRAL vs IQ-TREE/UFBoot-ASTRAL on 53 shared species.",main
Fig5,A,"FastTree local colour conservatism","P02_LOCAL_COLOUR_CONSERV_FASTTREE","Observed nearest-same-colour statistic against permutation null for strict and dominant seeds.",main
Fig5,B,"UFBoot local colour conservatism","P03_LOCAL_COLOUR_CONSERV_UFBOOT","Observed nearest-same-colour statistic against permutation null for strict and dominant seeds.",main
Fig5,C,"What did not survive topology sensitivity","P04_GLOBAL_MPD_TOPOLOGY_SENSITIVE;P05_A_SPECIFIC_PERMISSIVITY_NOT_STRICT","Negative robustness panel: global MPD and A-specific claims explicitly demoted.",main
Fig6,A,"Accepted-species event identifiability","B01_NO_ROBUST_ACCEPTED_BRANCH_EVENTS","Strict=0 robust branches; dominant=1; shared strict x dominant=0.",main
Fig6,B,"Cross-scale mismatch","C01_CROSS_SCALE_MISMATCH","Molecular accessibility contrasted with local macro conservatism.",main
Fig6,C,"Empirical handoff","C02_PUBLIC_DATA_IDENTIFIABILITY_BOUNDARY","Measurements required next: population colour/spectra/pigments/pollination service/weather/paralog expression.",main
