run,biosample,sra_scientific_name,sra_sample_name,paper_sample_taxon_from_sample_name,voucher_or_sample_id,library_name,taxon_label_status,admission_note
SRR35152740,SAMN50798014,Cirsium japonicum var. japonicum,Cirsium japonicum var. fukienense-2257,Cirsium japonicum var. fukienense,2257,1,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152739,SAMN50798015,Cirsium japonicum var. japonicum,Cirsium japonicum var. australe-2771,Cirsium japonicum var. australe,2771,2,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152728,SAMN50798016,Cirsium sp. B6738-1,Cirsium japonicum var. albescens-3173,Cirsium japonicum var. albescens,3173,3,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152722,SAMN50798017,Cirsium japonicum var. japonicum,Cirsium japonicum var. fukienense-3344,Cirsium japonicum var. fukienense,3344,4,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152721,SAMN50798018,Cirsium morii,Cirsium morii-3360,Cirsium morii,3360,5,consistent,still verify against Supplementary Table S1
SRR35152720,SAMN50798019,Cirsium sp. B6738-1,Cirsium japonicum var. albescens-3515,Cirsium japonicum var. albescens,3515,6,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152719,SAMN50798020,Cirsium japonicum var. japonicum,Cirsium japonicum var. fukienense-3541,Cirsium japonicum var. fukienense,3541,7,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152718,SAMN50798021,Cirsium japonicum var. japonicum,Cirsium japonicum var. takaoense-3559,Cirsium japonicum var. takaoense,3559,8,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152717,SAMN50798022,Cirsium japonicum var. japonicum,Cirsium japonicum var. takaoense-3560,Cirsium japonicum var. takaoense,3560,9,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152716,SAMN50798023,Cirsium japonicum var. japonicum,Cirsium japonicum var. australe-3571,Cirsium japonicum var. australe,3571,10,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152738,SAMN50798024,Cirsium japonicum var. japonicum,Cirsium japonicum var. takaoense-3629,Cirsium japonicum var. takaoense,3629,11,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152737,SAMN50798025,Cirsium japonicum var. japonicum,Cirsium japonicum var. australe-3721,Cirsium japonicum var. australe,3721,12,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152736,SAMN50798026,Cirsium japonicum var. japonicum,Cirsium japonicum var. takaoense-3807,Cirsium japonicum var. takaoense,3807,13,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152735,SAMN50798027,Cirsium japonicum var. japonicum,Cirsium japonicum var. takaoense-3835,Cirsium japonicum var. takaoense,3835,14,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152734,SAMN50798028,Cirsium japonicum var. japonicum,Cirsium japonicum var. takaoense-3839,Cirsium japonicum var. takaoense,3839,15,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152733,SAMN50798029,Cirsium japonicum var. japonicum,Cirsium japonicum var. fukienense-3904,Cirsium japonicum var. fukienense,3904,16,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152732,SAMN50798030,Cirsium brevicaule,Cirsium irumtiense-4078,Cirsium irumtiense,4078,17,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152731,SAMN50798031,Cirsium brevicaule,Cirsium irumtiense-4111,Cirsium irumtiense,4111,18,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152730,SAMN50798032,Cirsium brevicaule,Cirsium brevicaule-4163,Cirsium brevicaule,4163,19,consistent,still verify against Supplementary Table S1
SRR35152729,SAMN50798033,Cirsium brevicaule,Cirsium brevicaule-4166,Cirsium brevicaule,4166,20,consistent,still verify against Supplementary Table S1
SRR35152727,SAMN50798034,Cirsium japonicum var. japonicum,Cirsium japonicum var. japonicum-4204,Cirsium japonicum var. japonicum,4204,21,consistent,still verify against Supplementary Table S1
SRR35152726,SAMN50798035,Cirsium japonicum var. japonicum,Cirsium japonicum var. japonicum-4220,Cirsium japonicum var. japonicum,4220,22,consistent,still verify against Supplementary Table S1
SRR35152725,SAMN50798036,Cirsium brevicaule,Cirsium brevicaule-4295,Cirsium brevicaule,4295,23,consistent,still verify against Supplementary Table S1
SRR35152724,SAMN50798037,Cirsium brevicaule,Cirsium irumtiense-4296,Cirsium irumtiense,4296,24,sra_taxonomy_coarse_or_mismatched,use paper/sample-voucher mapping; do not use SRA ScientificName as accepted taxon
SRR35152723,SAMN50798038,Cirsium morii,Cirsium morii-4365,Cirsium morii,4365,25,consistent,still verify against Supplementary Table S1
