search_id,search_date,scope,query_family,key_hits,decision
Q01,2026-08-27,general_repeated_evolution,"mechanistic recurrence; parallel/convergent evolution; same phenotype different mechanism","Conte2012; Rosenblum2014; Laruson2020","broad hierarchical-convergence novelty rejected"
Q02,2026-08-27,ascertainment,"candidate gene bias; candidate genes vs genome-wide/genetic cross; agnostic repeated evolution","Conte2012; Poore2023","generic observation-method dependence already established"
Q03,2026-08-27,flower_colour_genetics,"parallel evolution flower color different genes; repeated red floral pigmentation","Cooley2009; StreisfeldRausher2009; Mimulus duplication studies","same colour / different genes is established prior art"
Q04,2026-08-27,flower_colour_pathways,"pathway-level convergence flower color; pathway-wide gene expression","NgSmith2016; Larter2018; Wheeler2023","pathway-level and multivariate convergence are established"
Q05,2026-08-27,multi_pigment,"anthocyanin flavonol carotenoid flower colour; multiple pigment pathways convergence","NgSmith2016; Wheeler2023; Weigela2026","multi-pigment and pathway-tradeoff framing is not unique"
Q06,2026-08-27,phylogenetic_uncertainty,"phylogenetic signal ancestral state reconstruction uncertainty; stochastic character mapping","Bollback2006; Revell2025","event uncertainty/model sensitivity is established"
Q07,2026-08-27,trait_coding_sensitivity,"alternative trait coding ancestral state reconstruction; transition-count sensitivity","Kraisitudomsook2024","empirical coding-dependent transition histories already exist"
Q08,2026-08-27,flower_colour_ecology,"pollinator-mediated selection flower color review; temperature flower color evolution","Trunschke2021; Lacey2025; Berardi2026 special issue","generic pollinator/climate causal novelty rejected; direct evidence often limited/context-dependent"
Q09,2026-08-27,camellia_molecular,"Camellia flower coloration review; DFR FLS MBW; yellow flavonol","Xiao2025; Fan2026 yellow genome","basic Camellia pigment-network synthesis and yellow FLS regulation are established"
Q10,2026-08-27,camellia_micro_macro,"Camellia flower colour evolution phylogenomics; genome structural variation; ancestral colour","Fan2026 PBJ","first Camellia micro-to-macro claim rejected"
Q11,2026-08-27,camellia_ecology,"Camellia pollination flower color; bird bee colour strategy","Mori2023; China pollination review 2018","Camellia visible-colour aliasing and context-dependent pollination are established"
Q12,2026-08-27,integrated_competitor,"flower color molecular convergence macroevolution phylogeny same study; genotype phenotype pollinator repeated transitions","NgSmith2016; Larter2018; Zhang2025 Nature Communications; Fan2026 PBJ","integration across levels exists; no direct match found for same-system observation-standardization plus incomplete-state bounds plus event-identity stop"
Q13,2026-08-27,partial_identification,"identified set / partial identification evolutionary convergence; incomplete molecular state recurrence","no directly matching peer-reviewed flower-colour application located","candidate novelty remains but wording must be empirical/application-specific"
Q14,2026-08-27,current_frontier_2025_2026,"2025-2026 flower colour special issue; current convergence/genomics reviews","Xiao2025; Lacey2025; Berardi2026; AllardKumar2026","current framing must cite newest reviews; novelty cannot rely on pre-2025 literature gap"
Q15,2026-08-27,partial_identification_general,"partial identification missing data; identified region; all admissible completions","Manski2003; Manski2005","set-valued identification under missing data is established statistical theory; do not claim identified-set methodology itself as new"
Q16,2026-08-27,phylogenetic_identifiability,"model identifiability phylogenetic trait evolution; ancestral state selection optimum identifiability","HoAne2014; Gill2017 RDRW; Chang1996","identifiability is an established phylogenetic-model concern; novelty must be the empirical robustness/event stop, not the concept"
Q17,2026-08-27,measurement_process,"measurement process biology phenotype observation; biological measurement instrumentalism","Mitteroecker2026","measurement-process dependence is explicit current biological theory; observation-process novelty must remain application-specific"
Q18,2026-08-27,cross_domain_nearest_match,"partial identification evolution genetics; same-system remeasurement recurrence; missing molecular-state bounds flower colour","Manski2005 methodological only; no directly matching flower-colour/evolution application found","strongest remaining contribution is empirical combination, not theoretical priority"
