search_id,search_date,channel,query_family,recovered_key_hits,new_eligible_independent_afcp_cluster,decision
SAT01,2026-08-27,open_web,"Camellia flower color transcriptome metabolome pigment molecular mechanism RNA-seq review","Ai2025 three-species; Zhou2017 C. nitidissima; known Camellia reviews",no,"recovered already-screened modern systems; no new eligible cluster"
SAT02,2026-08-27,open_web,"Camellia japonica flower colour transcriptome anthocyanin petal cultivar","Wang2021 C. japonica colour diversity; Yu2023 Joy Kendrick and related known systems",no,"recovered existing CJAPONICA evidence cluster"
SAT03,2026-08-27,open_web,"Camellia reticulata flower color transcriptome anthocyanin petal","Geng2022/2023 integrated transcriptome-metabolome; Qu2024 spatial colour study",no,"recovered existing CRETICULATA evidence cluster"
SAT04,2026-08-27,open_web,"Camellia sasanqua flower color anthocyanin transcriptome pigment","known C. sasanqua colour-diversity literature",no,"auxiliary/previously screened; no newly eligible public standardized cluster"
SAT05,2026-08-27,open_web,"golden Camellia yellow flower flavonol carotenoid transcriptome nitidissima chrysantha","Zhou2017 C. nitidissima; Feng2024 multi-omics; Fan2026 yellow Camellia",no,"recovered existing yellow evidence and direct competitors"
SAT06,2026-08-27,open_web,"Camellia oleifera flower color petal pigment transcriptome metabolome anthocyanin","Integrative metabolome/transcriptome four-colour C. oleifera; DOI 10.1186/s12870-023-04699-6",no,"already present in mechanism registry as oil-Camellia multicolour material; archive/taxon harmonization prevents adding a clean independent standardized cluster"
SAT07,2026-08-27,open_web,"Camellia amplexicaulis petal transcriptome metabolome flower color","Ai2025 red/yellow/white three-species comparison; DOI 10.1007/s10725-025-01335-1",no,"already present as MULTISPECIES_RYW auxiliary/between-species evidence"
SAT08,2026-08-27,open_web,"Camellia chrysantha flower pigment flavonoid yellow chemistry hybrid inheritance","Hwang et al. 1992 hybrid pigment studies; historical flavonol/carotenoid literature",no,"already screened as historical pigment/inheritance context; lacks matched A/F/C/P transcript-state signature"
SAT09,2026-08-27,open_web,"Camellia yellow flower aluminum flavonoid interaction","Nakayama et al. 2008; DOI 10.2503/jjshs1.77.402",no,"already screened auxiliary chemistry; not a transcript-state recurrence replicate"
SAT10,2026-08-27,open_web,"Camellia flower colour pollination ecology bird bee selection","Mori et al. 2023 C. japonica/C. rusticana sensory-pollinator contrast; DOI 10.1016/j.phytochem.2022.113559",not_applicable,"already in ecology registry; supports visible-state aliasing but not an A/F/C/P recurrence replicate"
SAT11,2026-08-27,open_web_zh,"山茶 花色 花瓣 色素 花青素 黄酮 代谢组 转录组","modern Chinese-language summaries and indexed records pointing to already-screened Camellia omics studies",no,"no additional eligible independent public raw-data system identified in this open-web pass"
SAT12,2026-08-27,open_web_zh,"金花茶 花色 黄花 色素 黄酮 转录组","golden-Camellia flavonol/carotenoid and transcriptomic studies already represented in the evidence architecture",no,"no additional eligible independent standardized cluster identified"
SAT13,2026-08-27,open_web_zh,"油茶 传粉 蜂 山茶 传粉 花色","Camellia/oil-tea pollination literature and existing review citation chains",not_applicable,"extends ecological context but does not alter the molecular recurrence estimator"
