module_id,axis,gene_family,role,in_primary_score,notes
SHARED_FLAV,S,CHS,shared_flavonoid_entry,no,"Shared backbone diagnostic; excluded from primary A score because it feeds anthocyanin/flavonol/proanthocyanidin branches."
SHARED_FLAV,S,CHI,shared_flavonoid_entry,no,"Shared backbone diagnostic; not evidence of anthocyanin-specific allocation by itself."
SHARED_FLAV,S,F3H,shared_dihydroflavonol_entry,no,"Shared backbone diagnostic; not assigned to A/F/P primary axis."
HYDROXYLATION,H,F3'H,flavonoid_hydroxylation,no,"Hue/composition diagnostic; orthology/paralogy must be resolved before interpretation."
HYDROXYLATION,H,F3'5'H,flavonoid_hydroxylation,no,"Hue/composition diagnostic; not part of anthocyanin branch-commitment score."
A_BRANCH,A,DFR,anthocyanin_branch_commitment,yes,"First branch-commitment family competing directly with FLS for dihydroflavonol substrate."
A_BRANCH,A,ANS/LDOX,anthocyanin_branch_commitment,yes,"Downstream anthocyanin-producing node; ANS and LDOX treated as the same homologous enzymatic family."
A_BRANCH,A,UFGT/3GT,anthocyanin_stabilization,yes,"Downstream anthocyanin stabilization family; use defensible ortholog group rather than source-paper candidate identifier."
F_BRANCH,F,FLS,flavonol_branch_commitment,yes,"Primary branch-specific flavonol family competing with DFR for dihydroflavonol substrate."
P_BRANCH,P,ANR,proanthocyanidin_diversion,yes,"Primary diversion family from anthocyanidins toward proanthocyanidin precursors."
P_BRANCH,P,LAR,proanthocyanidin_diversion,yes,"Primary diversion family from leucoanthocyanidins; include only defensible homologs."
C_CORE,C,PSY,carotenoid_biosynthetic_entry,yes,"Carotenoid biosynthetic-deployment module; does not by itself measure degradation/sequestration."
C_CORE,C,PDS,carotenoid_desaturation,yes,"Predefined carotenoid biosynthetic family."
C_CORE,C,ZDS,carotenoid_desaturation,yes,"Predefined carotenoid biosynthetic family."
C_CORE,C,CRTISO,carotenoid_isomerization,yes,"Predefined carotenoid biosynthetic family."
C_CORE,C,LCYB,carotenoid_cyclization,yes,"Predefined carotenoid biosynthetic family."
C_CORE,C,LCYE,carotenoid_cyclization,yes,"Predefined carotenoid biosynthetic family."
C_CORE,C,BCH,carotenoid_hydroxylation,yes,"Predefined carotenoid/xanthophyll biosynthetic family."
C_CORE,C,ZEP,xanthophyll_cycle,yes,"Predefined xanthophyll-cycle family within the carotenoid deployment module."
REG_MBW,REG,MYB,transcriptional_regulation,no,"Exploratory secondary module; orthology and functional direction too heterogeneous for primary score."
REG_MBW,REG,bHLH,transcriptional_regulation,no,"Exploratory secondary module."
REG_MBW,REG,WD40,transcriptional_regulation,no,"Exploratory secondary module."
REG_WRKY,REG,WRKY,transcriptional_regulation,no,"Exploratory secondary module; never substitutes for structural branch scores."
