metric,reported_value,derived_value,status,source_note
DECLARED_SPECIES_N,245,245,REFERENCE,"Methods/abstract/Table S1 description"
METHODS_GENERA,180,180,REFERENCE,"Methods states 180 genera"
METHODS_FAMILIES,71,71,REFERENCE,"Methods states 71 families"
FIG2_GENERA,205,205,CONFLICT,"Fig. 2 caption states 205 genera"
FIG2_FAMILIES,76,76,CONFLICT,"Fig. 2 caption states 76 families"
WHITE_RED_RED,94,94,COMPONENT,"Results white-red set"
WHITE_RED_WHITE,74,74,COMPONENT,"Results white-red set"
WHITE_RED_OTHER,124,124,COMPONENT,"Results white-red set"
WHITE_RED_SUM,,292,CONFLICT,"94+74+124 = 292, not 245"
YELLOW_YELLOW,46,46,COMPONENT,"Results yellow set"
YELLOW_OTHER,246,246,COMPONENT,"Results yellow set"
YELLOW_SUM,,292,CONFLICT,"46+246 = 292, not 245"
UV_MINUS,197,197,COMPONENT,"Results UV<0.1"
UV_PLUS,93,93,COMPONENT,"Results UV>0.1"
UV_BINARY_SUM,,290,CONFLICT,"197+93 = 290, not 245"
SUPPLEMENT_TABLE_S1_DECLARED_N,245,245,REFERENCE,"Supporting Information describes Table S1 as 245 species"
SUPPLEMENT_BINARY_INGESTED,0,0,HOLD,"Table S1 DOCX remotely identified but not ingested in this execution environment"
ECOLOGY_TIER_ADMISSION,0,0,HOLD,"Do not admit until Table S1 row-level reconciliation explains all count conflicts"
