source_taxon,resource_taxon,match_basis,assembly_source,assembly_file,source_data,advertised_size,assembly_url,payload_identity_risk,analysis_role,claim_ceiling
Camellia acuticalyx,Camellia acuticalyx,exact_archive_tpia_species_name,tpia_id_bound_allassemblies,234_Camellia acuticalyx.zip,PRJNA665925,,https://tpia.teaplants.cn/web/All_assemblies/Fasta/234_Camellia%20acuticalyx.zip,preferred_id_bound_url,species_level_nuclear_backbone_input,one assembly per PRJNA665925 species-level taxon; not exact reconstruction of all 116 Wu paper tips
Camellia albogigas,Camellia albogigas,exact_archive_tpia_species_name,tpia_id_bound_allassemblies,192_Camellia albogigas.zip,PRJNA665925,,https://tpia.teaplants.cn/web/All_assemblies/Fasta/192_Camellia%20albogigas.zip,preferred_id_bound_url,species_level_nuclear_backbone_input,one assembly per PRJNA665925 species-level taxon; not exact reconstruction of all 116 Wu paper tips
Camellia albosericea,Camellia albo-sericea,same_project_orthographic_variant,tpia_id_bound_allassemblies,194_Camellia albo-sericea.zip,PRJNA665925,,https://tpia.teaplants.cn/web/All_assemblies/Fasta/194_Camellia%20albo-sericea.zip,preferred_id_bound_url,species_level_nuclear_backbone_input,one assembly per PRJNA665925 species-level taxon; not exact reconstruction of all 116 Wu paper tips
Camellia angustifolia,Camellia angustifolia,exact_archive_tpia_species_name,tpia_id_bound_allassemblies,150_Camellia angustifolia.zip,PRJNA665925,,https://tpia.teaplants.cn/web/All_assemblies/Fasta/150_Camellia%20angustifolia.zip,preferred_id_bound_url,species_level_nuclear_backbone_input,one assembly per PRJNA665925 species-level taxon; not exact reconstruction of all 116 Wu paper tips
Camellia anlungensis,Camellia anlungensis,exact_archive_tpia_species_name,tpia_id_bound_allassemblies,231_Camellia anlungensis.zip,PRJNA665925,,https://tpia.teaplants.cn/web/All_assemblies/Fasta/231_Camellia%20anlungensis.zip,preferred_id_bound_url,species_level_nuclear_backbone_input,one assembly per PRJNA665925 species-level taxon; not exact reconstruction of all 116 Wu paper tips
Camellia apolyodonta,Camellia apolydonta,same_project_orthographic_variant,tpia_id_bound_allassemblies,185_Camellia apolydonta.zip,PRJNA665925,,https://tpia.teaplants.cn/web/All_assemblies/Fasta/185_Camellia%20apolydonta.zip,preferred_id_bound_url,species_level_nuclear_backbone_input,one assembly per PRJNA665925 species-level taxon; not exact reconstruction of all 116 Wu paper tips
Camellia arborescens,Camellia arborescens,exact_archive_tpia_species_name,tpia_id_bound_allassemblies,155_Camellia arborescens.zip,PRJNA665925,,https://tpia.teaplants.cn/web/All_assemblies/Fasta/155_Camellia%20arborescens.zip,preferred_id_bound_url,species_level_nuclear_backbone_input,one assembly per PRJNA665925 species-level taxon; not exact reconstruction of all 116 Wu paper tips
Camellia atrothea,Camellia atrothea,exact_archive_tpia_species_name,tpia_id_bound_allassemblies,141_Camellia atrothea.zip,PRJNA665925,,https://tpia.teaplants.cn/web/All_assemblies/Fasta/141_Camellia%20atrothea.zip,preferred_id_bound_url,species_level_nuclear_backbone_input,one assembly per PRJNA665925 species-level taxon; not exact reconstruction of all 116 Wu paper tips
Camellia azalea,Camellia azalea,exact_archive_tpia_species_name,tpia_id_bound_allassemblies,172_Camellia azalea.zip,PRJNA665925,,https://tpia.teaplants.cn/web/All_assemblies/Fasta/172_Camellia%20azalea.zip,preferred_id_bound_url,species_level_nuclear_backbone_input,one assembly per PRJNA665925 species-level taxon; not exact reconstruction of all 116 Wu paper tips
Camellia bailinshanica,Camellia bailinshanica,exact_archive_tpia_species_name,tpia_id_bound_allassemblies,180_Camellia bailinshanica.zip,PRJNA665925,,https://tpia.teaplants.cn/web/All_assemblies/Fasta/180_Camellia%20bailinshanica.zip,preferred_id_bound_url,species_level_nuclear_backbone_input,one assembly per PRJNA665925 species-level taxon; not exact reconstruction of all 116 Wu paper tips
Camellia bambusifolia,Camellia bambusifolia,exact_archive_tpia_species_name,tpia_id_bound_allassemblies,181_Camellia bambusifolia.zip,PRJNA665925,,https://tpia.teaplants.cn/web/All_assemblies/Fasta/181_Camellia%20bambusifolia.zip,preferred_id_bound_url,species_level_nuclear_backbone_input,one assembly per PRJNA665925 species-level taxon; not exact reconstruction of all 116 Wu paper tips
