effect_id,axis,study,taxon,visible_state,contrast,outcome,effect_metric,numerator_value,denominator_value,effect_value,se_value,variance_status,events_num,n_num,events_den,n_den,independence_unit,source,notes
ECO_BIRD_JAPONICA_FRUIT,pollinator_service,Kunitake_et_al_2004,Camellia japonica,A,open_vs_bird_excluded,fruit_set,lnRR,0.362,0.057,1.8486,,needs_exact_counts_or_binomial_reconstruction,,,,,Cjaponica_Kunitake2004,10.1111/j.1442-1984.2004.00115.x,"Open vs cages excluding larger animals; 36.2% vs 5.7%."
ECO_BIRD_PETELOTII_FRUIT,pollinator_service,Sun_et_al_2017,Camellia petelotii,Y,open_vs_bird_excluded,fruit_set,lnRR,1.000,0.3294,1.1105,,magnitude_only_until_raw_denominators_extracted,,,,,Cpetelotii_Sun2017,10.3732/ajb.1600428,"Caged fruit set decreased 67.06% relative to open; ratio represented as open=1."
ECO_BIRD_PETELOTII_SEED,pollinator_service,Sun_et_al_2017,Camellia petelotii,Y,open_vs_bird_excluded,seed_set,lnRR,1.000,0.3588,1.0250,,magnitude_only_until_raw_denominators_extracted,,,,,Cpetelotii_Sun2017,10.3732/ajb.1600428,"Secondary correlated outcome; caged seed set decreased 64.12%."
ECO_BIRD_OLEIFERA_FRUIT,pollinator_service,Zhang_et_al_2024,Camellia oleifera,W,open_vs_bird_excluded,fruit_set,lnRR,1.000,0.4372,0.8274,0.0895,provisional_SE_from_log_ratio_over_sqrt_Wald_chi2,,,,,Coleifera_Zhang2024,10.1111/jipb.13731,"Caged fruit set decreased 56.28%; Wald chi2=85.449. SE is provisional because correspondence between Wald statistic and the simple log-ratio contrast is not documented."
ECO_BIRD_OLEIFERA_SEED,pollinator_service,Zhang_et_al_2024,Camellia oleifera,W,open_vs_bird_excluded,seed_set,lnRR,1.000,0.7239,0.3232,0.0452,provisional_SE_from_log_ratio_over_sqrt_Wald_chi2,,,,,Coleifera_Zhang2024,10.1111/jipb.13731,"Secondary correlated outcome; seed set decreased 27.61%; Wald chi2=51.13."
ECO_PL_PUBIPETALA_FRUIT,pollen_limitation,Chai_et_al_2019,Camellia pubipetala,Y,supplemental_vs_open,fruit_set,lnRR,0.2333333333,0.0666666667,1.2528,,raw_binomial_counts,7,30,4,60,Cpubipetala_Chai2019,10.1111/1442-1984.12247,"Supplement: 7 mature fruits/30 flowers; open: 4/60. Exact log-risk-ratio sampling variance can be reconstructed from counts."
ECO_PL_PUBIPETALA_SEED,pollen_limitation,Chai_et_al_2019,Camellia pubipetala,Y,supplemental_vs_open,seed_set,lnRR,0.647,0.389,0.5090,,means_SD_available_but_effective_n_needs_definition,,,,,Cpubipetala_Chai2019,10.1111/1442-1984.12247,"Seed set mean(SD) 64.7(11.2) vs 38.9(9.2); correlated secondary outcome."
ECO_PL_PETELOTII,pollen_limitation,Sun_et_al_2017,Camellia petelotii,Y,supplemental_vs_open,fruit_seed_set,reported_null,,,,contrast_reported_null_extract_exact_values,,,,,Cpetelotii_Sun2017,10.3732/ajb.1600428,"Open vs pollen supplement: fruit chi2=0.01 P=.91; seed chi2=.07 P=.79."
ECO_SEASON_PERPETUA_NECTAR,season_weather,Jiang_et_al_2025,Camellia perpetua,Y,winter_vs_summer,nectar_volume,lnRR,453.66,129.14,1.2565,,means_SE_available_sample_size_to_extract,,,,,Cperpetua_Jiang2025,10.1016/j.flora.2025.152727,"Winter/summer nectar volume ratio 3.51."
ECO_SEASON_PERPETUA_SUCROSE,season_weather,Jiang_et_al_2025,Camellia perpetua,Y,winter_vs_summer,sucrose_hexose_ratio,lnRR,49.69,6.99,1.9612,,means_SE_available_sample_size_to_extract,,,,,Cperpetua_Jiang2025,10.1016/j.flora.2025.152727,"Winter/summer sucrose:hexose ratio ~7.11."
ECO_COLD_DARK_JAPONICA_6W,abiotic_manipulation,Berruti_et_al_2015,Camellia japonica,A,6wk_7C_dark_vs_control,petal_anthocyanin,lnRR,0.195,0.240,-0.2076,,n3_per_group_SD_not_reported_in_table,,,,,Cjaponica_Berruti2015,10.3389/fpls.2015.00983,"Treatment combines cold and darkness; do not interpret as pure temperature effect."
ECO_COLD_DARK_JAPONICA_8W,abiotic_manipulation,Berruti_et_al_2015,Camellia japonica,A,8wk_7C_dark_vs_control,petal_anthocyanin,lnRR,0.174,0.240,-0.3218,,n3_per_group_SD_not_reported_in_table,,,,,Cjaponica_Berruti2015,10.3389/fpls.2015.00983,"Treatment combines cold and darkness; do not interpret as pure temperature effect."
ECO_SENSORY_RED_BEE_CHOICE,sensory_pollinator,Mori_et_al_2023,"Camellia rusticana vs Camellia japonica",A,C_rusticana_vs_C_japonica,bumblebee_visits_per_10min,lnRR,25.8,1.1,3.1555,,paired_choice_SEs_available_correlation_unknown,,,,,Mori2023_red_pair,10.1016/j.phytochem.2022.113559,"Same visible red state; bee visits 25.8±4.3 vs 1.1±1.1 across eight tests. Strong visible-state aliasing effect."
