resolution,feature,module,independence_cluster,scale_class,source_study,source_doi,public_raw_direct,functional_validation,direction,evidence_basis,orthology_status,claim_ceiling
node,DFR,anthocyanin_downstream,CSIN_WHITE_PINK,genotype_developmental,Zhou2020_sinensis_white_pink,10.3390/molecules25010190,yes,no,more_red,"DFR reported higher in pink; defended processed-table orientation gives pink-directed DFR across reported later stages",family_name_explicit_paralog_map_pending,"micro evidence only; does not estimate natural transition probability"
node,ANS,anthocyanin_downstream,CSIN_WHITE_PINK,genotype_developmental,Zhou2020_sinensis_white_pink,10.3390/molecules25010190,yes,no,more_red,"ANS reported higher in pink",family_name_explicit_paralog_map_pending,"micro evidence only; does not estimate natural transition probability"
node,LAR,proanthocyanidin,CSIN_WHITE_PINK,genotype_developmental,Zhou2020_sinensis_white_pink,10.3390/molecules25010190,yes,no,more_red,"LAR reported higher in pink; processed stage profiles also show pink-directed LAR",family_name_explicit_paralog_map_pending,"micro evidence only; does not estimate natural transition probability"
node,ANR,proanthocyanidin,CSIN_WHITE_PINK,genotype_developmental,Zhou2020_sinensis_white_pink,10.3390/molecules25010190,yes,no,more_red_partial,"reported processed table contains pink-directed ANR at an informative stage; coverage is not stage-complete",family_name_explicit_paralog_map_pending,"partial-stage evidence; do not treat as persistent direction"
node,FLS,flavonol,CSIN_WHITE_PINK,genotype_developmental,Zhou2020_sinensis_white_pink,10.3390/molecules25010190,yes,no,mixed_stage_paralog,"reported FLS direction changes by stage/paralog: an early FLS is pink-directed whereas another FLS is white-directed later",paralog_identity_required,"supports lability, not a single FLS direction"
module,anthocyanin_downstream,anthocyanin_downstream,CSIN_WHITE_PINK,genotype_developmental,Zhou2020_sinensis_white_pink,10.3390/molecules25010190,yes,no,more_red,"anthocyanin compounds and DFR/ANS deployment are higher in the pink system",module_level,"module recurrence count is not an assay-opportunity-normalized rate"
module,flavonol,flavonol,CSIN_WHITE_PINK,genotype_developmental,Zhou2020_sinensis_white_pink,10.3390/molecules25010190,yes,no,mixed_stage_paralog,"FLS allocation is stage/paralog dependent but repeatedly changes between white and pink states",module_level,"module lability only"
module,proanthocyanidin,proanthocyanidin,CSIN_WHITE_PINK,genotype_developmental,Zhou2020_sinensis_white_pink,10.3390/molecules25010190,yes,no,mixed_relative_to_anthocyanin,"LAR/ANR deployment can rise with pink; anthocyanin-minus-PA is mixed across stages",module_level,"PA is a separable state dimension"
node,DFR,anthocyanin_downstream,CJAPONICA,within_genotype_developmental,Zhang2024_japonica_MYB114,10.1016/j.scienta.2024.112897,no,yes,activation,"CjMYB114-CjbHLH1 activates the CjDFR promoter and overexpression increases anthocyanin",functional_gene_identity_explicit,"same C. japonica independence cluster as cultivar/bud-sport/sector studies"
node,MYB114,regulatory,CJAPONICA,within_genotype_developmental,Zhang2024_japonica_MYB114,10.1016/j.scienta.2024.112897,no,yes,activation,"CjMYB114 functionally activates DFR with CjbHLH1",named_regulator_explicit,"functional corroboration within one biological system"
node,bHLH1,regulatory,CJAPONICA,within_genotype_developmental,Zhang2024_japonica_MYB114,10.1016/j.scienta.2024.112897,no,yes,activation,"CjbHLH1 interacts with CjMYB114 in DFR activation",named_regulator_explicit,"functional corroboration within one biological system"
module,anthocyanin_downstream,anthocyanin_downstream,CJAPONICA,cultivar_budsport_sector,"Wang2021_japonica_gradient;Fan2022_japonica_budsport;JoyKendrick2023_red_pink_regions","10.3389/fpls.2021.685136;10.3390/horticulturae8020129;10.3390/f14010069",yes,no,more_red,"anthocyanin abundance and anthocyanin-related transcription recur across cultivar gradient, bud sport and within-petal sectors but count as one independence cluster",module_level,"repeated papers on C. japonica are not independent origins"
module,regulatory,regulatory,CJAPONICA,cultivar_budsport_sector,"Fan2022_japonica_budsport;Zhang2024_japonica_MYB114","10.3390/horticulturae8020129;10.1016/j.scienta.2024.112897",yes,yes,colour_linked,"MYB/GATA candidates plus functional MYB114-bHLH1-DFR regulation",mixed_family_and_named_regulator,"one C. japonica independence cluster"
