correction_id,correction_type,old_text,new_text,source_status,source_ref
BIB001,in_text_year,"Lacey, 2025","Lacey, 2026",verified_current_bibliography,"American Journal of Botany 113(1):e70106; DOI 10.1002/ajb2.70106"
BIB002,reference_entry,"Lacey, E. P. 2025. Temperature and the evolution of flower color: A review. *American Journal of Botany* 113: e70106. https://doi.org/10.1002/ajb2.70106","Lacey, E. P. 2026. Temperature and the evolution of flower color: A review. *American Journal of Botany* 113: e70106. https://doi.org/10.1002/ajb2.70106",verified_current_bibliography,"AJB volume 113 issue 1 (2026)"
BIB003,reference_entry,"Fan, M., H. Jiang, Y. Qu, Y. Zhang, X. Li, and Y. Wang. 2026. Transposable Element-Mediated Structural Variation Drives Flower Colour Diversification in *Camellia*. *Plant Biotechnology Journal* 24: 1725–[final pages to verify in journal export]. https://doi.org/10.1111/pbi.70442","Fan, M., H. Jiang, Y. Qu, Y. Zhang, X. Li, and Y. Wang. 2026. Transposable Element-Mediated Structural Variation Drives Flower Colour Diversification in *Camellia*. *Plant Biotechnology Journal* 24: 1725–1739. https://doi.org/10.1111/pbi.70442",verified_current_bibliography,"Plant Biotechnology Journal 24(3):1725–1739"
BIB004,reference_insertion,"World Flora Online Consortium","World Flora Online Consortium. 2026. *World Flora Online Plant List, June 2026*. Version 2026-06. Zenodo. https://doi.org/10.5281/zenodo.20782718",verified_dataset,"WFO Plant List 2026-06 pinned snapshot"
ECO001,in_text_year,"The pollination synthesis likewise showed that visible hue was not a deterministic reproductive-function state. Primary evidence included contrasting broad pollinator functions within the same visible colour, and pollination weighting could change with season, weather, or disturbance without a visible-hue change. After updating *C. oleifera* with direct bird-exclusion evidence, the count-preserving hue–pollinator-function association remained weak in the small evidence seed (*P* = 0.77127).","The pollination synthesis likewise showed that visible hue was not a deterministic reproductive-function state. Primary evidence included contrasting broad pollinator functions within the same visible colour, and pollination weighting could change with season, weather, or disturbance without a visible-hue change (Kunitake et al., 2004; Abe et al., 2013; Sun et al., 2017; Mori et al., 2023; Zhang et al., 2024; Jiang et al., 2025). After updating *C. oleifera* with direct bird-exclusion evidence from the same study that documented pollen toxicity (Zhang et al., 2024), the count-preserving hue–pollinator-function association remained weak in the small evidence seed (*P* = 0.77127).",verified_primary_ecological_sources,"Table S4 / data/paper1_ecological_primary_references_v0_1.csv"
ECO002,reference_insertion,"Sun2017","Sun, S.-G., Z.-H. Huang, Z.-B. Chen, and S.-Q. Huang. 2017. Nectar properties and the role of sunbirds as pollinators of the golden-flowered tea (*Camellia petelotii*). *American Journal of Botany* 104: 468–476. https://doi.org/10.3732/ajb.1600428",verified_primary_article,"10.3732/ajb.1600428"
ECO003,reference_insertion,"Kunitake2004","Kunitake, Y. K., M. Hasegawa, T. Miyashita, and H. Higuchi. 2004. Role of a seasonally specialist bird *Zosterops japonica* on pollen transfer and reproductive success of *Camellia japonica* in a temperate area. *Plant Species Biology* 19: 197–201. https://doi.org/10.1111/j.1442-1984.2004.00115.x",verified_primary_article,"10.1111/j.1442-1984.2004.00115.x"
ECO004,reference_insertion,"Abe2013","Abe, H., S. Ueno, T. Takahashi, Y. Tsumura, and M. Hasegawa. 2013. Resilient plant–bird interactions in a volcanic island ecosystem: Pollination of Japanese Camellia mediated by the Japanese White-eye. *PLOS ONE* 8: e62696. https://doi.org/10.1371/journal.pone.0062696",verified_primary_article,"10.1371/journal.pone.0062696"
ECO005,reference_insertion,"Mori2023","Mori, S., Y. Hasegawa, and Y. Moriguchi. 2023. Color strategies of camellias recruiting different pollinators. *Phytochemistry* 207: 113559. https://doi.org/10.1016/j.phytochem.2022.113559",verified_primary_article,"10.1016/j.phytochem.2022.113559"
ECO006,reference_insertion,"Zhang2024","Zhang, C., H.-H. Feng, Y.-L. Liu, and S.-Q. Huang. 2024. Lethal effects of tea-oil *Camellia* on honeybee larvae due to pollen toxicity. *Journal of Integrative Plant Biology* 66: 2313–2316. https://doi.org/10.1111/jipb.13731",verified_primary_article,"10.1111/jipb.13731"
ECO007,reference_insertion,"Jiang2025","Jiang, H.-D., D.-J. Zeng, H.-Z. Qin, L.-H. Peng, Y.-S. Yang, Z.-Y. Chen, R. Zou, et al. 2025. Nectar characteristics and pollination ecology of *Camellia perpetua* in South China. *Flora* 327: 152727. https://doi.org/10.1016/j.flora.2025.152727",verified_primary_article,"10.1016/j.flora.2025.152727"
ECO008,reference_insertion,"Li2021BAE","Li, H.-Y., A.-C. Luo, Y.-J. Hao, F.-Y. Dou, R.-M. Kou, M. C. Orr, C.-D. Zhu, and D.-Y. Huang. 2021. Comparison of the pollination efficiency of *Apis cerana* with wild bees in oil-seed camellia fields. *Basic and Applied Ecology* 56: 250–258. https://doi.org/10.1016/j.baae.2021.08.005",verified_primary_article,"10.1016/j.baae.2021.08.005"
ECO009,reference_insertion,"Chai2019","Chai, S.-F., Z.-Y. Chen, J.-M. Tang, M.-L. Wang, R. Zou, and X. Wei. 2019. Breeding system and bird pollination of *Camellia pubipetala*, a narrowly endemic plant from karst regions of south China. *Plant Species Biology* 34: 141–151. https://doi.org/10.1111/1442-1984.12247",verified_primary_article,"10.1111/1442-1984.12247"
ECO010,reference_insertion,"Wickramaratne1985","Wickramaratne, M. R. T., and S. I. Vitarana. 1985. Insect pollination of tea (*Camellia sinensis* L.) in Sri Lanka. *Tropical Agriculture* 62: 243–247. https://journals.sta.uwi.edu/ojs/index.php/ta/article/view/2241",verified_primary_article,"stable journal URL"
ECO011,reference_insertion,"Liu2025Insects","Liu, F., P. Dai, W. Zhou, J. Hu, F. Yuan, X. Xu, W. Jiang, et al. 2025. Honey Bee Pollination of *Camellia oleifera* and Mitigation of Toxic Crop Nectar. *Insects* 16: 1028. https://doi.org/10.3390/insects16101028",verified_primary_article,"10.3390/insects16101028"
ECO012,reference_insertion,"Li2021JAE","Li, H., M. C. Orr, A. Luo, F. Dou, R. Kou, F. Hu, C.-D. Zhu, and D.-Y. Huang. 2021. Relationships between wild bee abundance and fruit set of *Camellia oleifera* Abel. *Journal of Applied Entomology* 145: 277–285. https://doi.org/10.1111/jen.12849",verified_primary_article,"10.1111/jen.12849"
ECO013,reference_insertion,"Xie2013","Xie, Z., X. Chen, and J. Qiu. 2013. Reproductive failure of *Camellia oleifera* in the plateau region of China due to a shortage of legitimate pollinators. *International Journal of Agriculture and Biology* 15: 458–464. http://www.fspublishers.org",verified_primary_article,"International Journal of Agriculture and Biology 15:458–464"
ECO014,reference_insertion,"Yuan2025","Yuan, B., Z.-H. Deng, N.-N. Zhang, Z.-C. Huang, X.-L. Su, Y.-Y. Lu, Z.-Y. Zong, et al. 2025. Pollination Deficit: A Key Limitation of Fruit Set in Northward-Expanded *Camellia* Orchards. *Agriculture* 15: 1717. https://doi.org/10.3390/agriculture15161717",verified_primary_article,"10.3390/agriculture15161717"
