analysis_slice,question,n_clusters,n_yes,n_no,n_unclear,n_not_applicable,n_no_evidence,n_mixed,n_interpretable_yes_no,yes_fraction_among_interpretable,exact_two_sided_sign_p
all_independence_clusters,anthocyanin_more_in_more_red,10,6,0,2,2,0,0,6,1.000000,0.03125000
all_independence_clusters,downstream_anthocyanin_branch_more_active_in_more_red,10,4,0,4,2,0,0,4,1.000000,0.12500000
all_independence_clusters,competing_branch_more_active_in_less_red,10,6,0,3,1,0,0,6,1.000000,0.03125000
all_independence_clusters,regulatory_or_flux_evidence,10,10,0,0,0,0,0,10,1.000000,0.00195312
all_independence_clusters,structural_gene_loss_required,10,0,3,0,0,7,0,3,0.000000,0.25000000
micro_only_excluding_GENUS_237,anthocyanin_more_in_more_red,9,5,0,2,2,0,0,5,1.000000,0.06250000
micro_only_excluding_GENUS_237,downstream_anthocyanin_branch_more_active_in_more_red,9,3,0,4,2,0,0,3,1.000000,0.25000000
micro_only_excluding_GENUS_237,competing_branch_more_active_in_less_red,9,5,0,3,1,0,0,5,1.000000,0.06250000
micro_only_excluding_GENUS_237,regulatory_or_flux_evidence,9,9,0,0,0,0,0,9,1.000000,0.00390625
micro_only_excluding_GENUS_237,structural_gene_loss_required,9,0,2,0,0,7,0,2,0.000000,0.50000000
public_raw_only,anthocyanin_more_in_more_red,6,4,0,0,2,0,0,4,1.000000,0.12500000
public_raw_only,downstream_anthocyanin_branch_more_active_in_more_red,6,3,0,1,2,0,0,3,1.000000,0.25000000
public_raw_only,competing_branch_more_active_in_less_red,6,5,0,1,0,0,0,5,1.000000,0.06250000
public_raw_only,regulatory_or_flux_evidence,6,6,0,0,0,0,0,6,1.000000,0.03125000
public_raw_only,structural_gene_loss_required,6,0,2,0,0,4,0,2,0.000000,0.50000000
scale_developmental_mosaic,anthocyanin_more_in_more_red,5,2,0,1,2,0,0,2,1.000000,0.50000000
scale_developmental_mosaic,downstream_anthocyanin_branch_more_active_in_more_red,5,2,0,1,2,0,0,2,1.000000,0.50000000
scale_developmental_mosaic,competing_branch_more_active_in_less_red,5,3,0,1,1,0,0,3,1.000000,0.25000000
scale_developmental_mosaic,regulatory_or_flux_evidence,5,5,0,0,0,0,0,5,1.000000,0.06250000
scale_developmental_mosaic,structural_gene_loss_required,5,0,2,0,0,3,0,2,0.000000,0.50000000
scale_within_species_genotype_cultivar,anthocyanin_more_in_more_red,4,3,0,1,0,0,0,3,1.000000,0.25000000
scale_within_species_genotype_cultivar,downstream_anthocyanin_branch_more_active_in_more_red,4,2,0,2,0,0,0,2,1.000000,0.50000000
scale_within_species_genotype_cultivar,competing_branch_more_active_in_less_red,4,1,0,3,0,0,0,1,1.000000,1.00000000
scale_within_species_genotype_cultivar,regulatory_or_flux_evidence,4,4,0,0,0,0,0,4,1.000000,0.12500000
scale_within_species_genotype_cultivar,structural_gene_loss_required,4,0,0,0,0,4,0,0,,
scale_between_taxa_species,anthocyanin_more_in_more_red,3,3,0,0,0,0,0,3,1.000000,0.25000000
scale_between_taxa_species,downstream_anthocyanin_branch_more_active_in_more_red,3,1,0,2,0,0,0,1,1.000000,1.00000000
scale_between_taxa_species,competing_branch_more_active_in_less_red,3,2,0,1,0,0,0,2,1.000000,0.50000000
scale_between_taxa_species,regulatory_or_flux_evidence,3,3,0,0,0,0,0,3,1.000000,0.25000000
scale_between_taxa_species,structural_gene_loss_required,3,0,1,0,0,2,0,1,0.000000,1.00000000
