ontology_level_1,ontology_level_2,definition,examples,pleiotropy_expectation,notes
STRUCTURAL_ENZYME,CODING_LOF,"coding mutation reducing or eliminating enzyme function in pigment pathway","frameshift;nonsense;deletion;damaging missense",context_dependent,"Do not assume high pleiotropy if expression/function is tissue specific."
STRUCTURAL_ENZYME,CIS_REGULATION,"cis-regulatory change altering expression of a pigment pathway enzyme","promoter/enhancer mutation;floral-specific expression loss",often_lower_than_global_coding,"Keep separate from trans-regulatory changes."
BRANCH_ENZYME,CODING_OR_REGULATION,"change at an enzyme controlling pigment branch identity/hydroxylation","F3'H;F3'5'H;carotenoid branch enzyme",often_moderate,"Important for blue/red and pigment-type shifts; chemistry must be typed."
LATE_DEPLOYMENT_MODULE,STRUCTURAL_EXPRESSION,"coordinated or repeated change in downstream pigment deployment genes","DFR;ANS/LDOX;UFGT-like late genes",often_lower_than_early_pathway,"Maps naturally to Camellia A-module and Iochrominae late-gene convergence."
EARLY_SHARED_MODULE,STRUCTURAL_EXPRESSION,"change in upstream genes shared with non-anthocyanin flavonoids","CHS;CHI;F3H",often_higher,"Potential pleiotropic effects through flavonols and other flavonoids."
PATHWAY_SPECIFIC_REGULATOR,MYB_OR_EQUIVALENT,"regulator with relatively specific control over floral pigment programme","R2R3-MYB;R3-MYB repressor;AN2-like regulators",often_lower,"Do not merge activator and repressor direction."
BROAD_REGULATOR,TRANS_REGULATION,"bHLH/WDR or other regulator with broader developmental targets","bHLH;WDR;global transcriptional regulator",often_higher,"Specificity must be documented, not inferred from family name alone."
COPIGMENT_MODULE,FLAVONOL_OR_FLAVONE,"change in copigment/shared flavonoid production affecting colour or signal","FLS;flavonol concentration;flavone branch",context_dependent,"Visible white can retain this module."
YELLOW_PIGMENT_MODULE,CAROTENOID,"carotenoid production/deployment underlying yellow/orange/red component","PSY;LCYB;chromoplast carotenoids",context_dependent,"Never infer from visible yellow without chemistry."
YELLOW_PIGMENT_MODULE,NON_CAROTENOID,"aurone/chalcone or other typed yellow-pigment mechanism","aurone;chalcone;betalain not applicable to most focal clades",context_dependent,"Keep chemistry explicit."
FLUX_DIVERSION_MODULE,COMPETING_BRANCH,"change in a competing branch redirecting shared precursor flux","ANR;LAR;proanthocyanidin diversion;FLS competition",context_dependent,"Generalizes Camellia P/F logic without forcing literal A/F/C/P equivalence."
PIGMENT_MODIFICATION_MODULE,ACYLATION_GLYCOSYLATION,"change in post-biosynthetic decoration that alters pigment hue/stability","anthocyanin acyltransferase;glycosyltransferase;aromatic acylation",context_dependent,"Required for cases such as Petunia exserta where reduced acylation contributes to red hue without changing the core anthocyanidin class."
TRANSPORT_CELLULAR,LOCALIZATION_OR_PH,"cellular transport, vacuolar pH or localization change affecting colour","GST transport;vacuolar acidification;metal complexation",context_dependent,"Mechanistically distinct from pigment quantity."
UNKNOWN,UNRESOLVED,"molecular target insufficiently identified",NA,unknown,"Retain unknown; never impute from visible phenotype."
