axis,allowed_level,meaning,admission_rule
A,low,low anthocyanin deployment,"requires direct pigment or predefined anthocyanin-module evidence"
A,intermediate,intermediate anthocyanin deployment,"requires quantitative or ordered within-system evidence"
A,high,high anthocyanin deployment,"requires direct pigment or predefined anthocyanin-module evidence"
F,low,low flavonol deployment,"requires direct metabolite or predefined FLS/flavonol-module evidence"
F,intermediate,intermediate flavonol deployment,"requires quantitative or ordered within-system evidence"
F,high,high flavonol deployment,"requires direct metabolite or predefined FLS/flavonol-module evidence"
C,low,low carotenoid deployment,"requires direct carotenoid evidence"
C,intermediate,intermediate carotenoid deployment,"requires quantitative or ordered within-system evidence"
C,high,high carotenoid deployment,"requires direct carotenoid evidence"
P,low,low proanthocyanidin/procyanidin diversion,"requires ANR/LAR plus metabolite/flux interpretation where defensible"
P,intermediate,intermediate proanthocyanidin/procyanidin diversion,"requires quantitative or ordered within-system evidence"
P,high,high proanthocyanidin/procyanidin diversion,"requires ANR/LAR plus metabolite/flux interpretation where defensible"
ANY,unknown,state unresolved,"must remain unknown; visible hue cannot fill a mechanistic axis"
