candidate,white_like_baseline,three_or_more_robust_events,three_or_more_matched_molecular_event_contrasts,current_polymorphism,ecology_layer,event_confidence,molecular_match,verdict,primary_failure,reopen_condition,key_reference
EPIMEDIUM_DIPHYLLON,YES_ORGAN_SPECIFIC,NO,NO,YES,LIMITED,LOW_TO_MODERATE,"strong common panel but event mapping unresolved",FAIL_HOLD,"nuclear/plastid/topology conflict and no defensible >=3 event mapping","robust topology/event gate across molecularly measured taxa",10.3389/fpls.2023.1133616
ANTIRRHINEAE,ROOT_NOT_WHITE_ANCHOR,YES,NO,YES,LIMITED,HIGH_MACRO,"direct colour RNA-seq concentrated in A. majus",FAIL_HOLD,"strict >=3 independent colour-molecular-system gate failed","new direct colour-contrast raw data from another Antirrhineae genus",10.1093/aob/mcw043
PETUNIA_LONG_TUBE,DERIVED_COLORLESS_SUBCLADE,NO,NO,NO,STRONG,HIGH,"two robust regains with rich functional genetics",FAIL_PARTIAL,"only two independent regain events and not whole-genus white ancestry","third independent colour regain from same colorless ancestral context with matched mechanism",10.1093/plcell/koab114
SILENE_PHYSOLYCHNIS,PINK_WHITE_CONTEXT,YES,NO,YES,STRONG,MODERATE_TO_HIGH,"macro red gains strong; matched molecular mechanisms sparse",FAIL_HOLD,"molecular colour data are not event-matched across >=3 red gains","matched transcriptomic/functional data for >=3 independent red-gain lineages",10.3389/fpls.2022.945806
LINOIDEAE,YELLOW_WHITE,YES_OR_LIKELY,NO,YES,LIMITED,MODERATE,"dated macro diversification; molecular layer uneven",FAIL_HOLD,"no >=3 matched molecular event contrasts","recover/rebuild molecular contrasts for >=3 robust transitions",10.3390/plants11121579
HYDRANGEA_CORNIDIA,YES,YES,NO,YES,LIMITED,HIGH_MACRO,"strong transition map; flower-colour molecular evidence weak and cultivar-biased",FAIL_HOLD,"no event-matched wild molecular layer","wild taxon molecular contrasts mapped to >=3 robust transitions",10.3389/fpls.2021.661522
ANGRAECINAE,YES,YES,NO,NO,MODERATE,HIGH_MACRO,"repeated white-green evolution but pigment mechanism sparse",FAIL_HOLD,"molecular pigment layer insufficient",">=3 event-matched molecular contrasts for repeated green transitions",10.1371/journal.pone.0163194
POLYGONATUM_VERTICILLATA,PROVISIONAL_YES,UNKNOWN,NO,YES,UNKNOWN,LOW_TO_MODERATE,"macro colour reconstruction and phenotype resources exist; mechanism weak",FAIL_HOLD,"independent event count and molecular colour mechanism not frozen","independent reconstruction plus >=3 matched molecular event contrasts",10.1186/s12870-025-07147-9
JASMINUM_INDIA,YES,NO,NO,UNKNOWN,UNKNOWN,MODERATE,"white-to-yellow evolution shown at macro level; no comparable multi-event molecular set",FAIL_LOW_VALUE,"insufficient repeated events and molecular comparisons","broader genus-scale phylogeny demonstrating >=3 independent colour gains plus molecular data",30555072
NICOTIANA_SECTIONAL,SOME_WHITE_ANCESTRAL_NODES,YES_SPECTRAL,NO,YES,STRONG,LOW_TO_MODERATE,"spectral transitions rich but reticulation/polyploidy breaks clean event matching",FAIL_HOLD,"deep baseline equivocal and event history reticulate","event-matched diploid subclade with robust root and >=3 molecular contrasts",10.1093/aob/mcv048
LINANTHUS,NO_RECENT_ANALYSIS_SUPPORTS_ANCESTRAL_POLYMORPHISM,YES_LOSSES,NO,YES,VERY_STRONG,HIGH,"excellent polymorphism evolution system but not a white-root anchor",FAIL_WRONG_BASELINE,"recent complete sampling supersedes older white-ancestor framing","not a target for white-baseline anchor; retain as polymorphism control",10.1002/ajb2.70005
ERICA_CAPE,NO_PINK_PLESIOMORPHIC,YES,YES,YES,MODERATE,MODERATE,"excellent common-panel molecular comparison across multiple colour shifts",FAIL_WRONG_BASELINE,"ancestral baseline is pink, not white-like", "retain as mechanistic heterogeneity control, not white-baseline anchor",10.3389/fpls.2019.01565
