feature,module,independence_cluster,source_ids,sequence_accessions_or_named_anchor,source_resolution,strict_node_label,orthology_status,family_recurrence_counted,strict_crossspecies_recurrence_counted,notes,claim_boundary
FLS,flavonol,CSIN_WHITE_PINK,CSA008358;CSA006950,CSA008358->CSS0045924; CSA006950->CSS0007745,multiple_source_local_paralogs,,paralog_group_unresolved,yes,no,TPIA2 resolves the two source FLS loci to distinct rows/CDSs (~82% within-genome identity). The author-classified CnFLS2 qRT-PCR primer pair from F01.PB8395 matches CSA008358/CSS0045924 exactly at both primers but not CSA006950,family recurrence is supported; CSA008358 is CnFLS2-like by local amplicon evidence but formal full-length orthology is not established
FLS,flavonol,CNITIDISSIMA,CnFLS1 source group: F01.PB53224;F01.PB58793;F01.PB6032; CnFLS2 source group: F01.PB57785;F01.PB107898;F01.PB59604;F01.PB41677;F01.PB49622;F01.PB8395;F01.PB39893; CnFLS3: F01.PB4564;F01.PB102531;F01.PB53935; CnFLS4: F01.PB10952;F01.PB4098;F01.PB29531,CnFLS1 complete cDNA JF343560.1; CnFLS2 qRT-PCR anchor F01.PB8395,author_classified_source_transcript_groups_plus_qpcr_anchor,,source_transcript_groups_with_local_amplicon_anchor,yes,no,Feng2024 supplies the CnFLS1-4 transcript groups and the F01.PB8395/CnFLS2 primer,source-group and primer evidence resolve paralog hypotheses locally; no formal cross-species strict ortholog label is assigned without full-length source sequences/gene tree
FLS,flavonol,CPERPETUA,FLS,,family_hub_only,,family_level_only,yes,no,source identifies FLS as a hub during yellow development but no frozen sequence/locus anchor is yet available,cannot compare exact ortholog identity from symbol alone
ANS,anthocyanin_downstream,CSIN_WHITE_PINK,ANS;CSA011508,CSS0010687.1;K05277;source LDOX1 qRT-PCR primer,source_family_plus_sequence_resolved_LDOX,CSA011508_CsANS1_like,functional_class_sequence_anchor_exact,yes,no,2019 source calls CSA011508 LDOX1; TPIA2 maps it to CSS0010687.1/CsANS1-like. This anchors the C. sinensis cluster at a reference lineage,admit to ANS/LDOX family and reference lineage; exact identity to a species-native C. reticulata copy remains unresolved
ANS,anthocyanin_downstream,CRETICULATA,gene-LOC114274940;gene-LOC114288034;gene-LOC114295638;novel.12638;CrANS,QIM55351.1;AIN10023.1;AVT33548.1;CrANS 1068-bp primer-bounded assay,tea_reference_mapped_copy_set_plus_functional_assay,,reference_mapped_copy_resolution,yes,no,LOC114274940 is canonical-like (identity 0.997183; qcov 1.0) and red-directed; LOC114288034 is divergent ANS-family (identity 0.842254; qcov 0.965625) and white-directed; LOC114295638 fails the strict sequence gate; novel.12638 is sequence-unresolved. CrANS primers give one deduplicated exact link to LOC114274940,supports copy/paralog-specific deployment at reference-lineage level; the gene-LOC labels are tea reference targets and no deposited species-native C. reticulata exact node is recovered
ANS,anthocyanin_downstream,CSASANQUA,ANS;Cao1_scaffold_14-gene-740.10,,reported_family_plus_named_functional_target,,family_level_sequence_unresolved,yes,no,functional target and one primer are reported but a paired-primer/public sequence anchor is not recovered,family recurrence only until the source gene sequence is recovered
DFR,anthocyanin_downstream,CSIN_WHITE_PINK,CSA003949;CSNG45659;CSNG38209,XM_028243762.1 for CSA003949 via TEA024758; CSNG unigenes de novo,mixed_genome_subclass_plus_de_novo_unigenes,CsDFRb2_for_CSA003949,subclass_sequence_anchor_exact,yes,no,CSA003949 maps to TEA024758=CsDFRb2 distinct from canonical CsDFRa. CSNG45659/38209 remain de novo DFR-annotated unigenes,DFR-family recurrence remains valid; do not call the C. sinensis signal canonical CsDFRa reuse
DFR,anthocyanin_downstream,CJAPONICA,CjDFR,AB524885.1,partial_cDNA_sequence_anchor,CjDFR_CsDFRa_like,sequence_lineage_anchor,yes,no,Public CjDFR partial cDNA is CsDFRa-like whereas the C. sinensis source locus CSA003949 is CsDFRb2,supports DFR-family recurrence implemented by distinct paralog lineages; strict exact-node recurrence remains zero
ANR,proanthocyanidin,CSIN_WHITE_PINK,CSA011986,,source_local_locus,,source_local_unmapped,yes,no,pink-directed ANR at the informative stage in defended S8 orientation,no cross-species orthology claim
ANR,proanthocyanidin,CRETICULATA,gene-LOC114258680;gene-LOC114259095;gene-LOC114276938;gene-LOC114287753;gene-LOC114297899,,KEGG_K08695_paralog_set,,paralog_group_unresolved,yes,no,five ANR-like homologs show mixed red-white directions,family recurrence only
LAR,proanthocyanidin,CSIN_WHITE_PINK,CSA019984;CSA018523;CSNG5035,CSA019984->TEA021535/CSS0034690; CSA018523->TEA027582/CSS0009063,multiple_genome_and_de_novo_paralogs,,paralog_group_unresolved,yes,no,CSA019984 and CSA018523 are distinct genome-crosswalked LAR rows; CSNG5035 remains de novo and unmapped,family recurrence within one cluster only; do not force the de novo unigene to a known genome paralog
UFGT,anthocyanin_downstream,CRETICULATA,gene-LOC114285765;gene-LOC114285774;gene-LOC114288492;gene-LOC114289234,K12930,source_highlighted_four_locus_set,,paralog_group_unresolved,yes,no,all four source-highlighted loci are red>white; broader K12930 family contains additional mixed homologs,one-cluster locus-set evidence only
MYB114,regulatory,CJAPONICA,CjMYB114,PP033112.1,named_sequence_anchor_exact,CjMYB114,exact_named_sequence_anchor,yes,no,functional regulator with public sequence accession; only one biological cluster,strict node is resolved but has no independent cross-species recurrence yet
bHLH1,regulatory,CJAPONICA,CjbHLH1,MZ614498.1,named_sequence_anchor_exact,CjbHLH1,exact_named_sequence_anchor,yes,no,functional partner with public sequence accession; only one biological cluster,strict node is resolved but has no independent cross-species recurrence yet
