bin,t,median_excess,q25,q75,median_p_same
1,0.2765470786434089,0.054128981145748004,0.0078594214711921,0.3462567541346673,0.5257685352622061
2,0.46688482353792926,0.033688511174518765,-0.027027796764638932,0.11778193638947583,0.47237277928334837
3,0.5956101952271968,0.046307228125409924,-0.06511089204318245,0.2949580335404876,0.5047169811320755
4,0.6692009228064892,0.01301569466392495,-0.08201298318385221,0.10577822761918412,0.44405594405594406
5,0.7298410092628493,-0.045255087871628574,-0.24572556295245362,0.056310938071944386,0.39475450709627924
6,0.8051201831372593,-0.05536279943994374,-0.17099613884440445,0.044488790308565035,0.38775331935709295
7,0.8599136732827126,-0.039569927954683,-0.26574644401496084,0.048732279171210494,0.38188893878161956
8,0.9240783813855422,-0.024536192210350045,-0.12729116858653916,0.04223157441013666,0.41213235294117645
9,0.9915306803253948,-0.035698255616986675,-0.13390263642490519,0.07454178135694092,0.3918826271767448
10,0.9999999999999998,-0.003080082135523603,-0.09192673302842796,0.10481440255147141,0.4115472027972028
