paper_id,year,doi,scope,main_prior_result,state_representation_or_recoding,transition_type_or_direction_dependence,phenotype_axis_to_molecular_mapping,same_visible_endpoint_alternate_mechanisms,cross_radiation_macro_plus_molecular_resolution_test,prospective_external_component,overlap_with_current_candidate,novelty_boundary
RAUSHER_2008,2008,10.1086/523358,flower-colour review,"Macroevolutionary transition asymmetries and recurrent pathway-level tendencies were already recognized",NO,YES,PARTIAL,YES,NO,NO,HIGH_GENERIC,"Do not claim novelty for asymmetric directions or pathway-position tendencies"
WESSINGER_RAUSHER_2012,2012,10.1093/jxb/ers267,flower-colour review,"Relative importance of regulatory versus functional mutations depends on flower-colour transition type and genes involved",NO,YES,PARTIAL,YES,NO,NO,HIGH_GENERIC,"Do not claim novelty for transition-class dependence of genetic targets"
STREISFELD_RAUSHER_2013,2013,10.3389/fpls.2013.00321,flower-colour evo-devo review,"Predictability of genetic change was explicitly framed as dependent on gain/loss direction, developmental context and population frequency",NO,YES,PARTIAL,YES,NO,NO,HIGH_GENERIC,"Do not claim novelty for context-dependent predictability or the need for multiple examples"
NG_SMITH_2016,2016,10.1111/nph.13576,Solanaceae megaphylogeny,"At least 30 red-flower origins used anthocyanin, carotenoid or dual pathways; mechanism showed phylogenetic signal",NO,PARTIAL,NO,YES,NO,NO,HIGH_VISIBLE_TO_MECHANISM,"Do not claim novelty for same visible endpoint via alternate pigment pathways or historical contingency"
SMITH_ETAL_2018_STEPWISE,2018,10.1111/evo.13589,Solanaceae anthocyanin pigments,"Pathway structure predicts stepwise transitions among hydroxylation states and many shifts are reversible",NO,YES,YES,NO,NO,NO,MODERATE_ACCESSIBILITY,"Do not claim novelty for pathway-structured accessibility of colour phenotypes"
LARTER_ETAL_2018,2018,10.1093/molbev/msy117,Iochrominae 28-species radiation,"Independent pigment losses converge on late-pathway expression while hue shifts involve branching genes",NO,YES,YES,PARTIAL,NO,NO,VERY_HIGH_SINGLE_RADIATION_AXIS,"Do not claim novelty for hue-versus-intensity mapping to different pathway regions within one radiation"
TARASOV_2019,2019,10.1093/sysbio/syz005,general phylogenetic method,"Character coding can confound hierarchical and hidden processes; structured/hidden Markov models formalize this issue",YES,NO,NO,NO,NO,NO,HIGH_METHOD,"Do not claim novelty for generic state-coding ambiguity or hierarchical trait representation"
VERA_RUIZ_ETAL_2022,2022,10.1093/sysbio/syab074,general phylogenetic recoding method,"Recoding/lumping can fail to retain Markov properties and distort phylogenetic parameter estimates",YES,NO,NO,NO,NO,NO,HIGH_METHOD,"Do not claim novelty for generic lumpability/recoding consequences"
WHEELER_ETAL_2023,2023,10.1098/rspb.2023.0275,Petunieae comparative transcriptomics,"Major floral pigment axes are associated with coordinated pathway-gene expression; pathway architecture shapes accessible phenotype space",NO,YES,YES,NO,NO,NO,VERY_HIGH_SINGLE_RADIATION_AXIS,"Do not claim novelty for multivariate phenotype axes mapping to pathway expression in Petunieae"
KELLENBERGER_GLOVER_2023,2023,10.1016/j.cub.2023.01.055,broad flower-colour primer,"Flower colour evolution spans molecular, microevolutionary and macroevolutionary timescales and is highly labile",NO,PARTIAL,PARTIAL,YES,NO,NO,BROAD_CONTEXT,"Do not claim novelty simply for integrating multiple biological scales"
CURRENT_SYNTHESIS,2026,NA,multiple independent angiosperm radiations,"Replicated fine-state macro organization without a shared privileged coarse boundary/direction is aligned with cross-radiation phenotype-axis-specific molecular localization and a seven-system mechanistic recurrence hierarchy",YES,YES,YES,YES,YES,PARTIAL,NA,"Novelty candidate is the empirical cross-radiation alignment of resolution dependence across macro representation and molecular/mechanistic levels; priority wording remains forbidden pending broader audit"
