system_id,axis_class,axis_admitted,molecular_category,evidence_tier,branching_localized,prospective_component,source_doi,source_scope,admission_note
IOCHROMINAE,HUE,1,BRANCHING_HYDROXYLATION,B,1,0,10.1093/molbev/msy117,28-species comparative expression,"Anthocyanidin hue maps primarily to F3'H + F3'5'H branching subspace"
IOCHROMINAE,AMOUNT_INTENSITY,1,LATE_OUTPUT,B,0,0,10.1093/molbev/msy117,28-species comparative expression,"Anthocyanin presence/intensity losses map to late coexpression module F3'5'H + DFR + ANS"
CAPE_ERICA,HUE,1,BRANCHING_HYDROXYLATION,B,1,0,10.3389/fpls.2019.01565,derived hue-branch taxa within Cape Erica,"Yellow/hue branch focal node F3'H in 2/2 summarized derived taxa"
CAPE_ERICA,AMOUNT_INTENSITY,1,DISPERSED_MULTIPLE,B,0,0,10.3389/fpls.2019.01565,pigment-depletion taxa within Cape Erica,"White/pigment depletion distributed across ANS DFR UDP_GST and bHLH; F3'H 0/6"
PETUNIEAE,HUE,1,BRANCHING_HYDROXYLATION,B,1,1,10.1098/rspb.2023.0275,53 anthocyanin-positive taxa,"Pre-frozen prospective hue axis: BRANCHING_HUE best; AICc margin 11.60282936"
PETUNIEAE,AMOUNT_INTENSITY,1,UNRESOLVED,B,,1,10.1098/rspb.2023.0275,59 taxa,"Pre-frozen raw amount axis: best BRANCHING_HUE but margin 0.44436806 and no null improvement; retained unresolved, not negative"
PHLOX_DRUMMONDII,HUE,1,BRANCHING_HYDROXYLATION,A,1,0,10.1038/nature09641,reinforcement colour-shift system,"Hue locus is cis-regulatory F3'5'H"
PHLOX_DRUMMONDII,AMOUNT_INTENSITY,1,REGULATORY,A,0,0,10.1038/nature09641,reinforcement colour-shift system,"Intensity locus is cis-regulatory R2R3-MYB"
ANTIRRHINUM,HUE,1,BRANCHING_HYDROXYLATION,A,1,0,10.1007/s10265-011-0455-5,inter-specific violet/non-violet comparison,"Functional F3'5'H difference demonstrated with transgenic assay"
ANTIRRHINUM,AMOUNT_INTENSITY,1,REGULATORY,A,0,0,10.1105/tpc.105.039255,at least six species,"Pigmentation intensity differences attributed principally to Rosea/Venosa MYB activity"
RUELLIA,HUE,1,BRANCHING_HYDROXYLATION,B,1,0,10.1186/s12862-021-01955-x,10-species transcriptome/phylogeny,"Red-purple transitions implicate regulatory and structural changes at F3'5'H"
RUELLIA,AMOUNT_INTENSITY,1,DISPERSED_MULTIPLE,B,0,0,10.1186/s12862-021-01955-x,10-species transcriptome/phylogeny,"Anthocyanin-poor yellow taxa show coordinated down-regulation of multiple structural genes and likely shared regulatory changes"
PENSTEMON,HUE,1,BRANCHING_HYDROXYLATION,A,1,0,10.1111/evo.12340,blue-to-red Penstemon transition with repeated genus context,"Functional inactivation/degeneration of F3'5'H associated with blue-to-red hue shift"
PENSTEMON,AMOUNT_INTENSITY,0,UNRESOLVED,C,,0,10.1093/icb/icad065,natural hybrid pigment-quantity study,"Direct pigment amount axis exists but molecular causal localization was proposed for future verification; excluded from primary"
IPOMOEA,HUE,1,BRANCHING_HYDROXYLATION,A,1,0,10.1111/j.1469-8137.2009.02929.x;10.1093/jhered/esg098,parallel red origins plus direct purple/pink locus,"Parallel red shifts reduce F3'H expression; direct I. purpurea purple/pink polymorphism maps to F3'H"
IPOMOEA,AMOUNT_INTENSITY,0,UNRESOLVED,C,,0,10.1016/S1055-7903(03)00196-9,comparative Ipomoea expression,"Comparative regulatory differences are reported but the fixed screen did not resolve a separable direct amount/intensity axis; excluded from primary"
