left_out_section,n,section_r2,section_p,section_aic,colour_r2,colour_p,colour_aic,section_minus_colour_aic,section_minus_null_aic
camellia,36,0.5287211970,0.0042814472,213.4150519,0.0077099026,0.8801118042,228.2194151,-14.8043632,-11.0829952
chrysantha,48,0.4423609518,0.0019555286,281.2849173,0.0033221616,0.6971824137,295.1592709,-13.8743536,-12.0340829
eriandria,47,0.4309785727,0.0033594635,278.7053784,0.0064828922,0.8666778465,292.9000383,-14.1946599,-10.5003478
furfuracea,46,0.3674439830,0.0195078171,276.9388674,0.0068865361,0.8619373491,285.6883699,-8.7495024,-5.0673789
paracamellia,38,0.4298719724,0.0223165842,233.4198889,0.0085637095,0.8602688669,242.4450512,-9.0251623,-5.3519847
pseudocamellia,49,0.4024212547,0.0048361938,291.1437650,0.0085150452,0.8214496584,303.9533327,-12.8095677,-9.2285914
stereocarpus,49,0.4166639141,0.0032719004,291.1437650,0.0066880095,0.8569798156,305.2255491,-14.0817841,-10.4105973
thea,44,0.4700000109,0.0023066453,257.6265059,0.0110199581,0.7967908023,273.0735812,-15.4470753,-11.9346449
theopsis,45,0.4385164195,0.0042428019,268.2216709,0.0091576442,0.8243199818,281.7804521,-13.5587811,-9.9727736
tuberculatae,48,0.2056259873,0.2910963915,286.3894736,0.0238948284,0.5803283804,284.2782387,2.1112349,4.9503578
