condition_id,dependence_cluster,dataset_accession,taxon,cultivar_or_line,developmental_stage,petal_region,visible_observation,expected_biological_replicates,run_mapping_status,primary_contrast_role
CJ_JK_PINK,CJAPONICA,PRJNA913600,Camellia japonica,Joy Kendrick,full_bloom,pink_region,pink,3,resolved_archive_sample_name,within_genotype_red_vs_pink
CJ_JK_RED,CJAPONICA,PRJNA913600,Camellia japonica,Joy Kendrick,full_bloom,red_region,red,3,resolved_archive_sample_name,within_genotype_red_vs_pink
CR_MN_BUD1,CRETICULATA,GSE236364;SRR24413180-SRR24413206,Camellia reticulata,Damanao (MN),early_bud_stage_1,whole_or_not_region_separated,mixed_red_white_developing,3,pending_archive_mapping,developmental_context
CR_MN_BUD3,CRETICULATA,GSE236364;SRR24413180-SRR24413206,Camellia reticulata,Damanao (MN),late_bud_stage_3,whole_or_not_region_separated,mixed_red_white_developing,3,pending_archive_mapping,developmental_context
CR_MN_INITIAL,CRETICULATA,GSE236364;SRR24413180-SRR24413206,Camellia reticulata,Damanao (MN),initial_flowering,whole_or_not_region_separated,mixed_red_white,3,pending_archive_mapping,developmental_context
CR_MN_FULL_RED,CRETICULATA,GSE236364;SRR24413180-SRR24413206,Camellia reticulata,Damanao (MN),full_bloom,red_region,red,3,pending_archive_mapping,within_genotype_red_vs_white
CR_MN_FULL_WHITE,CRETICULATA,GSE236364;SRR24413180-SRR24413206,Camellia reticulata,Damanao (MN),full_bloom,white_region,white,3,pending_archive_mapping,within_genotype_red_vs_white
CR_SZT_BUD,CRETICULATA,GSE236364;SRR24413180-SRR24413206,Camellia reticulata,Shizitou (SZT),bud,whole_petal,red,3,pending_archive_mapping,cultivar_context
CR_SZT_FULL,CRETICULATA,GSE236364;SRR24413180-SRR24413206,Camellia reticulata,Shizitou (SZT),full_bloom,whole_petal,red,3,pending_archive_mapping,cultivar_context
CR_TZM_BUD,CRETICULATA,GSE236364;SRR24413180-SRR24413206,Camellia reticulata,Tongzimian (TZM),bud,whole_petal,white_or_very_pale,3,pending_archive_mapping,cultivar_context
CR_TZM_FULL,CRETICULATA,GSE236364;SRR24413180-SRR24413206,Camellia reticulata,Tongzimian (TZM),full_bloom,whole_petal,white_or_very_pale,3,pending_archive_mapping,cultivar_context
CP_S1,CPERPETUA,PRJNA981682,Camellia perpetua,Camellia perpetua,S1_young_bud,whole_flower_petal_sample,young_bud,3,pending_archive_mapping,developmental_trajectory
CP_S2,CPERPETUA,PRJNA981682,Camellia perpetua,Camellia perpetua,S2_early_bud,whole_flower_petal_sample,early_bud,3,pending_archive_mapping,developmental_trajectory
CP_S3,CPERPETUA,PRJNA981682,Camellia perpetua,Camellia perpetua,S3_yellowing,whole_flower_petal_sample,yellowing,3,pending_archive_mapping,predefined_yellowing_state
CP_S4,CPERPETUA,PRJNA981682,Camellia perpetua,Camellia perpetua,S4_expansion,whole_flower_petal_sample,expansion_yellow,3,pending_archive_mapping,developmental_trajectory
CP_S5,CPERPETUA,PRJNA981682,Camellia perpetua,Camellia perpetua,S5_blooming,whole_flower_petal_sample,blooming_yellow,3,pending_archive_mapping,endpoint_yellow_state
