layer,id,statement,status,basis,claim_boundary
published_input,LIT_SAME_RED_CAMELLIA,"Red C. japonica and red C. rusticana recruit different pollinators using different spectral/UV strategies",published_result,"10.1016/j.phytochem.2022.113559","one species pair; does not establish genus-wide frequency"
published_input,LIT_PETELOTII_WEATHER,"C. petelotii has strong sunbird contribution and honeybee visitation declines in cloudy/rainy weather",published_result,"10.3732/ajb.1600428","shows weather-dependent pollinator reliability, not historical colour evolution"
published_input,LIT_PERPETUA_SEASON,"C. perpetua shifts toward greater bird visitation and reproductive success in winter than summer",published_result,"10.1016/j.flora.2025.152727","shows seasonal reproductive-niche weighting, not colour transition causation"
published_input,LIT_PETUNIA_REGAIN,"Petunia secreta restored AN2 function and anthocyanin during a reversal toward bee pollination",published_result,"10.1016/j.cub.2018.10.019","proves general pollinator-associated regain is possible; not Camellia evidence"
chun_result,CHUN_THERMAL_NULL,"Visible A and W do not show a robust genus-wide thermal-niche difference after provenance and estimator checks",supported_preliminary,"data/chun_hypothesis_status_v0_1.csv","thermal axes only; hydroclimate/light remain incompletely tested"
chun_result,CHUN_NICHE_DISPLACEMENT_NULL,"A is not more climatically displaced than W within shared traditional-section proxies",supported_preliminary_screen,"data/camellia_section_relative_niche_displacement_v0_1.csv","two shared sections; not a nuclear-tree branch analysis"
chun_result,CHUN_HUE_FUNCTION_COLLISION,"A single visible hue can correspond to distinct reproductive/sensory regimes within Camellia",supported_case_level,"data/camellia_latent_state_seed_v0_1.csv plus published C. japonica/rusticana experiment","establishes non-deterministic hue-to-function mapping only"
chun_result,CHUN_EVIDENCE_ASYMMETRY,"Current latent-state seed has pollinator evidence for 6/8 taxa but UV/fluorescence only 1/8 and carotenoid 1/8",supported_data_audit,"data/camellia_latent_state_seed_audit_v0_1.csv","identifies the next evidence bottleneck, not a biological effect"
chun_hypothesis,H_REPRODUCTIVE_NICHE,"Flower-pigment changes more often reorganize reproductive/sensory niche than abiotic climatic niche",new_primary_ecological_hypothesis,"generated by CHUN_THERMAL_NULL + CHUN_NICHE_DISPLACEMENT_NULL + CHUN_HUE_FUNCTION_COLLISION","requires standardized branch-level climate versus pollinator/sensory event comparison"
chun_hypothesis,H_CLIMATE_POLL_MED,"Climate/season can select pigment re-deployment indirectly by changing pollinator reliability or composition",new_conditional_hypothesis,"generated by thermal null plus source-level weather/season pollinator effects","requires dated climate -> pollinator -> latent-pigment event ordering in Camellia"
chun_hypothesis,H_REPRODUCTIVE_REACTIVATION,"A retained pigment programme can be reactivated when a reproductive/sensory niche becomes favorable again, even without a novel climatic niche",new_exploratory_hypothesis,"generated by molecular accessibility + reproductive-niche hypothesis + external proof of pollinator-associated regain","no Camellia branch-specific reactivation currently passes the history/retention/selection gate"
