figure_id,panel_id,panel_title,result_ids,plot_design,manuscript_status
Fig1,A,"Observation-to-realization framework","M05_ANTHOCYANIN_OBSERVATION_REGIME;M06_YELLOW_MODULAR_RECURRENCE;M07_LITERATURE_AXIS_ASCERTAINMENT;C03_WHOLE_PACKAGE_VS_MODULAR_RECURRENCE;C02_PUBLIC_DATA_IDENTIFIABILITY_BOUNDARY","Conceptual flow: feasibility -> literature observation -> candidate-free observation -> identified whole-package/modular recurrence -> macro realization -> event-identifiability boundary.",main
Fig1,B,"What the observation regime changes","M05_ANTHOCYANIN_OBSERVATION_REGIME;M06_YELLOW_MODULAR_RECURRENCE;M07_LITERATURE_AXIS_ASCERTAINMENT","Literature coverage after formal database search plus citation chasing contrasted with the frozen five-system candidate-free A/F/C/P protocol. Show 12 systems (10/5/1/3) and six dependence clusters (5/4/1/2); A-specific enrichment is not retained below 0.05 after dependence collapse (P=0.078125).",main
Fig2,A,"Five candidate-free systems","M05_ANTHOCYANIN_OBSERVATION_REGIME;M06_YELLOW_MODULAR_RECURRENCE","A/F/C/P direction heatmap by dependence cluster: CJAPONICA, CRETICULATA, CSIN_WHITE_PINK, CNITIDISSIMA, CPERPETUA; annotate unresolved CS P only.",main
Fig2,B,"Anthocyanin-gain identified-set contraction","M05_ANTHOCYANIN_OBSERVATION_REGIME","Literature vs candidate-free intervals for exact-signature recurrence and pairwise concordance across three matched clusters. After Luo 2016, literature pairwise range is 0.333–1.0, candidate-free 0.333–0.5, pairwise width 0.6667 -> 0.1667; direct overlap is 2/6 with CJAPONICA F added as a conflict.",main
Fig2,C,"Yellow-development modular recurrence","M06_YELLOW_MODULAR_RECURRENCE","CN versus CP A/F/C/P direction comparison plus literature-vs-candidate-free interval contraction; highlight 3/4 axis reuse, F disagreement, width 0.75 -> 0.",main
Fig3,A,"Taxonomy attrition","T01_WFO_ACCEPTED_TAXONOMY","Flow: 93 legacy Camellia tips -> 55 WFO accepted species.",main
Fig3,B,"Wild-colour evidence attrition","T02_WILD_COLOUR_AUDIT","Flow: 35 provisional hard states -> strict 24 / dominant 30; annotate polymorphism and insufficient evidence.",main
Fig4,A,"Accepted-species topology concordance","P01_NUCLEAR_TOPOLOGY_CONCORDANCE","Split-concordance/RF summary for FastTree-ASTRAL vs IQ-TREE/UFBoot-ASTRAL on 53 shared species.",main
Fig5,A,"Local colour conservatism across topologies","P02_LOCAL_COLOUR_CONSERV_FASTTREE;P03_LOCAL_COLOUR_CONSERV_UFBOOT","Observed nearest-same-colour statistics against count-preserving permutation nulls for strict and dominant seeds on both accepted-species nuclear topologies.",main
Fig5,B,"Robust versus demoted macro claims","P04_GLOBAL_MPD_TOPOLOGY_SENSITIVE;P05_A_SPECIFIC_PERMISSIVITY_NOT_STRICT","Compact robustness panel: global MPD and A-specific permissivity demoted; nearest-same-colour retained.",main
Fig6,A,"Pattern without identifiable events","B01_NO_ROBUST_ACCEPTED_BRANCH_EVENTS;C02_PUBLIC_DATA_IDENTIFIABILITY_BOUNDARY","Strict=0 robust branches; dominant=1; shared strict x dominant=0. Show why branch-causal enrichment stops here.",main
Fig6,B,"Synthesis: modular recurrence and local realization","C03_WHOLE_PACKAGE_VS_MODULAR_RECURRENCE;P03_LOCAL_COLOUR_CONSERV_UFBOOT;C02_PUBLIC_DATA_IDENTIFIABILITY_BOUNDARY","Cross-scale synthesis: complete molecular packages are not recurrent, modular reuse differs by transition class, visible states remain locally phylogenetically structured, individual events remain unidentified.",main
FigS1,A,"FLS same-lineage recurrence","M01_FLS_SAME_LINEAGE","Sequence/lineage schematic with source anchors and same-lineage recurrence.",supplement
FigS1,B,"DFR paralog substitution","M02_DFR_PARALOG_SUBSTITUTION","Paired DFR-family schematic contrasting CsDFRa-like and CsDFRb2 implementations.",supplement
FigS1,C,"Copy-aware family heterogeneity","M03_ANS_COPY_DIRECTION_HETEROGENEITY;M04_ANR_COPY_DIRECTION_HETEROGENEITY","Copy-specific directional heterogeneity without strict-node recurrence claims.",supplement
FigS2,A,"Ecological screen boundaries","E01_UNIVERSAL_COLD_CHAIN_NOT_SUPPORTED;E02_VISIBLE_HUE_POLLINATOR_ALIASING","Climate and pollination screens retained as context for persistence, not a main causal figure.",supplement
