clade_id,ancestral_baseline,event_structure,molecular_layer,ecology_layer,current_variation,primary_role,white_like_anchor_status,prior_art_risk,key_reference
CAMELLIA,WHITE_LIKE_SUPPORTED_BUT_PROJECT_ROOT_UNCERTAIN,"local colour structure robust; individual event identity weak","candidate-free A/F/C/P same-system remeasurement; modular recurrence","pollinator filtering candidate; branch cause unresolved",YES,PRIMARY_CASE_STUDY,ANCHOR,HIGH,10.1111/pbi.70442
EPIMEDIUM_DIPHYLLON,"INNER_SEPAL_WHITE; PETAL_SPUR_YELLOW","parallel colour diversification but event independence topology-sensitive","8-species common 12-gene panel + HPLC; core recurrence with copy-level heterogeneity",LIMITED,YES,MECHANISTIC_VALIDATION,HOLD_EVENT_ANCHOR,MEDIUM,10.3389/fpls.2023.1133616
PETUNIA_LONG_TUBE_CLADE,COLORLESS_DERIVED_FROM_PURPLE_GENUS_ANCESTOR,"two independent regains from colourless ancestor to purple and red","P. secreta AN2 reading-frame resurrection; P. exserta DPL recruitment + hydroxylation/acylation reprogramming",STRONG,NO,REGAIN_LATENT_CAPACITY_CONTROL,PARTIAL_WHITE_LIKE_SUBCLADE,HIGH,10.1093/plcell/koab114
ERICA_CAPE,PINK_PLESIOMORPHIC,"12 putatively independent pink-to-red/white/yellow comparison sets","shared RT-qPCR ABP panel + UPLC-MS/MS; multiple distinct gene/regulatory/flux mechanisms",MODERATE,YES,IMPLEMENTATION_HETEROGENEITY_CONTROL,NO,HIGH,10.3389/fpls.2019.01565
AQUILEGIA,PURPLE_ANTHOCYANIN,"at least six independent anthocyanin losses; seven A-minus lineages in molecular comparison","repeated late-pathway downregulation across losses",STRONG,YES,LOSS_REPEATABILITY_PRIOR_ART_CONTROL,NO,VERY_HIGH,10.1111/j.1365-294X.2006.03114.x
IOCHROMINAE,BLUE_DELPHINIDIN,"four independent white/yellow anthocyanin losses plus derived red/orange transitions","pathway-level convergent expression loss; specific R3-MYB and hydroxylase mechanisms known",MODERATE,YES,PATHWAY_CONVERGENCE_PRIOR_ART_CONTROL,NO,VERY_HIGH,10.1093/molbev/msy117
IPOMOEA_ASTRIPOMOEINAE,BLUE_PURPLE_CYANIDIN,"three robust independent pelargonidin-red origins; fourth red lineage differs biochemically","same F3H-prime regulatory target repeatedly implicated in three independent red origins",MODERATE,YES,GENE_LEVEL_REPEATABILITY_POSITIVE_CONTROL,NO,VERY_HIGH,10.1111/j.1469-8137.2009.02929.x
ANTIRRHINEAE,MULTISTATE_ROOT_NOT_USED_AS_WHITE_ANCHOR,"369-species colour survey; transition rates linked to present polymorphism","direct raw colour RNA-seq concentrated in A. majus Rosea/Eluta architecture; strict independent-system gate failed",LIMITED,YES,TEMPORAL_SPATIAL_POLYMORPHISM_CONTROL,NO,HIGH,10.1093/aob/mcw043
HYDRANGEA_CORNIDIA,WHITE,"white ancestral but published map has more coloured-to-white than white-to-coloured transitions","flower-colour molecular layer currently weak / cultivar-biased",LIMITED,YES,TRANSITION_DIRECTION_FALSIFICATION,MACRO_ONLY,LOW,10.3389/fpls.2021.661522
LINOIDEAE,YELLOW_WHITE,"dated diversification to purple then blue/red/pink; terminal matrix requires rebuild","colour molecular resources uneven and mostly crop-focused",LIMITED,YES,DATED_MACRO_WHITE_LIKE_ANCHOR,MACRO_ONLY,LOW,10.3390/plants11121579
POLYGONATUM_VERTICILLATA,WHITE,"reported diversification to green/yellow-green/purple/pink/red; current P. kingianum colour phenotypes","plastome colour-phenotype data only; direct pigment-network mechanism not established",UNKNOWN,YES,PROVISIONAL_WHITE_LIKE_MACRO_CANDIDATE,HOLD,MEDIUM,10.1186/s12870-025-07147-9
ANGRAECINAE,WHITE,"green flowers evolved independently several times; lower-complexity colour axis","molecular pigment layer weak",MODERATE,NO,LOW_COMPLEXITY_WHITE_LIKE_CONTROL,MACRO_ONLY,LOW,10.1371/journal.pone.0163194
SILENE_PHYSOLYCHNIS,PINK_WHITE_CONTEXT,"multiple independent red gains; some inferred directly from white; current colour polymorphism in related Silene systems","matched molecular evidence for independent red gains remains sparse",STRONG,YES,GAIN_AND_POLYMORPHISM_BRIDGE,HOLD,MEDIUM,10.3389/fpls.2022.945806
EUONYMUS,ROOT_COLOUR_UNCERTAIN,"red-white transitions bidirectional; red states repeatedly associated with fungus-gnat syndrome","floral pigment molecular layer weak",VERY_STRONG,NO,ECOLOGICAL_FILTERING_CONTROL,NO,MEDIUM,10.1093/aob/mcad081
NICOTIANA,DEEP_COLOUR_EQUIVOCAL,"multiple spectral-state transitions strongly affected by hybridization/polyploidy","several genomes/transcriptomes but event comparison complicated by reticulation",STRONG,YES,RETICULATION_HYBRIDIZATION_CONTROL,NO,MEDIUM,10.1093/aob/mcv048
LINANTHUS,PIGMENT_POLYMORPHISM_LIKELY_ANCESTRAL_IN_RECENT_PHYLOGENY,"colour polymorphism labile and repeatedly lost; old preliminary white-ancestor framing superseded","molecular basis of white/pigmented polymorphism not yet established",VERY_STRONG,YES,CURRENT_POLYMORPHISM_EVOLUTION_CONTROL,NO,MEDIUM,10.1002/ajb2.70005
ACER,NOT_WHITE_ANCHOR,"flower colour transition probabilities depend on vegetative anthocyanin genetic context","comparative pigment-context evidence rather than modern omics",LIMITED,NO,LATENT_CAPACITY_PRIOR_ART_CONTROL,NO,VERY_HIGH,10.1046/j.1420-9101.2002.00399.x
DALECHAMPIA,NOT_WHITE_ANCHOR,"floral bract pigmentation evolution linked to vegetative pigment context","comparative pigment-context evidence rather than modern omics",MODERATE,YES,PLEIOTROPY_INDIRECT_SELECTION_PRIOR_ART_CONTROL,NO,VERY_HIGH,10.1046/j.1420-9101.2002.00399.x
