audit_type,item,visible_state,n_taxa_or_pairs,n_informative,result,interpretation
coverage,anthocyanin_axis,ALL,8,5,0.625,"moderate coverage; values are partly relative contrasts rather than harmonized concentrations"
coverage,flavonol_axis,ALL,8,4,0.5,"partial coverage; includes flux/expression and metabolite evidence"
coverage,carotenoid_axis,ALL,8,1,0.125,"severe missingness; yellow cannot yet be parameterized as a carotenoid axis genus-wide"
coverage,procyanidin_diversion,ALL,8,0,0,"not estimable in current species seed despite mechanism-level evidence elsewhere"
coverage,uv_fluorescence_signal,ALL,8,1,0.125,"spectral function is almost entirely missing across the genus seed"
coverage,pollinator_regime,ALL,8,6,0.75,"best-covered ecological filter axis in the current seed"
coverage,thermal_context,ALL,8,4,0.5,"only a subset overlaps the current exact GBIF-CHELSA screen or direct pair result"
coverage,pathway_retention,ALL,8,5,0.625,"retention evidence is common enough to seed tests but not yet branch-complete"
within_colour_collision,Camellia_japonica__Camellia_rusticana,A,1,1,1,"same visible red state but bird-associated versus insect-associated pollination plus large thermal difference and spectral/fluorescence differentiation"
within_colour_collision,Camellia_petelotii__Camellia_perpetua,Y,1,1,1,"same broad yellow/golden state but pollinator weighting is fixed strong bird contribution in one evidence set versus season-dependent bird/bee weighting in the other; evidence designs differ"
within_colour_collision,Camellia_petelotii__Camellia_pubipetala,Y,1,1,1,"same broad yellow/golden state but pollinator evidence resolves different mixtures/strengths of sunbird and honeybee use; not a claim of different categorical syndrome"
claim_gate,visible_state_is_one_functional_state,ALL,3,3,0,"falsified as a deterministic mapping: at least one exact same-hue pair has directly conflicting pollination/thermal function"
claim_gate,latent_state_model_outperforms_visible_state,ALL,8,0,0,"not yet testable because biochemical/spectral axes have structured missingness and primary nuclear branch mapping is absent"
