metric,n,model,lnL,AICc,mu,sigma2,alpha,eb_rate,deltaAICc
bio1_median,33,OU_stationary,-69.692722,146.213031,18.551924,4.003121,40.562546,,0.000000
bio1_median,33,EB,-73.165285,153.158155,18.476632,0.240348,,4.999994,6.945125
bio1_median,33,BM,-82.484514,169.369028,18.450377,22.010459,,,23.155997
bio6_median,33,OU_stationary,-77.763635,162.354856,4.618169,6.521279,148.412589,,0.000000
bio6_median,33,EB,-89.532525,185.892636,4.567934,0.648098,,4.999995,23.537780
bio6_median,33,BM,-103.078457,210.556914,4.550476,76.679586,,,48.202058
bio6_q05,33,OU_stationary,-101.001606,208.830797,-4.521691,30.185727,6.932779,,0.000000
bio6_q05,33,EB,-102.012797,210.853180,-5.152730,1.380806,,4.999993,2.022383
bio6_q05,33,BM,-109.815217,224.030435,-5.541652,115.344582,,,15.199637
bio1_iqr,33,OU_stationary,-53.612059,114.051704,3.096215,1.508836,148.412163,,0.000000
bio1_iqr,33,EB,-56.129496,119.086578,3.124648,0.085594,,4.999997,5.034874
bio1_iqr,33,BM,-63.859241,132.118482,3.140151,7.118616,,,18.066777
