legacy_tip,accepted_species,source_authority,source_url,status
Camellia albosericea,Camellia reticulata,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:828540-1,synonym
Camellia apolyodonta,Camellia polyodonta,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1002142-1,synonym_via_var_longicaudata
Camellia azalea,Camellia azalea,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242309885,accepted
Camellia bailinshanica,Camellia reticulata,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:828540-1,synonym
Camellia bambusifolia,Camellia reticulata,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:828540-1,synonym
Camellia brevicolumna,Camellia reticulata,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:828540-1,synonym
Camellia brevipetiolata,Camellia reticulata,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:828540-1,synonym
Camellia jinshajiangica,Camellia reticulata,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:828540-1,synonym
Camellia liberistyloides,Camellia yunnanensis,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1008077-1,synonym_via_var_camellioides
Camellia longicaudata,Camellia polyodonta,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1002142-1,synonym_via_var_longicaudata
Camellia lungshenensis,Camellia pitardii,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1008081-1,synonym_via_var_cryptoneura
Camellia magniflora,Camellia pitardii,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77088764-1,synonym_via_var_compressa
Camellia oligophlebia,Camellia reticulata,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:828540-1,synonym
Camellia omeiensis,Camellia mairei,International Camellia Register,https://camellia.iflora.cn/Species/Detail?latin=Camellia+mairei,synonym
Camellia oviformis,Camellia polyodonta,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77228671-1,synonym
Camellia paucipetala,Camellia reticulata,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:828540-1,synonym
Camellia pentapetala,Camellia reticulata,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:828540-1,synonym
Camellia pitardii,Camellia pitardii,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:829958-1,accepted
Camellia reticulata,Camellia reticulata,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:828540-1,accepted
Camellia saluenensis,Camellia saluenensis,Flora of China,https://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242310213,accepted
Camellia stichoclada,Camellia reticulata,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:828540-1,synonym
Camellia subintegra,Camellia subintegra,Flora of China,https://www.iplant.cn/foc/pdf/Camellia.pdf,accepted
Camellia villosa,Camellia polyodonta,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77228671-1,synonym
Camellia yunnanensis,Camellia yunnanensis,POWO/WCVP,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1008077-1,accepted_species
