scope,metric,model,n_species,r2,adj_r2,global_p,aic,delta_aic
all_WAY,bio1_median,null,50,0,0,,215.062871,0
all_WAY,bio1_median,colour,50,0.0686335021,0.0290008852,0.188076433,215.50775,0.444879064
all_WAY,bio1_median,section,50,0.28030153,0.118369374,0.113628107,216.616723,1.55385269
all_WAY,bio1_median,section+colour,50,0.280625747,0.0961708106,0.168647144,218.594194,3.53132309
all_WAY,bio6_median,null,50,3.33066907e-16,3.33066907e-16,,248.946152,1.37566055
all_WAY,bio6_median,colour,50,0.101935342,0.0637198246,0.0799334826,247.570492,0
all_WAY,bio6_median,section,50,0.212094676,0.0348159776,0.324033604,255.027285,7.4567934
all_WAY,bio6_median,section+colour,50,0.212135005,0.0101183396,0.422158883,257.024726,9.45423405
all_WAY,bio6_q05,null,50,0,0,,306.745739,9.03774693
all_WAY,bio6_q05,colour,50,0.00693656249,-0.0353214561,0.849100939,310.397703,12.6897103
all_WAY,bio6_q05,section,50,0.417691521,0.286672113,0.00536190841,297.707992,0
all_WAY,bio6_q05,section+colour,50,0.422241986,0.274098905,0.00923811454,299.315731,1.607739
all_WAY,bio1_iqr,null,50,0,0,,161.586792,0
all_WAY,bio1_iqr,colour,50,0.0452380331,0.0046098643,0.336926443,163.272131,1.68533906
all_WAY,bio1_iqr,section,50,0.205476077,0.0267081947,0.352666247,168.086183,6.49939084
all_WAY,bio1_iqr,section+colour,50,0.210323799,0.00784272157,0.430627915,169.780178,8.19338553
AW_only,bio1_median,null,48,3.33066907e-16,3.33066907e-16,,204.147111,0
AW_only,bio1_median,colour,48,0.00165248938,-0.0200507174,0.7838336,206.067726,1.9206149
AW_only,bio1_median,section,48,0.233412039,0.0761632262,0.19442199,207.388431,3.24132015
AW_only,bio1_median,section+colour,48,0.233767031,0.0522908012,0.27510095,209.366198,5.21908713
AW_only,bio6_median,null,48,1.11022302e-16,1.11022302e-16,,234.366751,0
AW_only,bio6_median,colour,48,0.00772571655,-0.0138454635,0.55247112,235.994477,1.6277257
AW_only,bio6_median,section,48,0.134283484,-0.043299391,0.642469657,243.445258,9.0785069
AW_only,bio6_median,section+colour,48,0.134329817,-0.0706973317,0.742998411,245.442689,11.0759379
AW_only,bio6_q05,null,48,0,0,,293.319,12.0340829
AW_only,bio6_q05,colour,48,0.00332216163,-0.0183447479,0.697182414,295.159271,13.8743536
AW_only,bio6_q05,section,48,0.442360952,0.327973455,0.00195552856,281.284917,0
AW_only,bio6_q05,section+colour,48,0.447224754,0.316304301,0.00363924714,282.864418,1.57950113
AW_only,bio1_iqr,null,48,-2.22044605e-16,-2.22044605e-16,,153.488412,0
AW_only,bio1_iqr,colour,48,0.00513120658,-0.0164963759,0.628510402,155.24148,1.75306801
AW_only,bio1_iqr,section,48,0.178117048,0.00952567342,0.412536949,160.072862,6.58445016
AW_only,bio1_iqr,section+colour,48,0.183350432,-0.010066571,0.496549322,161.766242,8.27783033
