stage,target,target_label,n,mean_TPM,median_TPM,sd_TPM,mean_NumReads,workflow_run,artifact_id,artifact_digest
S1,GWHTFILD024733.1,CnFLS1_anchor,3,73.08447766666667,61.127089,62.65396228130506,57.0,31769531869,9207861088,sha256:041d08ac9327d05c14e6be17b0a450ec2dc9c522f10ffc1e98d793a457163891
S2,GWHTFILD024733.1,CnFLS1_anchor,3,96.98297266666667,83.738696,98.03441049575179,81.33333333333333,31769531869,9207861088,sha256:041d08ac9327d05c14e6be17b0a450ec2dc9c522f10ffc1e98d793a457163891
S3,GWHTFILD024733.1,CnFLS1_anchor,3,104.19826233333333,73.63525,120.08251434736064,76.0,31769531869,9207861088,sha256:041d08ac9327d05c14e6be17b0a450ec2dc9c522f10ffc1e98d793a457163891
S4,GWHTFILD024733.1,CnFLS1_anchor,3,79.01191133333333,106.787446,54.99655820459701,65.66666666666667,31769531869,9207861088,sha256:041d08ac9327d05c14e6be17b0a450ec2dc9c522f10ffc1e98d793a457163891
S5,GWHTFILD024733.1,CnFLS1_anchor,3,9.533808666666665,8.929571,2.237179520656385,58.333333333333336,31769531869,9207861088,sha256:041d08ac9327d05c14e6be17b0a450ec2dc9c522f10ffc1e98d793a457163891
S1,GWHTFILD005297.1,FLS_family_candidate_2,3,331.3276446666667,372.935839,179.27943723292395,277.1363333333333,31769531869,9207861088,sha256:041d08ac9327d05c14e6be17b0a450ec2dc9c522f10ffc1e98d793a457163891
S2,GWHTFILD005297.1,FLS_family_candidate_2,3,262.74804866666665,373.868204,199.77335607203267,251.33266666666665,31769531869,9207861088,sha256:041d08ac9327d05c14e6be17b0a450ec2dc9c522f10ffc1e98d793a457163891
S3,GWHTFILD005297.1,FLS_family_candidate_2,3,605.7174603333333,602.401174,140.29924702041862,513.0,31769531869,9207861088,sha256:041d08ac9327d05c14e6be17b0a450ec2dc9c522f10ffc1e98d793a457163891
S4,GWHTFILD005297.1,FLS_family_candidate_2,3,160.40461233333332,170.404496,19.489814662988266,141.0,31769531869,9207861088,sha256:041d08ac9327d05c14e6be17b0a450ec2dc9c522f10ffc1e98d793a457163891
S5,GWHTFILD005297.1,FLS_family_candidate_2,3,114.33381933333334,38.676451,134.84099266663316,347.6666666666667,31769531869,9207861088,sha256:041d08ac9327d05c14e6be17b0a450ec2dc9c522f10ffc1e98d793a457163891
S1,GWHTFILD024731.1,FLS_family_candidate_3,3,0.0,0.0,0.0,0.0,31769531869,9207861088,sha256:041d08ac9327d05c14e6be17b0a450ec2dc9c522f10ffc1e98d793a457163891
S2,GWHTFILD024731.1,FLS_family_candidate_3,3,1.2648103333333334,0.0,2.190715759271461,1.0,31769531869,9207861088,sha256:041d08ac9327d05c14e6be17b0a450ec2dc9c522f10ffc1e98d793a457163891
S3,GWHTFILD024731.1,FLS_family_candidate_3,3,0.0,0.0,0.0,0.0,31769531869,9207861088,sha256:041d08ac9327d05c14e6be17b0a450ec2dc9c522f10ffc1e98d793a457163891
S4,GWHTFILD024731.1,FLS_family_candidate_3,3,0.0,0.0,0.0,0.0,31769531869,9207861088,sha256:041d08ac9327d05c14e6be17b0a450ec2dc9c522f10ffc1e98d793a457163891
S5,GWHTFILD024731.1,FLS_family_candidate_3,3,16.929243666666665,20.15945,6.113002268971633,144.414,31769531869,9207861088,sha256:041d08ac9327d05c14e6be17b0a450ec2dc9c522f10ffc1e98d793a457163891
