target_id,dependence_cluster,taxon,accession,provider,current_run_manifest_status,analysis_role,axes_highest_information_gain,priority,notes
CF_CS_01,CSIN_WHITE_PINK,Camellia sinensis,PRJNA597123;PRJNA597289,NCBI_SRA,resolved_30_runs,primary_candidate_free_reanalysis,C;P,high,"Five matched developmental stages x three replicates for pink and white; A/F literature calls exist but all predefined modules must be quantified."
CF_CJ_01,CJAPONICA,Camellia japonica,PRJNA757193,NCBI_SRA,resolved_15_runs_12_colour_mapped,primary_candidate_free_reanalysis,F;C;P,high,"Bud-sport colour series; three control-colour samples remain explicitly unresolved and must not be guessed."
CF_CJ_02,CJAPONICA,Camellia japonica,PRJNA913600,NCBI_SRA,resolved_6_runs,within_genotype_validation,F;C;P,high,"Red/pink petal sectors within one cultivar; strongest within-genotype validation of module-state changes."
CF_CJ_03,CJAPONICA,Camellia japonica,CRA003840,GSA_CRA,provider_specific_not_run_admitted,secondary_series_validation,F;C;P,medium,"White-to-crimson cultivar series; useful after provider-specific run/sample admission."
CF_CR_01,CRETICULATA,Camellia reticulata,GSE236364,GEO,provider_specific_not_run_admitted,primary_within_genotype_reanalysis,F;C,high,"Red/white petal-region system already resolves A/P direction; candidate-free F/C quantification has high information gain."
CF_CR_02,CRETICULATA,Camellia reticulata,PRJCA012977,GSA_CRA,provider_specific_not_run_admitted,secondary_cultivar_series,F;C;P,medium,"Red/pink/white cultivar series; keep dependent with other C. reticulata evidence."
CF_CN_01,CNITIDISSIMA,Camellia nitidissima,SRP112181,NCBI_SRA,resolved_15_runs,primary_yellow_development_reanalysis,A;P,high,"Five developmental stages x three replicates; F/C evidence exists but all modules should be re-quantified uniformly."
CF_CN_02,CNITIDISSIMA,Camellia nitidissima,PRJNA909942,NCBI_SRA,not_yet_added_to_frozen_run_manifest,independent_dataset_same_cluster,C;A;P,high,"2024 developmental yellow dataset; same dependence cluster, useful for within-cluster replication and missing-axis rescue."
CF_CP_01,CPERPETUA,Camellia perpetua,PRJNA981682,NCBI_SRA,not_yet_added_to_frozen_run_manifest,primary_new_independent_cluster,A;C;P,highest,"Independent yellow developmental system; resolving three currently unknown axes has highest cluster-level information gain."
CF_EXT_01,MULTISPECIES_RYW,Camellia amplexicaulis|Camellia petelotii|Camellia oleifera,PRJNA1136134,NCBI_SRA,resolved_9_runs,external_holdout_not_micro_model_fit,A;F;C;P,high,"Red/yellow/white between-species dataset; reserve as an external candidate-free state-classification check rather than a micro-accessibility training edge."
