model_id,model,what_it_predicts,current_camellia_signal,screen_status,reason,decisive_next_test
HR1_DIRECT_ABIOTIC,"direct abiotic reactivation","cold/high-UV/drought/light shift directly selects pigment re-deployment","provenance-clean A-W thermal position and cold-tail are non-significant; external clades show possible abiotic floral-pigment selection",weakened_as_general_open_conditional,"Camellia genus-wide visible-hue climate mapping is weak, but mechanistic pigment axes and branch-specific UV events remain untested","validated branch-level climate/light event -> mechanistic pigment reactivation with fitness/persistence signal"
HR2_POLLINATOR,"pollinator reactivation","pollinator turnover selects renewed pigment/spectral deployment","same-red Camellia encode different bee/bird signals; yellow taxa show strong but heterogeneous bird/bee use",plausible_case_supported_not_reactivation_specific,"pollinator selection can distinguish latent states hidden by hue, but no Camellia reactivation branch is yet identified","map pollinator regime/spectral phenotype onto candidate retained-pathway regain branches"
HR3_CLIMATE_POLLINATOR,"climate-mediated pollinator reactivation","climate/season changes pollinator reliability and this selects pigment/spectral re-deployment","C. petelotii bee visits fall in cloudy/rainy weather; C. perpetua bird weighting and reproduction increase in winter; direct red/cold mapping is null",priority_conditional_candidate,"fits the observed failure of climate->hue while retaining an ecological route from climate to floral selection","compare climate->pollinator->latent-state versus climate->state and pollinator->state path/event models"
HR4_DUAL_FUNCTION,"dual-function reactivation","abiotic protection and pollinator signalling jointly favor the same pigment deployment","flavonoid accessibility is strong; external UV-pigment climate association and Camellia pollinator signal evidence exist, but no branch has both demonstrated",open,"biologically compatible with the data but currently underidentified","require candidate branch with validated abiotic shift + sensory/pollinator shift + mechanistic reactivation"
HR0_HISTORY_NEUTRAL,"historical/neutral recurrence","apparent regain follows ancestry, introgression, lineage sorting or drift without a new selective optimum","colour has very strong traditional-section structure; A is count-controlled concentrated in 2 sections; yellow is geographically constrained",strong_background_alternative,"history explains much of the macro distribution and must be beaten before adaptation is inferred","multiple nuclear trees + reticulation-aware histories + matched null branch-event analysis"
HR5_LINEAGE_PERMISSIVITY,"lineage-permissivity interaction","molecularly accessible pigment states persist only in compatible historical/genetic/ecological backgrounds","micro regulatory/flux recurrence 8/8 yet A state occupies 2 sections vs 6.59 expected under fixed-count shuffle P=0.00003",best_new_cross_scale_hypothesis,"directly explains high micro accessibility together with narrow macro persistence","test state gain/persistence hazard as accessibility x ancestral-lineage/background interaction on nuclear trees"
HR6_LATENT_TARGET,"latent biochemical/sensory selection target","selection acts on pigment chemistry/spectrum rather than W/A/Y hue","deterministic hue-to-function mapping is falsified; UV/carotenoid axes are presently sparse",best_new_measurement_hypothesis,"explains why visible colour predicts climate poorly while same hue differs in pollination function","expand reflectance/UV and pigment chemistry; compare latent-state versus hue predictive fit"
HR7_ECOLOGICAL_RECURRENCE,"ecological recurrence / molecular memory","regain restores a previously useful phenotype when an ancestral-like ecological regime returns","general pollinator-linked regain precedent exists outside Camellia; Camellia retains accessible pigment networks but lacks branch histories",open_exploratory,"distinguishes return to an old adaptive regime from evolution into a genuinely novel niche","compare post-regain ecological distance to pre-loss ancestral regime versus novel-niche distance"
HR8_TRAIT_FIRST_GENERAL,"general trait-first niche enabling","anthocyanin-like A deployment generally precedes or permits displacement into climatic conditions novel relative to lineage background","within the only two shared A/W traditional-section proxies, leave-one-out standardized climate displacement is not larger for A: core3 A mean=1.5238 vs W=1.8795, within-section permutation P=0.2873; provenance-clean core4 A=1.8151 vs W=2.0256, P=0.2693",not_supported_as_general_coarse_screen,"direction is opposite to a general A-enables-niche-novelty prediction and non-significant; only two shared sections make this a low-power history-proxy screen rather than a branch test","dated nuclear event histories; test transition-specific reactivation-first niche expansion rather than state-level displacement"
HR9_REPRODUCTIVE_NICHE,"reproductive/sensory niche turnover without major climatic displacement","pigment/spectral changes primarily reorganize pollinator-mediated reproductive niche while abiotic climatic position can remain conserved","genus-wide A-W thermal mapping is null and the shared-section displacement screen shows no excess A climate novelty, while same-red C. japonica/C. rusticana differ sharply in bird/bee sensory-pollination function",priority_new_ecological_hypothesis,"this explains why floral pigment evolution can be adaptive and diversification-relevant without being a general climatic-niche innovation","build pollinator/spectrum/phenology latent-state matrix on nuclear trees and compare branch coupling of pigment transitions with reproductive-niche shifts versus climatic-niche shifts"
