layer,item_id,statement,current_status,evidence_or_result,source_or_repo,implication,claim_ceiling
published_input,PUB_FAN2026,"Camellia visible-flower MRCA is reconstructed as white; flower-colour divergence involves TE/SV-linked regulatory rewiring and experimentally validated MYB60-associated anthocyanin suppression",published_result,"237 accessions / 129 species / 4,182,517 nuclear SNPs; regulatory mechanism demonstrated in source study",10.1111/pbi.70442,"provides a historical visible-state reference and a plausible regulatory route for suppression/reactivation","does not prove ancestral molecular latent state or branch-specific selection pressure"
published_input,PUB_IOCHROMA_REGAIN,"Floral anthocyanin can be regained after evolutionary loss while core pathway genes remain conserved",published_result,"Iochrominae studies report intact pathway coding regions through pigment losses and a candidate regain with renewed late-pathway expression",10.1186/s12862-016-0675-3;10.1093/molbev/msy117,"reactivation/redeployment after loss is biologically plausible without reconstructing the whole pathway","not evidence that Camellia has the same history or selection pressure"
published_input,PUB_PETUNIA_RESURRECTION,"A genuine floral-colour regain can be coupled to pollinator reversal",published_result,"Petunia secreta regained anthocyanin via a 2-bp reading-frame-restoring mutation in AN2 during reversal toward bee pollination",10.1016/j.cub.2018.10.019,"pollinator-mediated selection can select a regained pigment programme","not evidence that Camellia reactivation is pollinator driven"
published_input,PUB_CAMELLIA_SENSORY,"The same human-visible red state can encode different pollinator signals in Camellia",published_result,"C. rusticana is bee-associated with UV reflectance/fluorescence whereas C. japonica is bird-associated and relatively inconspicuous to bees",10.1016/j.phytochem.2022.113559,"selection target can be spectral/UV phenotype rather than hue category","one species pair does not establish genus-wide frequency"
published_input,PUB_PETELOTII,"Weather-dependent pollinator reliability and strong bird contribution occur in a yellow Camellia",published_result,"bird exclusion reduced fruit/seed set by 64%; honeybee visits declined in cloudy/rainy weather",10.3732/ajb.1600428,"climate/weather can alter the relative reliability of pollinator functional groups","not a historical reactivation test"
published_input,PUB_PERPETUA,"Pollinator weighting can shift seasonally within one golden Camellia species",published_result,"winter had higher bird visitation, fruit/seed set, nectar volume and sucrose ratio than summer",10.1016/j.flora.2025.152727,"supports climate/season -> pollinator-functional-environment coupling as a plausible selector","does not identify flower-colour evolution or reactivation"
published_input,PUB_UV_MACRO,"Floral UV pigmentation can covary with altitude, temperature and UV-B across a clade",published_result,"177 Potentilleae species; larger UV-absorbing areas at higher altitude/lower temperature/higher UV exposure",10.1111/nph.13921,"direct abiotic filtering of floral pigment is plausible in some clades","cannot be transferred as a universal Camellia mechanism"
published_input,PUB_MONKEYFLOWER_SCALE_BREAK,"Abiotic flower-colour associations can exist within species but disappear at macroevolutionary scale",published_result,"within-species anthocyanin-environment associations; no phylogenetically corrected joint evolution of flower colour and environment across two radiations",10.3389/fpls.2021.636133,"micro ecological response need not generate a macro trait-niche pattern","does not determine which filter acts in Camellia"
chun_preliminary_result,CHUN_MICRO_ACCESS,"Camellia pigment deployment is repeatedly accessible through regulatory/flux changes",supported_preliminary,"8/8 independence clusters show regulatory/flux evidence; 6/6 informative clusters show higher anthocyanin in the more-red state","data/camellia_flower_color_mechanism_meta_summary_v0_2.csv","variation generation is highly repeatable at the mechanistic scale","literature is selected/heterogeneous; not a natural transition-frequency estimate"
chun_preliminary_result,CHUN_COLD_NULL,"Human-visible anthocyanin-like A state does not generally occupy colder Camellia niches than W",not_supported_for_universal_cold_model,"provenance-clean A-W tests: BIO1 P=0.805; BIO6 median P=0.526; BIO6 q05 P=0.252; BIO1 IQR P=0.705","data/chun_hypothesis_status_v0_1.csv;data/camellia_provenance_clean_aw_thermal_tests_v0_1.csv","direct genus-wide climate selection on redness is insufficient","lineage-specific abiotic effects remain possible"
chun_preliminary_result,CHUN_STATE_ALIASING,"W/A/Y visible states are not deterministic ecological-functional states",supported_preliminary,"same-red C. japonica/C. rusticana differ in pollination/spectral function; same-yellow taxa differ in pollinator weighting; yellow biochemistry can mix flavonol and carotenoid axes","data/camellia_latent_state_seed_audit_v0_1.csv","selection-pressure tests should model latent biochemical/spectral states, not hue alone","latent-state superiority cannot yet be fitted because spectral/chemical data are sparse"
chun_preliminary_result,CHUN_A_SECTION_CONCENTRATION,"Anthocyanin-like A is far more section-concentrated than expected from its species count in the exact 50-species screen",supported_preliminary,"A: 14 species in 2 sections vs 6.59279 expected under 100000 label shuffles; breadth lower-tail P=0.00003; entropy lower-tail P<0.00001","data/camellia_visible_state_section_concentration_v0_1.csv","macro persistence/deployment of A is lineage-gated despite high micro accessibility","traditional sections are a history proxy and the 50-species niche subset is not the full nuclear phylogeny"
chun_preliminary_result,CHUN_W_BREADTH_CONTROL,"White is not unusually section-broad after controlling for its larger sample size in the exact 50-species screen",screening_result,"W: 34 species in 9 sections vs 9.12673 expected; breadth lower-tail P=0.651; entropy lower-tail P=0.413","data/camellia_visible_state_section_concentration_v0_1.csv","raw 9/10-section occupancy cannot by itself establish white as an evolutionary hub/reservoir","latent-white hypothesis still has molecular-retention support and needs branch transition tests"
chun_preliminary_result,CHUN_BOUNDARY_PROVENANCE,"Apparent extreme niche shifts can be created by a few occurrence-provenance errors",supported_case_level,"four shared extreme-coordinate records shifted Tuberculatae BIO6 q05 by ~15.5-16.8 C and generated a spurious section cold-tail signal","data/camellia_coldtail_provenance_sensitivity_v0_1.csv","environmental events must be validated before selection-pressure attribution","demonstrated for one candidate; prevalence genus-wide remains unknown"
chun_preliminary_result,CHUN_DATA_GAP,"Current ecological evidence is much denser for pollinator regime than for spectral/biochemical selection targets",supported_data_audit,"latent-state seed: pollinator 6/8 informative; anthocyanin 5/8; flavonol 4/8; UV/fluorescence 1/8; carotenoid 1/8","data/camellia_latent_state_seed_audit_v0_1.csv","next evidence gain should prioritize reflectance/UV and pigment chemistry rather than simply adding more climate points","8-taxon seed is a prioritization audit, not a genus-level parameter estimate"
chun_hypothesis,H_LINEAGE_PERMISSIVITY,"High molecular accessibility is filtered by lineage-specific permissivity, so easy pigment states become macro-persistent only in some historical/ecological backgrounds",new_primary_hypothesis,"generated by CHUN_MICRO_ACCESS + CHUN_A_SECTION_CONCENTRATION + strong full-table section-colour structure","data/camellia_visible_state_section_concentration_v0_1.csv;data/fan2026_section_colour_structure_v0_1.csv","predicts enrichment of A gains/persistence in specific nuclear-tree backgrounds after transition opportunity is controlled","requires primary nuclear stochastic histories; section is not a phylogeny"
chun_hypothesis,H_SELECTION_TARGET,"Selection acts more directly on biochemical/spectral latent phenotype than on human-visible W/A/Y hue",new_primary_hypothesis,"generated by CHUN_STATE_ALIASING and weak provenance-clean hue-climate prediction","data/camellia_latent_state_seed_v0_1.csv;data/camellia_visible_state_compression_models_v0_2_provenance_clean.csv","predicts latent pigment/spectral models outperform hue labels for pollinator/niche persistence","not testable at genus scale until UV/carotenoid/chemical gaps are reduced"
chun_hypothesis,H_REACT_ORDER,"Adaptive reactivation can be an enabler or a follower; the causal distinction is determined by event ordering",new_primary_hypothesis,"generated by strong molecular accessibility but null present-day A-W climate association","Issue #5 M11/M13","compare environment-first -> reactivation, reactivation-first -> niche expansion, pollinator-first -> reactivation and synchronous histories","no branch-specific Camellia reactivation has yet passed the historical/molecular gate"
chun_hypothesis,H_CLIMATE_POLLINATOR_MEDIATION,"Climate may select colour re-deployment indirectly by altering pollinator reliability/seasonality rather than by direct floral stress tolerance",new_conditional_hypothesis,"generated by genus-wide direct-cold null plus source-level C. petelotii weather response and C. perpetua seasonal pollinator shift","10.3732/ajb.1600428;10.1016/j.flora.2025.152727;Issue #5","predicts climate -> pollinator-regime -> latent spectral/pigment transition fits better than climate -> hue alone","currently plausible mechanism, not a Camellia macroevolutionary conclusion"
chun_hypothesis,H_ECOLOGICAL_RECURRENCE,"Some apparent reactivations restore a previously useful signal when an ancestral-like ecological/pollinator regime recurs rather than enabling a genuinely novel niche",new_exploratory_hypothesis,"generated by retained-pathway accessibility plus known pollinator-linked regain examples outside Camellia and state-function collisions within Camellia","data/camellia_latent_state_seed_audit_v0_1.csv;10.1016/j.cub.2018.10.019","compare ecological distance of post-reactivation regime to pre-loss ancestral regime versus genuinely novel occupied climates/pollinators","requires dated nuclear histories and reconstructed ecological regimes"
