taxon,colour_state,section,n_points,bio1_median,bio6_median,bio6_q05,bio1_iqr
Camellia brevistyla,A,sect. Paracamellia,80,18.850000000000023,2.650000000000034,-0.3149999999999435,2.4250000000000256
Camellia chekiangoleosa,A,Sect. Camellia;sect. Camellia,45,18.650000000000038,2.450000000000045,-2.529999999999984,1.6999999999999886
Camellia confusa,W,sect. Paracamellia,10,22.25000000000003,9.850000000000051,2.9100000000000508,3.825000000000003
Camellia cordifolia,W,sect. Eriandria,80,19.75000000000003,5.100000000000023,1.945000000000044,2.15000000000002
Camellia costei,W,sect. Theopsis,80,18.05000000000001,2.400000000000034,-0.1649999999999777,3.5
Camellia crapnelliana,W,sect. Furfuracea,37,20.350000000000023,5.250000000000057,1.5900000000000318,2.0
Camellia crassicolumna,W,sect. Thea,10,17.400000000000034,6.4500000000000455,-7.369999999999973,4.550000000000026
Camellia cuspidata,W,sect. Theopsis,80,17.600000000000023,1.650000000000034,-2.959999999999988,2.275000000000034
Camellia drupifera,W,sect. Paracamellia,44,21.850000000000023,9.30000000000004,2.345000000000024,2.299999999999997
Camellia edithae,A,sect. Camellia,25,20.850000000000023,5.750000000000057,-9.449999999999974,1.6000000000000227
Camellia euphlebia,Y,sect. Chrysantha,6,22.80000000000004,11.750000000000028,-7.074999999999989,0.625
Camellia fluviatilis,W,sect. Paracamellia,15,21.850000000000023,8.950000000000045,-1.609999999999956,3.200000000000017
Camellia formosensis,W,Sect. Thea,10,21.00000000000003,12.350000000000025,6.745000000000033,3.325000000000017
Camellia furfuracea,W,sect. Furfuracea,75,21.150000000000038,7.350000000000023,1.4000000000000117,2.9000000000000057
Camellia grijsii,W,sect. Paracamellia,58,16.900000000000034,1.650000000000034,-5.054999999999964,3.5250000000000057
Camellia hongkongensis,A,Sect. Camellia;sect. Camellia,14,21.950000000000045,8.900000000000034,-1.4249999999999767,2.149999999999963
Camellia japonica,A,Sect. Camellia;sect. Camellia,80,15.750000000000057,1.0000000000000284,-5.054999999999955,2.6999999999999886
Camellia kissi,W,sect. Paracamellia,65,19.950000000000045,5.750000000000057,-3.989999999999952,4.399999999999977
Camellia kissii,W,sect. Paracamellia,65,19.950000000000045,5.750000000000057,-3.989999999999952,4.399999999999977
Camellia kwangsiensis,W,sect. Thea,7,18.450000000000045,5.550000000000011,-8.089999999999975,1.75
Camellia lapidea,A,sect. Camellia,42,19.350000000000023,5.550000000000011,1.065000000000012,4.149999999999992
Camellia lawii,W,sect. Eriandria,12,16.700000000000017,2.30000000000004,-6.569999999999975,3.625000000000029
Camellia lucidissima,A,sect. Camellia,9,18.650000000000038,2.450000000000045,0.7500000000000342,0.6000000000000227
Camellia lutchuensis,W,sect. Theopsis,27,12.450000000000044,2.550000000000012,-1.8899999999999464,6.199999999999989
Camellia mairei,A,sect. Camellia,77,18.450000000000045,4.9500000000000455,-1.589999999999952,3.3999999999999773
Camellia meiocarpa,W,sect. Paracamellia,11,19.05000000000001,3.050000000000012,2.150000000000034,0.8499999999999943
Camellia nitidissima,Y,sect. Chrysantha,5,19.950000000000045,6.4500000000000455,5.470000000000039,2.800000000000012
Camellia obtusifolia,W,sect. Paracamellia,39,18.850000000000023,2.8500000000000227,0.0400000000000147,1.8999999999999773
Camellia octopetala,W,sect. Furfuracea,16,19.85000000000005,4.250000000000057,2.90000000000002,1.0500000000000256
Camellia oleifera,W,sect. Paracamellia,80,17.650000000000034,1.8000000000000398,-2.1499999999999773,3.225000000000037
Camellia parafurfuracea,W,sect. Furfuracea,6,20.450000000000017,8.250000000000028,4.550000000000026,2.77500000000002
Camellia polyodonta,A,sect. Camellia,52,18.850000000000023,4.900000000000034,1.105000000000024,2.550000000000012
Camellia reticulata,A,sect. Camellia,80,16.850000000000023,3.5000000000000284,-2.799999999999943,4.049999999999997
Camellia rhytidocarpa,W,sect. Tuberculatae,18,17.900000000000034,2.0000000000000284,-14.104999999999986,1.2000000000000028
Camellia salicifolia,W,sect. Eriandria,73,20.750000000000057,6.050000000000011,2.3100000000000365,2.1000000000000227
Camellia saluenensis,A,Sect. Camellia;sect. Camellia,72,16.150000000000034,2.8500000000000227,-7.78999999999996,3.3500000000000085
Camellia sasanqua,W,sect. Paracamellia,80,16.950000000000045,3.400000000000034,-1.5749999999999544,2.82499999999996
Camellia semiserrata,A,Sect. Camellia;sect. Camellia,41,21.750000000000057,8.250000000000057,0.4500000000000455,2.3999999999999773
Camellia shensiensis,W,sect. Paracamellia,12,16.200000000000045,0.5500000000000114,-3.739999999999972,2.52500000000002
Camellia sinensis,W,sect. Thea,80,17.650000000000034,2.700000000000045,-1.6749999999999772,3.424999999999983
Camellia subintegra,A,sect. Camellia,7,18.750000000000057,2.3500000000000227,-13.649999999999988,5.900000000000006
Camellia szechuanensis,W,sect. Pseudocamellia,8,17.350000000000023,3.0000000000000284,-8.049999999999988,2.624999999999986
Camellia tachangensis,W,sect. Thea,10,16.30000000000001,2.7500000000000284,-7.144999999999973,4.849999999999994
Camellia taliensis,W,sect. Thea,15,18.05000000000001,5.650000000000034,-4.759999999999955,3.549999999999983
Camellia tsaii,W,sect. Theopsis,21,17.750000000000057,6.350000000000023,-10.849999999999966,4.199999999999989
Camellia tsofui,W,sect. Theopsis,13,18.05000000000001,2.450000000000045,-1.6899999999999635,3.400000000000034
Camellia tuberculata,W,sect. Tuberculatae,12,17.150000000000034,3.3500000000000227,-16.414999999999985,3.400000000000034
Camellia tunganica,W,sect. Camellia,5,17.850000000000023,1.650000000000034,0.6500000000000113,3.3999999999999773
Camellia vietnamensis,W,sect. Paracamellia,31,22.250000000000057,9.950000000000044,5.500000000000028,1.4000000000000057
