system,layer,endpoint,phenotype_dimension,evidence_status,prospective_status,observation_regime,key_result,source_file,claim_boundary
HYDRANGEA_CORNIDIA,macro,universal_direction,coarse_colour_direction,NO_STRONG_DIRECTION_SUPPORT,RETROSPECTIVE,source_to_tree_Mk,"Point estimates lean coloured->white but strong common-direction gate fails",data/cross_radiation_state_granularity_v0_3.json,"No universal direction inferred"
LINOIDEAE,macro,universal_direction,coarse_colour_direction,NO_STRONG_DIRECTION_SUPPORT,RETROSPECTIVE,source_to_tree_Mk,"No source-independent strong direction promoted",data/cross_radiation_state_granularity_v0_3.json,"No universal direction inferred"
ANGRAECINAE,macro,universal_direction,coarse_colour_direction,NO_STRONG_DIRECTION_SUPPORT,RETROSPECTIVE,source_to_tree_Mk,"Robust white ancestry coexists with failed direction gate",data/cross_radiation_state_granularity_v0_3.json,"Ancestry is not direction"
LINOIDEAE,macro,fine_state_organization,hue,SUPPORT,RETROSPECTIVE,conditional_phylogenetic_organization,"Fine hue organization remains after conditioning on white/nonwhite",data/cross_radiation_state_granularity_v0_3.json,"Organization statistic is not an event count"
ANGRAECINAE,macro,fine_state_organization,floral_organ_configuration,SUPPORT,RETROSPECTIVE,conditional_phylogenetic_organization,"Four-organ configuration remains organized after conditioning on coarse green/white",data/cross_radiation_state_granularity_v0_3.json,"Organization statistic is not an event count"
ANTIRRHINEAE,macro,fine_state_organization,pigment_class,SUPPORT,RETROSPECTIVE,conditional_phylogenetic_organization,"Anthocyanin versus yellow identity remains organized after conditioning on pigment presence",data/cross_radiation_state_granularity_v0_3.json,"Organization statistic is not an event count"
LINOIDEAE,macro,privileged_coarse_boundary,white_vs_nonwhite,NOT_ENRICHED,RETROSPECTIVE,exhaustive_bipartition_control,"Preselected biological partition not enriched among all bipartitions",data/cross_radiation_state_granularity_v0_3.json,"Does not negate fine-state organization"
ANGRAECINAE,macro,privileged_coarse_boundary,green_vs_white,INTERMEDIATE,RETROSPECTIVE,exhaustive_bipartition_control,"Biological partition has intermediate specificity",data/cross_radiation_state_granularity_v0_3.json,"No shared privileged coarse boundary"
ANTIRRHINEAE,macro,privileged_coarse_boundary,pigment_presence,NOT_ENRICHED,RETROSPECTIVE,exhaustive_bipartition_control,"Preselected biological partition not enriched among all bipartitions",data/cross_radiation_state_granularity_v0_3.json,"Does not negate fine-state organization"
IOCHROMINAE,molecular,phenotype_axis_localization,hue,SUPPORT_BRANCHING,RETROSPECTIVE,comparative_expression_plus_pigment,"Anthocyanidin hue maps to branching-enzyme subspace",data/iochrominae_cross_level_bridge_summary_v0_1.json,"No universal gene mapping"
CAPE_ERICA,molecular,phenotype_axis_localization,hue,SUPPORT_BRANCHING,RETROSPECTIVE,mechanism_table,"Yellow/hue branch concentrates on F3_PRIME_H (2/2)",data/erica_phenotype_axis_molecular_bridge_summary_v0_1.json,"Descriptive same-radiation mapping; no event-rate denominator"
PETUNIEAE,molecular,phenotype_axis_localization,hue,SUPPORT_BRANCHING,PROSPECTIVE,PGLS_AICc_pre_frozen,"BRANCHING_HUE best; best-vs-next AICc margin 11.60282936 across 53 anthocyanin-positive taxa",data/petunieae_prospective_cross_level_v0_1.json,"Prospective hue component PASS; full two-axis gate remains MIXED"
IOCHROMINAE,molecular,phenotype_axis_localization,pigment_amount_or_depletion,SUPPORT_FIXED_OUTPUT_SUBSPACE,RETROSPECTIVE,comparative_expression_plus_pigment,"Pigment presence/intensity maps to late-pathway coexpression module",data/iochrominae_cross_level_bridge_summary_v0_1.json,"One-radiation mapping only"
CAPE_ERICA,molecular,phenotype_axis_localization,pigment_amount_or_depletion,HETEROGENEOUS_SUBSPACES,RETROSPECTIVE,mechanism_table,"White/pigment depletion disperses across ANS DFR UDP_GST and bHLH",data/erica_phenotype_axis_molecular_bridge_summary_v0_1.json,"No single depletion subspace inferred"
PETUNIEAE,molecular,phenotype_axis_localization,pigment_amount_or_depletion,PRIMARY_FAIL_FIXED_OUTPUT_SUBSPACE,PROSPECTIVE,PGLS_AICc_pre_frozen,"Raw amount primary: BRANCHING_HUE best by 0.444 AICc over LATE_OUTPUT and does not beat null; log-amount sensitivity favors LATE_OUTPUT but cannot upgrade gate",data/petunieae_prospective_cross_level_v0_1.json,"Response-definition sensitivity retained explicitly"
EPIMEDIUM_SECT_DIPHYLLON,molecular,endpoint_implementation,shared_unpigmented_endpoint,COMPLEMENTARY_HETEROGENEOUS_IMPLEMENTATION,RETROSPECTIVE,candidate_panel_plus_HPLC,"Same source endpoint retains recurrent ANS core but heterogeneous DFR/CHS implementation",data/epimedium_cross_level_endpoint_bridge_summary_v0_1.json,"Different bridge definition; not pooled with phenotype-axis localization"
