result_id,layer,status,manuscript_role,claim,value_summary,source_refs,supersedes,claim_boundary
M01_FLS_SAME_LINEAGE,micro,authoritative,supplement,"FLS recurrence includes a resolved same-paralog lineage across independent micro evidence clusters.","CnFLS2-like / CSA008358 lineage; full-length sequence, protein tree and local context support same-lineage recurrence.","docs/CNFLS2_FULL_LENGTH_RECOVERY_RESULT.md;docs/ORTHOLOGY_RESOLUTION_PRE_MACRO_GATE.md","","Micro feasibility evidence only; not the primary recurrence estimator and not a macro branch claim."
M02_DFR_PARALOG_SUBSTITUTION,micro,authoritative,supplement,"The same DFR module can be implemented by different paralog subclasses in independent evidence clusters.","C. japonica CjDFR is CsDFRa-like whereas tea CSA003949 is CsDFRb2.","docs/CJDFR_SEQUENCE_ANCHOR_RESULT.md;docs/ORTHOLOGY_RESOLUTION_PRE_MACRO_GATE.md","","Supports implementation flexibility; does not establish whole-state recurrence."
M03_ANS_COPY_DIRECTION_HETEROGENEITY,micro,authoritative,supplement,"ANS/LDOX reference-mapped copies show copy-specific directional deployment.","Canonical-like and divergent ANS-family copies move in opposite red/white directions in the recovered C. reticulata contrast.","docs/ANS_LDOX_CONSERVATIVE_RESOLUTION_RESULT.md;PR#21","","Reference-lineage/copy result; species-native exact-node recurrence remains unresolved."
M04_ANR_COPY_DIRECTION_HETEROGENEITY,micro,authoritative,supplement,"ANR-family copies show directional heterogeneity rather than one gene-symbol sign.","Source anchor is closest to LOC114259095 while other mapped copies show both red- and white-directed effects.","docs/ANR_CONSERVATIVE_RESOLUTION_RESULT.md;PR#22","","Copy-aware family result; strict species-native exact-node recurrence remains unresolved."
M05_ANTHOCYANIN_OBSERVATION_REGIME,molecular_observation,authoritative,main,"Standardized pathway-wide remeasurement removes literature-permitted complete A/F/C/P recurrence across three independent anthocyanin-gain clusters.","Literature exact-signature recurrence 0.333–1.0 and pairwise concordance 0.25–1.0; candidate-free exact signature=0.333, pairwise=0.333–0.5; width 0.75->0.1667; literature/candidate-free direct agreement 2/5.","docs/CANDIDATE_FREE_ACTUAL_RECURRENCE_RESULT_V0_1.md;run32929846096","M01_FLS_SAME_LINEAGE;M02_DFR_PARALOG_SUBSTITUTION","Whole-package pathway-state recurrence, not exact-gene reuse; CJAPONICA A is near-flat and must not be described as a strong reversal."
M06_YELLOW_MODULAR_RECURRENCE,molecular_observation,authoritative,main,"Standardized yellow-development remeasurement rejects exact whole A/F/C/P signature recurrence while retaining strong modular reuse.","CN=A-/F+/C+/P-; CP=A-/F-/C+/P-; 3/4 axes match. Literature pairwise concordance 0.25–1.0; candidate-free=0.75 exactly; width 0.75->0; direct literature/candidate-free agreement 4/5.","docs/YELLOW_TWO_CLUSTER_RECURRENCE_RESULT_V0_1.md;docs/YELLOW_TWO_CLUSTER_RECURRENCE_GATE_V0_1.md;run32929846096","","Pre-outcome branch is axis-specific reuse, not no recurrence and not full whole-signature recurrence."
E01_UNIVERSAL_COLD_CHAIN_NOT_SUPPORTED,ecology,authoritative,supplement,"Current public data do not support a universal visible A/W to colder thermal niche chain.","Within-section different-colour climate distance was not greater than same-colour distance; one-sided P=0.92889 and two-sided P=0.18486.","docs/WITHIN_SECTION_COLOUR_CLIMATE_COUPLING_RESULT.md;PR#35","","Does not reject rare branch-specific abiotic effects or flowering-window effects."
E02_VISIBLE_HUE_POLLINATOR_ALIASING,ecology,authoritative,supplement,"Coarse visible hue is not a deterministic reproductive-function state.","Primary pollination evidence contains different functional regimes within the same visible state; hue-function association is not supported in the small current seed.","docs/POLLINATION_FUNCTION_META_V0_2_RESULTS.md;PR#39","","Small literature-ascertained seed; ecological context for persistence only."
T01_WFO_ACCEPTED_TAXONOMY,trait_audit,authoritative,main,"Legacy nuclear tips must be collapsed to a versioned accepted-species taxonomy before macro trait inference.","93 legacy Camellia tips map to 55 WFO Plant List 2026-06 accepted Camellia species; 20 accepted groups contain multiple legacy tips.","PR#46;run32439843289","","Taxonomy normalization only; no trait or ecological inference."
T02_WILD_COLOUR_AUDIT,trait_audit,authoritative,main,"Species-level hard labels substantially overstate usable wild-colour information.","35 provisional hard states become strict 24 species (A=1,W=19,Y=4) and dominant-sensitivity 30 species (A=4,W=22,Y=4); 11 provisional hard labels are demoted in strict analysis.","PR#51;run32552102861;data/wfo55_accepted_species_wild_colour_registry_v0_1.csv","","Strict seed excludes polymorphic, dominant-only and exact-colour-insufficient species; dominant seed is sensitivity only."
P01_NUCLEAR_TOPOLOGY_CONCORDANCE,phylogeny,authoritative,main,"Accepted-species nuclear topology is highly concordant between FastTree and IQ-TREE/UFBoot gene-tree ensembles.","On 53 shared accepted species, 46/50 nontrivial splits are shared; normalized RF=0.08.","PR#56;run32552618223","","Four nontrivial splits differ; downstream trait patterns are checked on both topologies."
P02_LOCAL_COLOUR_CONSERV_FASTTREE,macro_pattern,sensitivity,main,"Local nearest-same-colour phylogenetic conservatism is present on the FastTree/ASTRAL accepted-species topology.","Strict nearest-same-state P=0.00212; dominant nearest-same-state P<1e-5.","PR#55;run32552524470","","FastTree topology sensitivity; not sufficient alone for headline inference."
P03_LOCAL_COLOUR_CONSERV_UFBOOT,macro_pattern,authoritative,main,"Local nearest-same-colour phylogenetic conservatism survives the stronger IQ-TREE/UFBoot accepted-species topology.","Strict nearest-same-state P=0.00116; dominant nearest-same-state P=0.0000800.","PR#58;run32552883081","","Root-independent local pattern only; no transition direction or causal mechanism."
P04_GLOBAL_MPD_TOPOLOGY_SENSITIVE,macro_pattern,authoritative,supplement,"Broad same-colour clade compression is topology-sensitive and is not retained as a core claim.","Global same-state MPD is significant on FastTree/WFO55 but not on UFBoot/WFO53 (strict P=0.1724; dominant P=0.1327 on UFBoot).","PR#55;PR#58","S02_LEGACY_GLOBAL_MPD_HEADLINE","Negative robustness result; local nearest-neighbour conservatism remains."
P05_A_SPECIFIC_PERMISSIVITY_NOT_STRICT,macro_pattern,authoritative,supplement,"A-specific lineage permissivity is not a strict accepted-species result.","A is a singleton in the strict wild-colour seed; A clustering is estimable only in dominant-colour sensitivity.","PR#51;PR#55;PR#58","S01_LEGACY_A_SPECIFIC_PERMISSIVITY","Do not headline A-specific lineage clustering."
H01_ACCEPTED_ROOT_W_FAVOURED_WITH_UNCERTAINTY,trait_history,sensitivity,supplement,"Accepted-species rooted colour histories favour W but retain W/Y uncertainty.","Strict and dominant scenarios rank W highest across treatments; Fitch root set is W/Y and topology-only fits retain substantial Y probability.","PR#53;run32552321691","S03_LEGACY_DEFINITIVE_W_ROOT","Sensitivity/background result only; not a novel or definitive ancestral-colour claim."
B01_NO_ROBUST_ACCEPTED_BRANCH_EVENTS,identifiability,authoritative,main,"Current public hard-state colour data do not identify a specific accepted-species transition branch robust to wild-colour assumptions.","Strict scenario has 0 strong robust transitions; dominant scenario has 1 W->A; strict x dominant cross-scenario accepted robust transitions=0.","PR#53;run32552321691","S04_LEGACY_THREE_WA_BRANCHES","Public-data boundary for branch-specific climate, pollination and micro-to-macro causal tests."
C01_CROSS_SCALE_MISMATCH,integrated,authoritative,supplement,"Molecular implementation flexibility coexists with macroevolutionary local colour conservatism.","Sequence-aware micro synthesis shows same-lineage recurrence plus paralog substitution, while accepted wild-colour data retain local same-colour phylogenetic conservatism.","M01_FLS_SAME_LINEAGE;M02_DFR_PARALOG_SUBSTITUTION;P03_LOCAL_COLOUR_CONSERV_UFBOOT","","Still valid background, but superseded as the primary molecular framing by C03."
C02_PUBLIC_DATA_IDENTIFIABILITY_BOUNDARY,integrated,authoritative,main,"Pattern-level persistence is identifiable from public data, but event-level ecological causation is not.","Local colour conservatism is robust, whereas strict x dominant accepted-species branch transitions yield 0 shared robust events.","P03_LOCAL_COLOUR_CONSERV_UFBOOT;B01_NO_ROBUST_ACCEPTED_BRANCH_EVENTS;docs/MACRO_PAPER_PUBLIC_DATA_BOUNDARY.md","","Defines the stop rule and empirical handoff; not itself a causal result."
C03_WHOLE_PACKAGE_VS_MODULAR_RECURRENCE,integrated,authoritative,main,"Repeated flower-colour change does not imply recurrence of one invariant whole pigment-state package; modular reuse is transition-class dependent.","Anthocyanin candidate-free exact signature=1/3 with pairwise 0.333–0.5; yellow exact signature=0.5 with pairwise=0.75. Complete whole-package recurrence is removed from the admissible set in both classes.","M05_ANTHOCYANIN_OBSERVATION_REGIME;M06_YELLOW_MODULAR_RECURRENCE;run32929846096","C01_CROSS_SCALE_MISMATCH","Does not imply no recurrence: yellow retains A/C/P reuse and anthocyanin systems remain heterogeneous."
S01_LEGACY_A_SPECIFIC_PERMISSIVITY,legacy,superseded,exclude,"Legacy analyses suggested A-specific lineage concentration/permissivity.","Traditional-section and legacy-tip results were weakened by accepted taxonomy, wild-colour auditing and UFBoot topology sensitivity.","PR#35;PR#40","","Historical/supplementary provenance only."
S02_LEGACY_GLOBAL_MPD_HEADLINE,legacy,superseded,exclude,"Legacy/FastTree analyses suggested broad global same-colour MPD clustering as a headline.","The global MPD signal does not reproduce on the UFBoot accepted-species topology.","PR#40;PR#55","","Do not use as a headline result."
S03_LEGACY_DEFINITIVE_W_ROOT,legacy,superseded,exclude,"Legacy-tip reconstruction strongly favoured a white Camellia crown ancestor.","Accepted-species wild-colour reconstruction retains meaningful W/Y uncertainty and Fan et al. 2026 already addresses ancestral colour.","PR#43;PR#53","","Do not claim a definitive or novel white ancestor."
S04_LEGACY_THREE_WA_BRANCHES,legacy,superseded,exclude,"Legacy 93-tip analysis produced three robust W->A branch endpoints.","All three fail wild-colour/taxonomy sensitivity; accepted-species strict x dominant analysis retains zero shared robust branches.","PR#44;PR#45;PR#53","","Must not enter climate, pollination or molecular branch-causation tests."
