clade_id,registry_scope,coverage_class,in_current_mechanistic_benchmark,in_M1_matched_axis,exclusion_or_role_basis,preexisting_registry_evidence,source_or_note
CAMELLIA,V0_5_REGISTRY,BENCHMARK_ELIGIBLE_INCLUDED,YES,NO,Direct same-system mechanistic recurrence case,"candidate-free A/F/C/P same-system remeasurement; modular recurrence",internal Paper 1 science v0.2.2
EPIMEDIUM_DIPHYLLON,V0_5_REGISTRY,BENCHMARK_ELIGIBLE_INCLUDED,YES,NO,Direct common-panel endpoint recurrence case,"8-species common 12-gene panel + HPLC; core recurrence with copy-level heterogeneity",10.3389/fpls.2023.1133616
PETUNIA_LONG_TUBE_CLADE,V0_5_REGISTRY,BENCHMARK_ELIGIBLE_INCLUDED,YES,NO,Direct robust regain mechanisms,"P. secreta AN2 reading-frame resurrection; P. exserta DPL recruitment + hydroxylation/acylation reprogramming",10.1093/plcell/koab114
ERICA_CAPE,V0_5_REGISTRY,BENCHMARK_ELIGIBLE_INCLUDED,YES,YES,Common molecular panel plus metabolite mechanism across derived comparison sets,"shared RT-qPCR ABP panel + UPLC-MS/MS; multiple distinct gene/regulatory/flux mechanisms",10.3389/fpls.2019.01565
AQUILEGIA,V0_5_REGISTRY,BENCHMARK_ELIGIBLE_INCLUDED,YES,NO,Repeated anthocyanin-loss molecular comparison,"repeated late-pathway downregulation across losses",10.1111/j.1365-294X.2006.03114.x
IOCHROMINAE,V0_5_REGISTRY,BENCHMARK_ELIGIBLE_INCLUDED,YES,YES,Robust independent losses plus common pathway expression,"pathway-level convergent expression loss; specific R3-MYB and hydroxylase mechanisms known",10.1093/molbev/msy117
IPOMOEA_ASTRIPOMOEINAE,V0_5_REGISTRY,BENCHMARK_ELIGIBLE_INCLUDED,YES,NO,Robust independent red origins plus repeated functional regulatory target,"same F3H-prime regulatory target repeatedly implicated in three independent red origins",10.1111/j.1469-8137.2009.02929.x
ANTIRRHINEAE,V0_5_REGISTRY,EXCLUDED_DEPENDENCE_COLLAPSE,NO,NO,Strict independent-system gate failed,"direct raw colour RNA-seq concentrated in A. majus Rosea/Eluta architecture; strict independent-system gate failed",10.1093/aob/mcw043
HYDRANGEA_CORNIDIA,V0_5_REGISTRY,EXCLUDED_INSUFFICIENT_MATCHED_MOLECULAR_LAYER,NO,NO,Wild-section molecular layer weak and cultivar-biased,"flower-colour molecular layer currently weak / cultivar-biased",10.3389/fpls.2021.661522
LINOIDEAE,V0_5_REGISTRY,EXCLUDED_INSUFFICIENT_MATCHED_MOLECULAR_LAYER,NO,NO,Cross-species wild floral mechanism not harmonized,"colour molecular resources uneven and mostly crop-focused",10.3390/plants11121579
POLYGONATUM_VERTICILLATA,V0_5_REGISTRY,EXCLUDED_INSUFFICIENT_MATCHED_MOLECULAR_LAYER,NO,NO,No direct pigment-network mechanism,"plastome colour-phenotype data only; direct pigment-network mechanism not established",10.1186/s12870-025-07147-9
ANGRAECINAE,V0_5_REGISTRY,EXCLUDED_INSUFFICIENT_MATCHED_MOLECULAR_LAYER,NO,NO,Molecular pigment layer weak,"molecular pigment layer weak",10.1371/journal.pone.0163194
SILENE_PHYSOLYCHNIS,V0_5_REGISTRY,EXCLUDED_INSUFFICIENT_MATCHED_MOLECULAR_LAYER,NO,NO,Matched mechanisms across independent gains sparse,"matched molecular evidence for independent red gains remains sparse",10.3389/fpls.2022.945806
EUONYMUS,V0_5_REGISTRY,EXCLUDED_INSUFFICIENT_MATCHED_MOLECULAR_LAYER,NO,NO,Strong ecology but weak pigment mechanism,"floral pigment molecular layer weak",10.1093/aob/mcad122
NICOTIANA,V0_5_REGISTRY,EXCLUDED_NETWORK_CONFOUNDED_EVENT_COMPARISON,NO,NO,Reticulation/hybridization prevents clean event-level recurrence denominator,"several genomes/transcriptomes but event comparison complicated by reticulation",10.1093/aob/mcv048
LINANTHUS,V0_5_REGISTRY,EXCLUDED_INSUFFICIENT_MATCHED_MOLECULAR_LAYER,NO,NO,Molecular basis of polymorphism unresolved,"molecular basis of white/pigmented polymorphism not yet established",10.1002/ajb2.70005
ACER,V0_5_REGISTRY,EXCLUDED_INSUFFICIENT_MATCHED_MOLECULAR_LAYER,NO,NO,Comparative genetic-context prior art but no matched modern mechanistic recurrence panel,"comparative pigment-context evidence rather than modern omics",10.1046/j.1420-9101.2002.00399.x
DALECHAMPIA,V0_5_REGISTRY,EXCLUDED_INSUFFICIENT_MATCHED_MOLECULAR_LAYER,NO,NO,Comparative pleiotropy prior art but no matched modern mechanistic recurrence panel,"comparative pigment-context evidence rather than modern omics",10.1046/j.1420-9101.2002.00399.x
PETUNIEAE,POST_V0_5_PROSPECTIVE_ADDITION,POST_REGISTRY_PROSPECTIVE_INCLUDED,NO,YES,Later prospectively frozen matched phenotype-axis test,"59-taxon amount frame; 53-taxon hue frame; pre-frozen PGLS/AICc gate",10.1098/rspb.2023.0275
