query_id,scope,concept,openalex_query,crossref_query,pubmed_query
DBQ01,core_colour,General Camellia flower color literature,Camellia flower color,Camellia flower color,"Camellia[Title/Abstract] AND (flower[Title/Abstract] OR petal[Title/Abstract]) AND (color[Title/Abstract] OR colour[Title/Abstract] OR coloration[Title/Abstract])"
DBQ02,core_colour,UK spelling sensitivity,Camellia flower colour,Camellia flower colour,"Camellia[Title/Abstract] AND (flower[Title/Abstract] OR petal[Title/Abstract]) AND colour[Title/Abstract]"
DBQ03,core_colour,Coloration terminology sensitivity,Camellia flower coloration,Camellia flower coloration,"Camellia[Title/Abstract] AND (flower[Title/Abstract] OR petal[Title/Abstract]) AND coloration[Title/Abstract]"
DBQ04,molecular,Pigment-network molecular studies,Camellia petal anthocyanin flavonol carotenoid,Camellia petal anthocyanin flavonol carotenoid,"Camellia[Title/Abstract] AND (flower[Title/Abstract] OR petal[Title/Abstract]) AND (anthocyanin[Title/Abstract] OR flavonol[Title/Abstract] OR carotenoid[Title/Abstract])"
DBQ05,yellow,Yellow or golden Camellia mechanisms,Camellia yellow flower flavonol carotenoid,Camellia yellow flower flavonol carotenoid,"Camellia[Title/Abstract] AND (yellow[Title/Abstract] OR golden[Title/Abstract]) AND (flower[Title/Abstract] OR petal[Title/Abstract])"
DBQ06,omics,Flower-color omics,Camellia flower transcriptome metabolome,Camellia flower transcriptome metabolome,"Camellia[Title/Abstract] AND (flower[Title/Abstract] OR petal[Title/Abstract]) AND (transcriptome[Title/Abstract] OR transcriptomic[Title/Abstract] OR metabolome[Title/Abstract] OR metabolomic[Title/Abstract] OR RNA-seq[Title/Abstract])"
DBQ07,ecology,Pollination and flower ecology,Camellia pollination flower,Camellia pollination flower,"Camellia[Title/Abstract] AND (pollination[Title/Abstract] OR pollinator[Title/Abstract] OR pollinators[Title/Abstract])"
DBQ08,historical,Historical golden-Camellia pigment chemistry,Camellia chrysantha pigment flavonoid,Camellia chrysantha pigment flavonoid,"(Camellia chrysantha[Title/Abstract] OR Camellia nitidissima[Title/Abstract]) AND (pigment[Title/Abstract] OR flavonoid[Title/Abstract] OR flavonol[Title/Abstract])"
DBQ09,species,Camellia japonica flower-color mechanisms,Camellia japonica flower color anthocyanin,Camellia japonica flower color anthocyanin,"Camellia japonica[Title/Abstract] AND (flower[Title/Abstract] OR petal[Title/Abstract]) AND (color[Title/Abstract] OR colour[Title/Abstract] OR anthocyanin[Title/Abstract])"
DBQ10,species,Camellia reticulata flower-color mechanisms,Camellia reticulata flower color anthocyanin,Camellia reticulata flower color anthocyanin,"Camellia reticulata[Title/Abstract] AND (flower[Title/Abstract] OR petal[Title/Abstract]) AND (color[Title/Abstract] OR colour[Title/Abstract] OR anthocyanin[Title/Abstract])"
DBQ11,species,Camellia sasanqua flower-color mechanisms,Camellia sasanqua flower color anthocyanin,Camellia sasanqua flower color anthocyanin,"Camellia sasanqua[Title/Abstract] AND (flower[Title/Abstract] OR petal[Title/Abstract]) AND (color[Title/Abstract] OR colour[Title/Abstract] OR anthocyanin[Title/Abstract])"
DBQ12,species,Camellia oleifera flower-color mechanisms,Camellia oleifera flower color anthocyanin,Camellia oleifera flower color anthocyanin,"Camellia oleifera[Title/Abstract] AND (flower[Title/Abstract] OR petal[Title/Abstract]) AND (color[Title/Abstract] OR colour[Title/Abstract] OR anthocyanin[Title/Abstract])"
