result_id,layer,status,manuscript_role,claim,value_summary,source_refs,supersedes,claim_boundary
M01_FLS_SAME_LINEAGE,micro,authoritative,main,"FLS recurrence includes a resolved same-paralog lineage across independent micro evidence clusters.","CnFLS2-like / CSA008358 lineage; full-length sequence, protein tree and local context support same-lineage recurrence.","docs/CNFLS2_FULL_LENGTH_RECOVERY_RESULT.md;docs/ORTHOLOGY_RESOLUTION_PRE_MACRO_GATE.md","","Micro accessibility only; does not establish repeated deployment on macro colour-transition branches."
M02_DFR_PARALOG_SUBSTITUTION,micro,authoritative,main,"The same DFR module is implemented by different paralog subclasses in independent evidence clusters.","C. japonica CjDFR is CsDFRa-like whereas tea CSA003949 is CsDFRb2.","docs/CJDFR_SEQUENCE_ANCHOR_RESULT.md;docs/ORTHOLOGY_RESOLUTION_PRE_MACRO_GATE.md","","Module-level recurrence with paralog substitution; no strict same-node macro recurrence claim."
M03_ANS_COPY_DIRECTION_HETEROGENEITY,micro,authoritative,supplement,"ANS/LDOX reference-mapped copies show copy-specific directional deployment.","Canonical-like and divergent ANS-family copies move in opposite red/white directions in the recovered C. reticulata contrast.","docs/ANS_LDOX_CONSERVATIVE_RESOLUTION_RESULT.md;PR#21","","Reference-lineage/copy result; species-native exact-node recurrence remains unresolved."
M04_ANR_COPY_DIRECTION_HETEROGENEITY,micro,authoritative,supplement,"ANR-family copies show directional heterogeneity rather than one gene-symbol sign.","Source anchor is closest to LOC114259095 while other mapped copies show both red- and white-directed effects.","docs/ANR_CONSERVATIVE_RESOLUTION_RESULT.md;PR#22","","Copy-aware family result; strict species-native exact-node recurrence remains unresolved."
E01_UNIVERSAL_COLD_CHAIN_NOT_SUPPORTED,ecology,authoritative,main,"Current public data do not support a universal visible A/W to colder thermal niche chain.","Within-section different-colour climate distance was not greater than same-colour distance; one-sided P=0.92889 and two-sided P=0.18486.","docs/WITHIN_SECTION_COLOUR_CLIMATE_COUPLING_RESULT.md;PR#35","","Does not reject rare branch-specific abiotic effects or flowering-window effects."
E02_VISIBLE_HUE_POLLINATOR_ALIASING,ecology,authoritative,main,"Coarse visible hue is not a deterministic reproductive-function state.","Primary pollination evidence contains different functional regimes within the same visible state; hue-function association is not supported in the small current seed.","docs/POLLINATION_FUNCTION_META_V0_2_RESULTS.md;PR#39","","Small literature-ascertained seed; not evidence of genus-level independence or causal pollinator evolution."
T01_WFO_ACCEPTED_TAXONOMY,trait_audit,authoritative,main,"Legacy nuclear tips must be collapsed to a versioned accepted-species taxonomy before macro trait inference.","93 legacy Camellia tips map to 55 WFO Plant List 2026-06 accepted Camellia species; 20 accepted groups contain multiple legacy tips.","PR#46;run32439843289","","Taxonomy normalization only; no trait or ecological inference."
T02_WILD_COLOUR_AUDIT,trait_audit,authoritative,main,"Species-level Fan hard labels substantially overstate usable wild-colour information.","35 provisional hard states become strict 24 species (A=1,W=19,Y=4) and dominant-sensitivity 30 species (A=4,W=22,Y=4); 11 provisional hard labels are demoted in strict analysis.","PR#51;run32552102861;data/wfo55_accepted_species_wild_colour_registry_v0_1.csv","","Strict seed excludes polymorphic, dominant-only and exact-colour-insufficient species; dominant seed is sensitivity only."
P01_NUCLEAR_TOPOLOGY_CONCORDANCE,phylogeny,authoritative,main,"Accepted-species nuclear topology is highly concordant between FastTree and IQ-TREE/UFBoot gene-tree ensembles.","On 53 shared accepted species, 46/50 nontrivial splits are shared; normalized RF=0.08.","PR#56;run32552618223","","Four nontrivial splits differ; downstream trait patterns must be checked on both topologies."
P02_LOCAL_COLOUR_CONSERV_FASTTREE,macro_pattern,sensitivity,main,"Local nearest-same-colour phylogenetic conservatism is present on the FastTree/ASTRAL accepted-species topology.","Strict nearest-same-state P=0.00212; dominant nearest-same-state P<1e-5.","PR#55;run32552524470","","FastTree topology sensitivity; not sufficient alone for headline inference."
P03_LOCAL_COLOUR_CONSERV_UFBOOT,macro_pattern,authoritative,main,"Local nearest-same-colour phylogenetic conservatism survives the stronger IQ-TREE/UFBoot accepted-species topology.","Strict nearest-same-state P=0.00116; dominant nearest-same-state P=0.0000800.","PR#58;run32552883081","","Root-independent local pattern only; no transition direction or causal mechanism."
P04_GLOBAL_MPD_TOPOLOGY_SENSITIVE,macro_pattern,authoritative,main,"Broad same-colour clade compression is topology-sensitive and is not retained as a core claim.","Global same-state MPD is significant on FastTree/WFO55 but not on UFBoot/WFO53 (strict P=0.1724; dominant P=0.1327 on UFBoot).","PR#55;PR#58","S02_LEGACY_GLOBAL_MPD_HEADLINE","Negative robustness result; local nearest-neighbour conservatism remains."
