run,biosample,publication_stage,archive_group,replicate,sra_sample_name,sra_library_name,biological_replicate,biosample_dev_stage,tissue,geo_loc_name,sra_scientific_name,sra_model,spots,bases,avg_length,run_hash,read_hash,stage_mapping_evidence,admission_status
SRR5829589,SAMN07350684,S1,10,1,10_rep1,10_rep1,individual1,stage1,flower,China,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,300,123FFB9AF7829A9F34E138227A0BCFFC,4BFB1BA9F51E2EEDFEF7F21AC853EEF1,BioSample dev_stage,admit
SRR5829588,SAMN07350685,S1,10,2,10_rep2,10_rep2,individual2,stage1,flower,China,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,300,C144647418DE154673150E1F6DDC37C6,E0D78842BC5A6C7A18639D17DCAAD0A8,BioSample dev_stage,admit
SRR5829591,SAMN07350686,S1,10,3,10_rep3,10_rep3,individual3,stage1,flower,China,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,300,C3FCAE55E1A811FD655326A92FFDEBC7,312AFE1764F9D436FE761A17DCD0C37C,BioSample dev_stage,admit
SRR5829590,SAMN07350687,S2,6,1,6_rep1,6_rep1,individual1,stage2,flower,China,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,300,67BA72CA9BB4182EB377210BD2FB85D8,BEDFA5C3B00BEA694639008ADECF97F9,BioSample dev_stage,admit
SRR5829593,SAMN07350688,S2,6,2,6_rep2,6_rep2,individual2,stage2,flower,China,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,300,D645838D56168E7864B0720CB9D977A9,DDA3199C3111454F2A91DA03DD3F4242,BioSample dev_stage,admit
SRR5829592,SAMN07350689,S2,6,3,6_rep3,6_rep3,individual3,stage2,flower,China,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,300,E04ACAE26A778BFCACA307BE83CC4E4F,B312881C799FCCAC2BC85C847DDE5979,BioSample dev_stage,admit
SRR5829595,SAMN07350690,S3,7,1,7_rep1,7_rep1,individual1,stage3,flower,China,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,300,A31E4611DDC7F2EB00BB3B82CF48F520,449E864E7B743939F4154891819F3046,BioSample dev_stage,admit
SRR5829594,SAMN07350691,S3,7,2,7_rep2,7_rep2,individual2,stage3,flower,China,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,300,0FC9D242D627DD6E58D4A7747D156E30,223CFC697E55D6003EE879A9724F9BEB,BioSample dev_stage,admit
SRR5829587,SAMN07350692,S3,7,3,7_rep3,7_rep3,individual3,stage3,flower,China,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,300,8DC0DFEE47D0EB29BBEF792B9E8A0F70,44768BE1D3E1C7D94DC6E1CD1027BCBA,BioSample dev_stage,admit
SRR5829586,SAMN07350693,S4,8,1,8_rep1,8_rep1,individual1,stage4,flower,China,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,300,545B4A3158C6C8381415859F90C51459,FBA5FB3E2DFA79724D2F899993C059A4,BioSample dev_stage,admit
SRR5829584,SAMN07350694,S4,8,2,8_rep2,8_rep2,individual2,stage4,flower,China,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,300,6C44C2744D741590F9229F7FD8D558B0,50359259F5BDCF4D914EB436A205F792,BioSample dev_stage,admit
SRR5829583,SAMN07350695,S4,8,3,8_rep3,8_rep3,individual3,stage4,flower,China,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,300,E7179ACF480ACE7BD8155E8E548AA4EC,499B4DC1F816B172CE2ADF76DFF693C5,BioSample dev_stage,admit
SRR5829582,SAMN07350696,S5,9,1,9_rep1,9_rep1,individual1,stage5,flower,China,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,300,D48245EDBF144D21DED692DB8DC432D1,F563F7D2C978BA708526A39CF05FFA1D,BioSample dev_stage,admit
SRR5829581,SAMN07350697,S5,9,2,9_rep2,9_rep2,individual2,stage5,flower,China,Camellia nitidissima,Illumina HiSeq 2500,1000000,300000000,300,5CBE7867F33284D32BCE7E22F5248AE3,1F2552F7873DA1F9F2AAB787C46DA928,BioSample dev_stage,admit
SRR5829585,SAMN07350698,S5,9,3,9_rep3,9_rep3,individual3,stage5,flower,China,Camellia nitidissima,Illumina HiSeq 2500,21844645,6553393500,300,6B3D65C429EE0A054A23D8FD7177C38C,0BEECFA017AE755B2D923D74F17CFE7F,BioSample dev_stage,admit
