study_id,independence_cluster,taxon_scope,contrast_scale,colors,public_accession,raw_status,anthocyanin_more_in_more_red,downstream_anthocyanin_branch_more_active_in_more_red,competing_branch_more_active_in_less_red,within_genotype_or_developmental_switch,regulatory_or_flux_evidence,structural_gene_loss_required,key_result,source_doi
Zhou2020_sinensis_white_pink,CSIN_WHITE_PINK,Camellia sinensis,within_species_between_genotypes_developmental,white|pink,PRJNA597123;PRJNA597289,public,yes,yes,yes,no,yes,no_evidence,"Pink-specific anthocyanins; DFR/ANS/LAR higher in pink; FLS higher in white",10.3390/molecules25010190
Wang2021_japonica_gradient,CJAPONICA,Camellia japonica,within_species_between_cultivars,white|pink|deep_pink|red|crimson,CRA003840,public,yes,unclear,unclear,no,yes,no_evidence,"Anthocyanin composition and abundance track petal color intensity; cyanidin derivatives dominate red states",10.3389/fpls.2021.685136
Fan2022_japonica_budsport,CJAPONICA,Camellia japonica,bud_sport_within_lineage,white|pink|red|dark_red,PRJNA757193,public,yes,yes,unclear,yes,yes,no_evidence,"Seven anthocyanins absent from white YuDan; most of 13 anthocyanin structural DEGs rise with flower redness; MYB/GATA candidates",10.3390/horticulturae8020129
JoyKendrick2023_red_pink_regions,CJAPONICA,Camellia japonica,within_genotype_spatial_petal_regions,red_region|pink_region,PRJNA913600,public,yes,unclear,unclear,yes,yes,no,"Red and pink sectors of one cultivar differ in anthocyanin-related transcript profiles",10.3390/f14010069
Geng2022_reticulata_red_pink_white,CRETICULATA,Camellia reticulata,within_species_between_cultivars,red|pink|white,PRJCA012977,public,yes,yes,unclear,no,yes,no_evidence,"Anthocyanins and most anthocyanin-pathway structural-gene expression follow red > pink > white",10.3389/fgene.2022.1059717
Xu2023_reticulata_mixed_regions,CRETICULATA,Camellia reticulata,within_genotype_spatial_petal_regions,red_region|white_region,GSE236364,public,yes,yes,yes,yes,yes,no,"Cyanidin high in red region; CHS low and ANR high in white region; MYB coexpression implicated",10.1186/s12870-023-04655-4
Zhou2026_Tongzimian_fading,CRETICULATA,Camellia reticulata Tongzimian,within_genotype_developmental,pink_early|white_full_bloom,,article_supplement_only,yes,yes,yes,yes,yes,no,"CrANS decreases during pink-to-white fading; flux shifts toward procyanidins; CrANS overexpression deepens colour in tobacco",10.3389/fpls.2026.1831409
Ai2025_three_species,MULTISPECIES_RYW,C. amplexicaulis|C. petelotii|C. oleifera,between_species,red|yellow|white,PRJNA1136134,public,yes,unclear,yes,no,yes,no_evidence,"Red has the highest anthocyanin signal; yellow is enriched for apigenin/vitexin/quercetin derivatives; white retains flavonoid metabolism",10.1007/s10725-025-01335-1
Zeng2024_oil_camellia_gradient,OIL_CAMELLIA_MULTI,"C. yuhsienensis|C. taishunensis/reticulata-labelled pink material|C. semiserrata|C. chekiangoleosa",between_taxa_ornamental_material,white|pink|candy_pink|red,PRJNA859399,archive_unresolved,yes,unclear,unclear,no,yes,no_evidence,"13 anthocyanins differ across four colours; Co4CL1/CoF3H1/CoANS/UGTs and MYB/bHLH/WRKY candidates link to pink/red states",10.1186/s12870-023-04699-6
Fan2023_sasanqua_diversity,CSASANQUA,Camellia sasanqua,within_species_between_cultivars,multicolour_red_pink_white_spectrum,,source_accession_to_verify,unclear,unclear,unclear,no,yes,no_evidence,"20-cultivar anthocyanin profile; cyanidin and delphinidin derivatives plus F3H/F3'H/ANS and TF modules explain colour diversity",10.1007/s11103-022-01324-2
Fan2026_genus_phylogenomics,GENUS_237,Camellia genus 237 accessions,between_species_phylogenomic,white|yellow|red_pink,,published_on_request,yes,yes,yes,no,yes,no,"White visible MRCA; repeated red-white transitions; core flavonoid genes broadly retained; TE/SV-linked MYB regulation differentiates colour groups",10.1111/pbi.70442
Nitidissima2017_yellow_development,CNITIDISSIMA,Camellia nitidissima,within_species_developmental,yellow_developmental_series,SRP112181,public,not_applicable,not_applicable,yes,yes,yes,no_evidence,"Golden yellow combines flavonol glycosides and carotenoids; pathway expression changes through development",10.3389/fpls.2017.01545
